cohort,layer,mutation_source,n_joined,n_in_paper_range_2_1899,n_low_2_69,n_high_70_1899,median_protein_low,median_protein_high,mannwhitney_p_paper_bins,spearman_n_count_ge1,spearman_rho_count_ge1,spearman_p_count_ge1,mutation_min,mutation_max,mutation_median
OV,CPTAC_protein,Firehose_MUTATION_COUNT,84,84,70,14,0.12925,0.17885,0.6700457455131807,84,-0.1834036462123341,0.09493267370719305,8.0,120.0,41.0
OV,CPTAC_protein,PanCan_MUTATION_COUNT,143,112,54,58,0.10039999999999999,0.09925,0.5702153910906858,112,-0.04022869466716571,0.6736565831749058,0.0,341.0,60.0
