set	family	scope	contrast	n	n_q1	n_q4	n_genes_ranked	size	ES	NES	p	n_leading	leading_edge
CUSTOM_MHC_I_ANTIGEN_PRESENTATION		drop_GSE123902	q4_vs_q1	27	14	13	21394	21	-0.778983549235648	-2.81046239719718	1.49859433665401e-08	17	TAP2,TAP1,PSMB9,PSMB10,HLA-B,HLA-E,HLA-F,ERAP1,IRF1,B2M,HLA-C,PSMB8,TAPBP,HLA-A,ERAP2,NLRC5,TAPBPL
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY		drop_GSE123902	q4_vs_q1	27	14	13	21394	38	0.46068302138184	1.55468870065504	0.0194222495390289	11	TBCD,CLDN3,SLC39A9,CLDN15,ESAM,STRN,MARVELD2,GRHL2,MICALL2,CLDN9,OCLN
GOBP_TIGHT_JUNCTION_ORGANIZATION		drop_GSE123902	q4_vs_q1	27	14	13	21394	69	0.306307410784753	1.15021500765265	0.247696913864579	14	TBCD,CLDN3,SLC39A9,CLDN15,ESAM,PRKACA,STRN,MARVELD2,GRHL2,MICALL2,ILDR1,ABCC8,CLDN9,OCLN
HALLMARK_APICAL_JUNCTION		drop_GSE123902	q4_vs_q1	27	14	13	21394	188	-0.256774053541691	-1.44759314545084	0.000863074522137664	45	CD86,PTPRC,ZYX,RHOF,PECAM1,CD274,EPB41L2,ACTG2,VASP,FBN1,MYL9,FYB1,CNN2,VCAM1,PFN1,BMP1,TRAF1,DSC3,NEXN,ARPC2,RAC2,RRAS,LAMC2,CDH8,ACTG1,ITGB1,ACTN4,ALOX15B,CDH11,ITGA2,COL9A1,ICAM2,MMP2,VCL,WNK4,LAMA3,ACTB,ADAM9,ARHGEF6,AKT3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		drop_GSE123902	q4_vs_q1	27	14	13	21394	197	-0.494653027829576	-2.80611630731177	2.88096749113005e-20	71	LOX,MYLK,GLIPR1,WIPF1,POSTN,ITGA5,LAMA2,VIM,MMP14,COL6A3,EMP3,TPM2,TNFAIP3,LUM,DCN,FBLN2,IL32,FOXC2,TGFB1,IL6,TGM2,ADAM12,COL5A3,COL6A2,BDNF,FBN1,TGFBR3,MYL9,PMP22,VCAM1,LOXL2,CAPG,OXTR,ECM2,CCN1,BMP1,SPP1,SERPINE1,COL3A1,AREG
HALLMARK_INTERFERON_ALPHA_RESPONSE		drop_GSE123902	q4_vs_q1	27	14	13	21394	96	-0.634107522208171	-3.24391813657044	6.3683474956672e-19	62	GBP4,GBP2,TMEM140,TAP1,EPSTI1,SAMD9L,PSMB9,PSME2,PARP12,IFITM1,IFI35,RTP4,STAT2,LAP3,CASP1,CXCL10,UBE2L6,SP110,IRF9,PSME1,SAMD9,IFIH1,SELL,IFI44L,C1S,IRF1,RIPK2,OASL,B2M,ELF1,MX1,IL4R,HLA-C,IFITM3,BST2,CXCL11,IL7,PSMB8,IFIT2,IL15
HALLMARK_INTERFERON_GAMMA_RESPONSE		drop_GSE123902	q4_vs_q1	27	14	13	21394	195	-0.665438138657918	-3.77384862846801	1.48436236335773e-44	110	CCL5,GZMA,GBP4,CSF2RB,CD86,LCP2,CD69,STAT1,PFKP,TAP1,IL2RB,JAK2,CD274,IL10RA,EPSTI1,SAMD9L,PSMB9,PSME2,OAS2,SAMHD1,TNFAIP3,STAT4,PARP12,CFB,GBP6,IFI35,RTP4,STAT2,KLRK1,PSMB10,XCL1,GPR18,XAF1,IRF8,IL15RA,PDE4B,LAP3,FGL2,CASP1,IL6
KEGG_TIGHT_JUNCTION		drop_GSE123902	q4_vs_q1	27	14	13	21394	148	0.229184737754585	0.94595853085116	0.604344122657581	24	DLG3,CLDN3,MAP2K7,AMOT,PARD6A,CLDN15,CGNL1,ARHGEF2,MAGI1,PRKAA2,PRKACA,AMOTL1,TJP2,MAPK8,SRC,MARVELD2,JUN,STK11,LLGL2,CDC42,MICALL2,DLG2,CLDN9,OCLN
CUSTOM_MHC_I_ANTIGEN_PRESENTATION		drop_GSE131907	q4_vs_q1	23	12	11	19756	21	-0.86875489177718	-2.9165776736305	2.39526355732592e-12	17	TAP1,PSMB9,HLA-B,TAP2,B2M,HLA-C,PSMB8,HLA-E,HLA-F,TAPBPL,NLRC5,HLA-A,ERAP1,PSMB10,HLA-G,IRF1,TAPBP
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY		drop_GSE131907	q4_vs_q1	23	12	11	19756	39	0.263492364432748	0.949746878529867	0.542019441831295	6	TBCD,CLDN3,MARVELD2,SLC39A9,OCLN,CLDN9
GOBP_TIGHT_JUNCTION_ORGANIZATION		drop_GSE131907	q4_vs_q1	23	12	11	19756	71	0.252302259626928	1.03158366987172	0.402562574493445	18	TBCD,CLDN3,MARVELD2,FZD5,SLC39A9,ABCC8,OCLN,CLDN9,ILDR1,PATJ,AFDN,PRKACA,WNT11,CLDN15,STRN,GRHL2,CLDN18,NPHP4
HALLMARK_APICAL_JUNCTION		drop_GSE131907	q4_vs_q1	23	12	11	19756	189	-0.355976064154851	-1.87355127974456	7.96670864970701e-07	65	PECAM1,ACTG2,RSU1,RHOF,ZYX,RAC2,MYH9,CD274,ARPC2,VCAM1,CD86,CD99,PFN1,TRAF1,LAMC2,BMP1,PTPRC,MYL9,FBN1,ITGA2,EPB41L2,LAMB3,ARHGEF6,CDH11,CNN2,FYB1,CAP1,VASP,ACTB,FSCN1,MMP2,DSC3,CERCAM,FLNC,ICAM2,CDH6,MSN,CDH3,VWF,GNAI2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		drop_GSE131907	q4_vs_q1	23	12	11	19756	197	-0.621912439156505	-3.29201009327006	6.33507867934036e-34	102	ITGA5,EMP3,GLIPR1,MYLK,VIM,LOX,LAMA2,IGFBP3,COL6A2,COL5A3,WIPF1,PDLIM4,ACTA2,TNFAIP3,IL32,TPM4,VCAM1,FOXC2,ADAM12,FAS,FBLN2,LGALS1,LAMC2,COL3A1,BMP1,LOXL2,PDGFRB,COL5A2,SERPINE1,ITGB5,COL7A1,TGM2,COL6A3,COL4A1,IL15,IL6,MYL9,MMP14,FBN1,TGFB1
HALLMARK_INTERFERON_ALPHA_RESPONSE		drop_GSE131907	q4_vs_q1	23	12	11	19756	96	-0.73300362887779	-3.48404714088021	1.04687053313566e-27	56	EPSTI1,GBP2,SAMD9L,GBP4,TMEM140,CASP1,RSAD2,TAP1,PSME2,PSMB9,IFI35,SAMD9,B2M,OASL,BST2,HLA-C,IFI44L,UBE2L6,MX1,PSMB8,RTP4,LAP3,ELF1,OAS1,IL4R,SP110,IFIH1,SELL,IFITM1,IFI44,UBA7,CMPK2,LPAR6,STAT2,ISG15,IFI27,NMI,IL15,PARP9,PARP12
HALLMARK_INTERFERON_GAMMA_RESPONSE		drop_GSE131907	q4_vs_q1	23	12	11	19756	197	-0.757083177535414	-4.00751826940762	7.19715037476272e-64	138	GZMA,CCL5,OAS2,EPSTI1,IL15RA,MYD88,SAMD9L,CSF2RB,GBP4,CASP1,STAT4,RSAD2,SLAMF7,TAP1,PSME2,PSMB9,XAF1,HLA-B,IFI35,SAMHD1,B2M,MX2,OASL,IL10RA,STAT1,BST2,IFI44L,TNFSF10,CD274,CD69,UBE2L6,MX1,FGL2,PSMB8,ITGB7,RTP4,LAP3,TNFAIP3,PML,IL4R
KEGG_TIGHT_JUNCTION		drop_GSE131907	q4_vs_q1	23	12	11	19756	149	-0.261597674972032	-1.33001438608176	0.0249905338886785	42	ACTR3,MYH9,WAS,ARPC2,HCLS1,RAP1A,CLDN10,ARPC1B,TUBA1C,ACTR2,MYL9,HSPA4,VASP,ACTB,MYL6,CLDN16,CD1D,MYH11,MSN,RHOA,PPP2CA,TUBA4A,RAB8B,PRKCE,RAB8A,PRKACB,MYL12A,PPP2R2A,SLC9A3R1,JAM2,RAP2C,ACTN4,SYNPO,LLGL1,ARPC3,ARPC4,CLDN5,RAC1,ITGB1,ACTG1
CUSTOM_MHC_I_ANTIGEN_PRESENTATION		drop_GSE205335	q4_vs_q1	23	13	10	18091	21	-0.580908710590645	-1.9926436453324	0.00096615147192406	12	TAP2,TAP1,B2M,PSMB9,HLA-E,HLA-C,HLA-B,HLA-F,PSMB8,PSMB10,HLA-G,IRF1
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY		drop_GSE205335	q4_vs_q1	23	13	10	18091	38	0.401747724465541	1.34864180463743	0.0921519652951229	16	TBCD,CLDN3,STRN,MARVELD2,OCLN,GRHL2,SLC39A9,CLDN15,MARVELD3,CLDN1,CLDN23,MICALL2,POF1B,ESAM,CLDN8,CLDN7
GOBP_TIGHT_JUNCTION_ORGANIZATION		drop_GSE205335	q4_vs_q1	23	13	10	18091	68	0.404470475959069	1.51132394863116	0.0149853801169591	21	TBCD,CLDN3,F11R,STRN,ILDR1,MPP7,CLDN12,MARVELD2,OCLN,GRHL2,SLC39A9,CLDN15,MARVELD3,FZD5,IKBKB,AFDN,PRKACA,ROCK2,PATJ,CLDN1,CLDN23
