set	family	scope	contrast	n	n_q1	n_q4	n_genes_ranked	size	ES	NES	p	n_leading	leading_edge	fdr_primary	fdr_fgsea_call
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	pooled	q4_vs_q1	34	18	16	21604	21	-0.774079963214231	-2.74632613488671	4.54343343350753e-08	17	TAP2,TAP1,PSMB9,HLA-E,HLA-B,B2M,HLA-F,HLA-C,ERAP1,PSMB10,PSMB8,IRF1,HLA-A,TAPBPL,TAPBP,NLRC5,ERAP2	6.81515015026129e-08	9.08686686701506e-08
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	pooled	q4_vs_q1	34	18	16	21604	39	0.443867333880062	1.50795809754922	0.0259165613147914	8	TBCD,CLDN3,SLC39A9,MARVELD2,STRN,CLDN15,OCLN,GRHL2		0.0345554150863885
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	pooled	q4_vs_q1	34	18	16	21604	71	0.379558150624863	1.4351461498564	0.0319421776637911	24	TBCD,CLDN3,SLC39A9,MARVELD2,STRN,ILDR1,CLDN15,OCLN,GRHL2,PRKACA,ABCC8,F11R,FZD5,CLDN12,PATJ,ESAM,AFDN,NPHP4,CLDN18,CLDN9,MARVELD3,ROCK2,MICALL2,ROCK1		0.0365053459014755
HALLMARK_APICAL_JUNCTION	primary	pooled	q4_vs_q1	34	18	16	21604	189	-0.290095599798742	-1.61821131577716	3.93793029078874e-05	65	PECAM1,RHOF,ZYX,ACTG2,CD86,PTPRC,VCAM1,EPB41L2,FBN1,VASP,MYL9,CD274,ARPC2,BMP1,CNN2,RAC2,PFN1,TRAF1,DSC3,FYB1,MMP2,ARHGEF6,LAMC2,RSU1,CERCAM,ACTB,FSCN1,ICAM2,CDH11,ITGB1,NEXN,THY1,ITGA2,VCL,RRAS,CD34,VWF,CD99,COL9A1,CDH6	4.72551634894649e-05	6.30068846526199e-05
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	pooled	q4_vs_q1	34	18	16	21604	199	-0.60690726702456	-3.41533773708658	1.38458679132517e-34	110	MYLK,GLIPR1,LOX,WIPF1,EMP3,MMP14,ITGA5,VIM,LAMA2,COL6A2,FOXC2,FBLN2,COL5A3,TNFAIP3,VCAM1,ADAM12,LOXL2,ACTA2,TPM2,TGFB1,FBN1,MYL9,SPP1,COL3A1,LUM,COL5A2,ECM2,BMP1,SERPINE1,IL32,PDGFRB,DCN,PDLIM4,COL6A3,CAPG,POSTN,TGFBR3,IL6,PLAUR,COL7A1	4.15376037397551e-34	5.53834716530068e-34
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	pooled	q4_vs_q1	34	18	16	21604	96	-0.684556032830234	-3.42225882737857	8.16270591340442e-24	60	GBP2,GBP4,TMEM140,TAP1,EPSTI1,SAMD9L,PSME2,PSMB9,IFI35,IFITM1,LAP3,RTP4,STAT2,CASP1,UBE2L6,SELL,IFI44L,B2M,OASL,IRF9,SP110,SAMD9,ELF1,BST2,CXCL11,CXCL10,PSME1,HLA-C,PARP12,IFIH1,MX1,IFITM3,RIPK2,C1S,IL4R,PSMB8,ISG15,IRF1,OAS1,IFI44	1.63254118268088e-23	2.17672157690784e-23
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	pooled	q4_vs_q1	34	18	16	21604	198	-0.687153053169553	-3.85226448251674	1.05461123724977e-49	130	CCL5,GZMA,CSF2RB,GBP4,CD69,TAP1,IL10RA,EPSTI1,IL15RA,SAMHD1,STAT1,FGL2,CD86,LCP2,JAK2,SAMD9L,PSME2,PSMB9,STAT4,PFKP,OAS2,IFI35,LAP3,RTP4,TNFAIP3,VCAM1,STAT2,CASP1,XAF1,CFB,IRF8,HLA-DQA1,XCL1,GPR18,ITGB7,UBE2L6,SERPING1,CD274,HLA-B,IFI44L	6.32766742349859e-49	8.43688989799812e-49
KEGG_TIGHT_JUNCTION	primary	pooled	q4_vs_q1	34	18	16	21604	149	0.271183997629211	1.12858064019162	0.244305300658534	44	CLDN3,DLG3,MAP2K7,PRKAA2,CGNL1,MARVELD2,AMOT,PARD6A,MAGI1,CLDN15,OCLN,PRKAB1,PRKACA,SRC,ARHGEF2,LLGL2,TJP2,F11R,CACNA1D,PATJ,EPB41L4B,JUN,MAPK8,AMOTL1,IGSF5,AFDN,CRB3,MAPK9,CDC42,PRKAA1,SCRIB,CLDN18,PPP2CB,CLDN9,MARVELD3,STK11,PPP2R2D,ROCK2,MICALL2,PCNA	0.244305300658534	0.244305300658534
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	pooled	continuous_z	64			24083	21	-0.720592761911126	-2.44190584079355	2.21361787963152e-06	15	TAP1,TAP2,PSMB9,HLA-E,HLA-F,ERAP1,HLA-B,B2M,IRF1,NLRC5,HLA-C,TAPBP,PSMB10,PSMB8,HLA-G	3.32042681944728e-06	4.42723575926304e-06
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	pooled	continuous_z	64			24083	41	0.471770984734437	1.63996195485392	0.00639803974952355	11	CLDN3,TBCD,MARVELD2,GRHL2,CLDN15,SLC39A9,OCLN,MARVELD3,CLDN9,STRN,MICALL2		0.00731204542802691
