gene	t	logFC	p
AKAP1	7.69753186612787	0.570614185152485	1.77901988770171e-10
CLDN4	7.30034717601172	1.1156715181212	8.38380902829128e-10
LONRF2	7.27922500309256	0.935610120462821	9.10423753502086e-10
TMEM105	6.45160227360606	0.501501939690013	2.2767641961449e-08
RASEF	6.22027320818403	0.823635922872061	5.55705917539622e-08
DYNLL2	6.21146955350763	0.440887886559949	5.74844207812207e-08
FAM174B	6.11197717537187	0.929541974972857	8.42348043357056e-08
MTURN	6.04126439664321	0.695101883837604	1.10444003912494e-07
TBC1D30	5.99164493947841	0.760211096313637	1.33519372275132e-07
HOOK1	5.95304079956224	0.631902555917166	1.54725392076661e-07
REPS2	5.90465641165298	0.616233239793963	1.86071319574882e-07
REV1	5.76666344379344	0.37118002695295	3.14346744513101e-07
BSPRY	5.7262404454517	0.762130934983562	3.6634507390943e-07
TSPAN3	5.70486213349967	0.546435574014465	3.97197013586276e-07
HOOK2	5.65026959681279	0.389971924093714	4.88130857805718e-07
ANKRD65	5.59643522051677	1.07285053062544	5.97883155644907e-07
ZNF652	5.55119523679114	0.349498506732619	7.08712410601702e-07
VEZF1	5.54185748035024	0.403221818869063	7.3399751992775e-07
RBBP8NL	5.5231238466151	0.535242632091771	7.87441489448595e-07
GADD45G	5.52311342623624	1.05854721285258	7.87472260918161e-07
RAB17	5.48761902291475	0.839024627658217	8.99483577034009e-07
FOXA2	5.48246896923841	1.12657704661576	9.16991613624255e-07
NTHL1	5.47372035302151	0.652183399955826	9.47507379960925e-07
MFSD6	5.419660727807	0.52057523222451	1.15956885232336e-06
GOLGA7B	5.41912335729289	0.950923458128605	1.16189596020348e-06
KDF1	5.39047954528272	0.525447836507756	1.29283711053817e-06
CYB561	5.38825475372091	0.513322050431603	1.30359603037832e-06
RP4-568C11.4	5.3051775307702	0.699933825853305	1.77516093501079e-06
ZNF672	5.28435190196068	0.418334393503775	1.91759467024656e-06
ANO9	5.27738233500471	0.614275073372398	1.96773069120229e-06
CHADL	5.2714020304875	0.602971994506007	2.01177772611806e-06
NKX2-1	5.26572286878368	1.46102155555968	2.05450484917869e-06
PAK6	5.25732423528192	0.642077373746247	2.11933436871038e-06
AK1	5.24342022803365	0.635089930446073	2.2311142636432e-06
ATP1B1	5.22125504365315	0.74119687984622	2.42141892633122e-06
CEACAM6	5.20758279571489	1.65263438128019	2.5466789763544e-06
CACFD1	5.19600171484613	0.498679505937978	2.65775130957222e-06
MBIP	5.18823766696882	0.794245278623157	2.73486957481171e-06
FAM120AOS	5.16314751323155	0.362847718334656	2.99944218424037e-06
