set	n_boot_ok	nes_boot_median	ci_lo	ci_hi	scope	contrast	B	nperm
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-3.03384358976605	-3.7373064460497	-1.9867668377458	pooled	q4_vs_q1	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-3.45964995710673	-4.01070844862006	-2.69717441088746	pooled	q4_vs_q1	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-2.5545983152642	-3.04750151469979	-1.75636862356845	pooled	q4_vs_q1	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-3.14207257282429	-3.66177844749161	-2.18623510436978	pooled	q4_vs_q1	200	1000
HALLMARK_APICAL_JUNCTION	200	-1.59302087014464	-2.27575237649663	0.949302948525683	pooled	q4_vs_q1	200	1000
KEGG_TIGHT_JUNCTION	200	1.01180753388785	-1.11916872618383	1.41532702623577	pooled	q4_vs_q1	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	1.26263833350831	0.689530376499297	1.75430560156835	pooled	q4_vs_q1	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	1.26376123078037	0.891882705827417	1.76656403635832	pooled	q4_vs_q1	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-2.36121352845906	-3.39321735711641	-0.803862513519668	pooled	continuous_z	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-2.84424553354555	-3.74211183913592	-1.69271380064782	pooled	continuous_z	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-2.28029590584731	-2.99354913331752	-1.14688762420938	pooled	continuous_z	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-2.75123303997223	-3.41386131329387	-1.76711657499514	pooled	continuous_z	200	1000
HALLMARK_APICAL_JUNCTION	200	-1.45892442522119	-2.10139099743144	1.03753813636585	pooled	continuous_z	200	1000
KEGG_TIGHT_JUNCTION	200	1.22758627246398	-1.17645747350131	1.67021896009923	pooled	continuous_z	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	1.4407918597409	0.780191770519033	1.88939387439884	pooled	continuous_z	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	1.39752497130692	0.824210023384881	1.83510012718845	pooled	continuous_z	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-1.92215211318402	-2.67478991639513	0.846726537434686	GSE123902	continuous_z	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-2.25008388242399	-2.86164028436335	-1.15038487829547	GSE123902	continuous_z	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-1.87103110732477	-2.36862969001986	0.699107888524555	GSE123902	continuous_z	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-2.63007590005202	-3.29708700790298	0.660948644006295	GSE123902	continuous_z	200	1000
HALLMARK_APICAL_JUNCTION	200	-1.53838417460438	-2.41875270472755	1.14290727977858	GSE123902	continuous_z	200	1000
