gene	contrast	logFC	t	p	n	n_genes	df
CLDN4	q4_vs_q1	1.67317304113729	2.67367966034165	0.0121921189320156	34	21604	29
CLDN4	continuous_z	1.1156715181212	7.30034717601172	8.38380902829128e-10	64	24083	59
