interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	pair_origin	method	n_sender_high	n_receiver_high	ligand_mean_high	receptor_mean_high	ligand_prop_high	receptor_prop_high	detected_high	score_high	n_sender_low	n_receiver_low	ligand_mean_low	receptor_mean_low	ligand_prop_low	receptor_prop_low	detected_low	score_low	delta	pass_either	cohort	patient	destination	rule
GDF15_TGFBR2	GDF	Secreted Signaling	GDF15	TGFBR2	GDF15	TGFBR2	other	cellchatdb_v2	cellchat	593	111	0.9918769001960754	0.01630212366580963	0.655986487865448	0.10810811072587967	True	0.03132632522164098	593	111	0.4214303195476532	0.01630212366580963	0.4013490676879883	0.10810811072587967	True	0.01355417829117141	0.01777214693046957	True	GSE131907	P1006	B	median
MDK_NCL	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	cellchatdb_v2	cellchat	593	111	1.4204243421554565	0.5496484637260437	0.7824620604515076	0.37837839126586914	True	0.6095988881765821	593	111	1.2372978925704956	0.5496484637260437	0.6222596764564514	0.37837839126586914	True	0.5762995118319056	0.0332993763446765	True	GSE131907	P1006	B	median
FN1_CD44	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	cellchatdb_v2	cellchat	593	111	0.07862928509712219	0.36724963784217834	0.2580101191997528	0.29729729890823364	True	0.05459984003854609	593	111	0.008705370128154755	0.36724963784217834	0.12478920817375183	0.29729729890823364	True	0.0063534634489553566	0.04824637658959073	True	GSE131907	P1006	B	median
COL2A1_CD44	COLLAGEN	ECM-Receptor	COL2A1	CD44	COL2A1	CD44	other	cellchatdb_v2	cellchat	593	111	0.6345959901809692	0.36724963784217834	0.5564923882484436	0.29729729890823364	True	0.3179230762413901	593	111	0.36102917790412903	0.36724963784217834	0.3440134823322296	0.29729729890823364	True	0.2095959288723545	0.10832714736903559	True	GSE131907	P1006	B	median
COL4A4_CD44	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	other	cellchatdb_v2	cellchat	593	111	0.02089785411953926	0.36724963784217834	0.16357503831386566	0.29729729890823364	True	0.01511741458315005	593	111	0.0	0.36724963784217834	0.0826306939125061	0.29729729890823364	False	0.0	0.01511741458315005	True	GSE131907	P1006	B	median
COL9A2_CD44	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	other	cellchatdb_v2	cellchat	593	111	0.033783115446567535	0.36724963784217834	0.19730184972286224	0.29729729890823364	True	0.024212863723050954	593	111	0.0	0.36724963784217834	0.0893760547041893	0.29729729890823364	False	0.0	0.024212863723050954	True	GSE131907	P1006	B	median
LAMA3_CD44	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	cellchatdb_v2	cellchat	593	111	0.17124328017234802	0.36724963784217834	0.3743676245212555	0.29729729890823364	True	0.11172545383019444	593	111	0.021532360464334488	0.36724963784217834	0.14671163260936737	0.29729729890823364	True	0.015569267367503355	0.09615618646269108	True	GSE131907	P1006	B	median
LAMA5_CD44	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	cellchatdb_v2	cellchat	593	111	0.41777312755584717	0.36724963784217834	0.558178722858429	0.29729729890823364	True	0.23480361662295365	593	111	0.15678870677947998	0.36724963784217834	0.29342326521873474	0.29729729890823364	True	0.1032686506991855	0.13153496592376815	True	GSE131907	P1006	B	median
LAMB2_CD44	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	cellchatdb_v2	cellchat	593	111	0.04574373736977577	0.36724963784217834	0.22259695827960968	0.29729729890823364	True	0.032506562364147215	593	111	0.002903919667005539	0.36724963784217834	0.11467116326093674	0.29729729890823364	True	0.002128387197770284	0.03037817516637693	True	GSE131907	P1006	B	median
LAMB3_CD44	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	cellchatdb_v2	cellchat	593	111	0.08863601833581924	0.36724963784217834	0.27318719029426575	0.29729729890823364	True	0.06112374642509797	593	111	0.00022313169029075652	0.36724963784217834	0.10118044167757034	0.29729729890823364	True	0.00016386320934877184	0.060959883215749196	True	GSE131907	P1006	B	median
LAMC1_CD44	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	cellchatdb_v2	cellchat	593	111	0.2875353693962097	0.36724963784217834	0.4772343933582306	0.29729729890823364	True	0.174368787978292	593	111	0.14183378219604492	0.36724963784217834	0.2883642613887787	0.29729729890823364	True	0.09434794257556751	0.08002084540272449	True	GSE131907	P1006	B	median
LAMC2_CD44	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	other	cellchatdb_v2	cellchat	593	111	0.0918317511677742	0.36724963784217834	0.29342326521873474	0.29729729890823364	True	0.06318828263952693	593	111	0.017774702981114388	0.36724963784217834	0.15008431673049927	0.29729729890823364	True	0.012887256800654322	0.05030102583887261	True	GSE131907	P1006	B	median
THBS3_CD47	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	cellchatdb_v2	cellchat	593	111	0.002468721242621541	0.2651905417442322	0.11635750532150269	0.2522522509098053	True	0.0013076508577804014	593	111	0.0	0.2651905417442322	0.06913996487855911	0.2522522509098053	False	0.0	0.0013076508577804014	True	GSE131907	P1006	B	median
CD99_CD99	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	cellchatdb_v2	cellchat	593	111	1.0412975549697876	0.300645649433136	0.7807757258415222	0.2702702581882477	True	0.3850404292811818	593	111	0.6339622735977173	0.300645649433136	0.5278246402740479	0.2702702581882477	True	0.27598979378799987	0.10905063549318195	True	GSE131907	P1006	B	median
SEMA4D_CD72	SEMA4	Cell-Cell Contact	SEMA4D	CD72	SEMA4D	CD72	other	cellchatdb_v2	cellchat	593	111	0.006222158204764128	0.03168109431862831	0.13153457641601562	0.11711711436510086	True	0.00039409419043919024	593	111	0.0	0.03168109431862831	0.06745362281799316	0.11711711436510086	False	0.0	0.00039409419043919024	True	GSE131907	P1006	B	median
IGFBP3_TMEM219	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	cellchatdb_v2	cellchat	593	111	0.013754037208855152	0.11556268483400345	0.14333894848823547	0.171171173453331	True	0.0031688335075134156	593	111	0.0	0.11556268483400345	0.08431702852249146	0.171171173453331	False	0.0	0.0031688335075134156	True	GSE131907	P1006	B	median
PPIA_BSG	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	cellchatdb_v2	cellchat	593	111	2.1688039302825928	0.17705319821834564	0.9443507790565491	0.20720720291137695	True	0.4343850914957175	593	111	2.408440589904785	0.17705319821834564	0.8937605619430542	0.20720720291137695	True	0.46028921907688924	-0.02590412758117172	True	GSE131907	P1006	B	median
DHCR7_NR1H2	other	Signaling by Cholesterol/Desmosterol	DHCR7	NR1H2	DHCR7	NR1H2	other	cellphonedb_v5_interactors	liana_cpdb	593	111	0.14992159605026245	0.2081514596939087	0.2715008556842804	0.13513512909412384	True	0.17903652787208557	593	111	0.15291163325309753	0.2081514596939087	0.1888701468706131	0.13513512909412384	True	0.1805315464735031	-0.0014950186014175415	True	GSE131907	P1006	B	median
IGFBP3_TMEM219	other	Signaling by Insulin-like growth factor	IGFBP3	TMEM219	IGFBP3	TMEM219	other	cellphonedb_v5_interactors	liana_cpdb	593	111	0.13348807394504547	0.27492067217826843	0.14333894848823547	0.171171173453331	True	0.20420437306165695	593	111	0.07905785739421844	0.27492067217826843	0.08431702852249146	0.171171173453331	False	0.0	0.20420437306165695	True	GSE131907	P1006	B	median
PPIA_BSG	other		PPIA	BSG	PPIA	BSG	other	cellphonedb_v5_interactors	liana_cpdb	593	111	2.101418972015381	0.3313581645488739	0.9443507790565491	0.20720720291137695	True	1.2163885682821274	593	111	2.2911856174468994	0.3313581645488739	0.8937605619430542	0.20720720291137695	True	1.3112718909978867	-0.09488332271575928	True	GSE131907	P1006	B	median
SEMA4D_CD72	other	Signaling by Semaphorin	SEMA4D	CD72	SEMA4D	CD72	other	cellphonedb_v5_interactors	liana_cpdb	593	111	0.05473393201828003	0.22007758915424347	0.13153457641601562	0.11711711436510086	True	0.13740576058626175	593	111	0.04514995217323303	0.22007758915424347	0.06745362281799316	0.11711711436510086	False	0.0	0.13740576058626175	True	GSE131907	P1006	B	median
SEMA4D_PTPRC	other	Signaling by Semaphorin	SEMA4D	PTPRC	SEMA4D	PTPRC	other	cellphonedb_v5_interactors	liana_cpdb	593	111	0.05473393201828003	0.7228070497512817	0.13153457641601562	0.38738739490509033	True	0.3887704908847809	593	111	0.04514995217323303	0.7228070497512817	0.06745362281799316	0.38738739490509033	False	0.0	0.3887704908847809	True	GSE131907	P1006	B	median
GDF15_TGFBR2	GDF	Secreted Signaling	GDF15	TGFBR2	GDF15	TGFBR2	other	cellchatdb_v2	cellchat	593	137	0.9918769001960754	0.013071072287857533	0.655986487865448	0.10218977928161621	True	0.025274428714334204	593	137	0.4214303195476532	0.013071072287857533	0.4013490676879883	0.10218977928161621	True	0.010897038661019523	0.014377390053314681	True	GSE131907	P1006	TLS	median
MDK_NCL	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	cellchatdb_v2	cellchat	593	137	1.4204243421554565	0.5490108132362366	0.7824620604515076	0.36496350169181824	True	0.60932260137894	593	137	1.2372978925704956	0.5490108132362366	0.6222596764564514	0.36496350169181824	True	0.5760160495049282	0.03330655187401177	True	GSE131907	P1006	TLS	median
FN1_CD44	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	cellchatdb_v2	cellchat	593	137	0.07862928509712219	0.41042888164520264	0.2580101191997528	0.30656933784484863	True	0.06063017769972628	593	137	0.008705370128154755	0.41042888164520264	0.12478920817375183	0.30656933784484863	True	0.007095169488592634	0.05353500821113364	True	GSE131907	P1006	TLS	median
COL2A1_CD44	COLLAGEN	ECM-Receptor	COL2A1	CD44	COL2A1	CD44	other	cellchatdb_v2	cellchat	593	137	0.6345959901809692	0.41042888164520264	0.5564923882484436	0.30656933784484863	True	0.34250021510016987	593	137	0.36102917790412903	0.41042888164520264	0.3440134823322296	0.30656933784484863	True	0.22860553067209258	0.11389468442807729	True	GSE131907	P1006	TLS	median
COL4A4_CD44	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	other	cellchatdb_v2	cellchat	593	137	0.02089785411953926	0.41042888164520264	0.16357503831386566	0.30656933784484863	True	0.01686486313194094	593	137	0.0	0.41042888164520264	0.0826306939125061	0.30656933784484863	False	0.0	0.01686486313194094	True	GSE131907	P1006	TLS	median
COL9A2_CD44	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	other	cellchatdb_v2	cellchat	593	137	0.033783115446567535	0.41042888164520264	0.19730184972286224	0.30656933784484863	True	0.026982867116975465	593	137	0.0	0.41042888164520264	0.0893760547041893	0.30656933784484863	False	0.0	0.026982867116975465	True	GSE131907	P1006	TLS	median
LAMA3_CD44	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	cellchatdb_v2	cellchat	593	137	0.17124328017234802	0.41042888164520264	0.3743676245212555	0.30656933784484863	True	0.123242609028204	593	137	0.021532360464334488	0.41042888164520264	0.14671163260936737	0.30656933784484863	True	0.017368025310584984	0.10587458371761901	True	GSE131907	P1006	TLS	median
LAMA5_CD44	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	cellchatdb_v2	cellchat	593	137	0.41777312755584717	0.41042888164520264	0.558178722858429	0.30656933784484863	True	0.2553608333090029	593	137	0.15678870677947998	0.41042888164520264	0.29342326521873474	0.30656933784484863	True	0.11402594775276911	0.14133488555623377	True	GSE131907	P1006	TLS	median
LAMB2_CD44	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	cellchatdb_v2	cellchat	593	137	0.04574373736977577	0.41042888164520264	0.22259695827960968	0.30656933784484863	True	0.03619019270665862	593	137	0.002903919667005539	0.41042888164520264	0.11467116326093674	0.30656933784484863	True	0.002378036465214609	0.03381215624144401	True	GSE131907	P1006	TLS	median
LAMB3_CD44	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	cellchatdb_v2	cellchat	593	137	0.08863601833581924	0.41042888164520264	0.27318719029426575	0.30656933784484863	True	0.06782293242773516	593	137	0.00022313169029075652	0.41042888164520264	0.10118044167757034	0.30656933784484863	True	0.00018312583899610663	0.06763980658873905	True	GSE131907	P1006	TLS	median
LAMC1_CD44	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	cellchatdb_v2	cellchat	593	137	0.2875353693962097	0.41042888164520264	0.4772343933582306	0.30656933784484863	True	0.19095529454654037	593	137	0.14183378219604492	0.41042888164520264	0.2883642613887787	0.30656933784484863	True	0.10428405270731515	0.08667124183922521	True	GSE131907	P1006	TLS	median
LAMC2_CD44	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	other	cellchatdb_v2	cellchat	593	137	0.0918317511677742	0.41042888164520264	0.29342326521873474	0.30656933784484863	True	0.07009684890381992	593	137	0.017774702981114388	0.41042888164520264	0.15008431673049927	0.30656933784484863	True	0.014380681555821196	0.05571616734799873	True	GSE131907	P1006	TLS	median
THBS3_CD47	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	cellchatdb_v2	cellchat	593	137	0.002468721242621541	0.34067216515541077	0.11635750532150269	0.277372270822525	True	0.0016792246832064948	593	137	0.0	0.34067216515541077	0.06913996487855911	0.277372270822525	False	0.0	0.0016792246832064948	True	GSE131907	P1006	TLS	median
CD99_CD99	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	cellchatdb_v2	cellchat	593	137	1.0412975549697876	0.4364033043384552	0.7807757258415222	0.32116788625717163	True	0.4761247488891807	593	137	0.6339622735977173	0.4364033043384552	0.5278246402740479	0.32116788625717163	True	0.3562203281584567	0.11990442073072399	True	GSE131907	P1006	TLS	median
HLA-A_CD8A	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	other	cellchatdb_v2	cellchat	593	137	0.05712655186653137	0.021019093692302704	0.2445193976163864	0.10948905348777771	True	0.0023957433223381454	593	137	0.03511923924088478	0.021019093692302704	0.1753794252872467	0.10948905348777771	True	0.0014741727662878784	0.0009215705560502671	True	GSE131907	P1006	TLS	median
HLA-B_CD8A	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	other	cellchatdb_v2	cellchat	593	137	0.1275041550397873	0.021019093692302704	0.35244518518447876	0.10948905348777771	True	0.005331466668287634	593	137	0.06117662414908409	0.021019093692302704	0.21416525542736053	0.10948905348777771	True	0.002565157434644374	0.0027663092336432603	True	GSE131907	P1006	TLS	median
HLA-C_CD8A	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	other	cellchatdb_v2	cellchat	593	137	0.05336694419384003	0.021019093692302704	0.23946036398410797	0.10948905348777771	True	0.002238427800211046	593	137	0.015269101597368717	0.021019093692302704	0.14333894848823547	0.10948905348777771	True	0.000641473601634804	0.001596954198576242	True	GSE131907	P1006	TLS	median
HLA-E_CD8A	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	cellchatdb_v2	cellchat	593	137	0.6360262036323547	0.021019093692302704	0.6458684802055359	0.10948905348777771	True	0.026041117254815404	593	137	0.25118309259414673	0.021019093692302704	0.34569981694221497	0.10948905348777771	True	0.010448948521174162	0.015592168733641242	True	GSE131907	P1006	TLS	median
PVR_TIGIT	PVR	Cell-Cell Contact	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	cellchatdb_v2	cellchat	593	137	0.01525578461587429	0.042432382702827454	0.16694772243499756	0.11678832024335861	True	0.0012930045571980845	593	137	0.0	0.042432382702827454	0.09780775755643845	0.11678832024335861	False	0.0	0.0012930045571980845	True	GSE131907	P1006	TLS	median
CD55_ADGRE5	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	cellchatdb_v2	cellchat	593	137	1.316772222518921	0.04571090266108513	0.8347386121749878	0.131386861205101	True	0.10744703742394622	593	137	0.8122736811637878	0.04571090266108513	0.5666104555130005	0.131386861205101	True	0.06912624419552478	0.03832079322842144	True	GSE131907	P1006	TLS	median
LPAR1_ADGRE5	ADGRE	Cell-Cell Contact	LPAR1	ADGRE5	LPAR1	ADGRE5	other	cellchatdb_v2	cellchat	593	137	0.021188000217080116	0.04571090266108513	0.17369309067726135	0.131386861205101	True	0.0019333003408067261	593	137	0.0	0.04571090266108513	0.0860033705830574	0.131386861205101	False	0.0	0.0019333003408067261	True	GSE131907	P1006	TLS	median
LPAR2_ADGRE5	ADGRE	Cell-Cell Contact	LPAR2	ADGRE5	LPAR2	ADGRE5	other	cellchatdb_v2	cellchat	593	137	0.03598899766802788	0.04571090266108513	0.21585160493850708	0.131386861205101	True	0.0032793893600867553	593	137	0.0	0.04571090266108513	0.0893760547041893	0.131386861205101	False	0.0	0.0032793893600867553	True	GSE131907	P1006	TLS	median
SFTPD_ADGRE5	ADGRE	Cell-Cell Contact	SFTPD	ADGRE5	SFTPD	ADGRE5	other	cellchatdb_v2	cellchat	593	137	0.029048634693026543	0.04571090266108513	0.18718381226062775	0.131386861205101	True	0.002648644676725446	593	137	0.0	0.04571090266108513	0.08768971264362335	0.131386861205101	False	0.0	0.002648644676725446	True	GSE131907	P1006	TLS	median
IGFBP3_TMEM219	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	cellchatdb_v2	cellchat	593	137	0.013754037208855152	0.149197518825531	0.14333894848823547	0.18248175084590912	True	0.004087361362036952	593	137	0.0	0.149197518825531	0.08431702852249146	0.18248175084590912	False	0.0	0.004087361362036952	True	GSE131907	P1006	TLS	median
PPIA_BSG	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	cellchatdb_v2	cellchat	593	137	2.1688039302825928	0.27564412355422974	0.9443507790565491	0.24817518889904022	True	0.5445511247352108	593	137	2.408440589904785	0.27564412355422974	0.8937605619430542	0.24817518889904022	True	0.5703996770115116	-0.025848552276300785	True	GSE131907	P1006	TLS	median
HLA-A_CD8A	MHC_I	curated_overlay	HLA-A	CD8A	HLA-A	CD8A	other	curated_overlay	liana_cpdb	593	137	0.14192768931388855	0.2449892908334732	0.2445193976163864	0.10948905348777771	True	0.19345849007368088	593	137	0.1661430150270462	0.2449892908334732	0.1753794252872467	0.10948905348777771	True	0.2055661529302597	-0.012107662856578827	True	GSE131907	P1006	TLS	median
HLA-B_CD8A	MHC_I	curated_overlay	HLA-B	CD8A	HLA-B	CD8A	other	curated_overlay	liana_cpdb	593	137	0.22264771163463593	0.2449892908334732	0.35244518518447876	0.10948905348777771	True	0.23381850123405457	593	137	0.19963771104812622	0.2449892908334732	0.21416525542736053	0.10948905348777771	True	0.2223135009407997	0.011505000293254852	True	GSE131907	P1006	TLS	median
HLA-C_CD8A	MHC_I	curated_overlay	HLA-C	CD8A	HLA-C	CD8A	other	curated_overlay	liana_cpdb	593	137	0.1518416702747345	0.2449892908334732	0.23946036398410797	0.10948905348777771	True	0.19841548055410385	593	137	0.12918497622013092	0.2449892908334732	0.14333894848823547	0.10948905348777771	True	0.18708713352680206	0.011328347027301788	True	GSE131907	P1006	TLS	median
CEACAM5_CD8A	MHC_I_partial	Adhesion by CEAM	CEACAM5	CD8A	CEACAM5	CD8A	barrier	cellphonedb_v5_interactors	liana_cpdb	593	137	0.05993131175637245	0.2449892908334732	0.10792580246925354	0.10948905348777771	True	0.15246030129492283	593	137	0.04858623445034027	0.2449892908334732	0.07082630693912506	0.10948905348777771	False	0.0	0.15246030129492283	True	GSE131907	P1006	TLS	median
CD55_ADGRE5	other		CD55	ADGRE5	CD55	ADGRE5	other	cellphonedb_v5_interactors	liana_cpdb	593	137	1.3103656768798828	0.23329049348831177	0.8347386121749878	0.131386861205101	True	0.7718280851840973	593	137	0.8966537117958069	0.23329049348831177	0.5666104555130005	0.131386861205101	True	0.5649721026420593	0.20685598254203796	True	GSE131907	P1006	TLS	median
CD58_CD2	other		CD58	CD2	CD58	CD2	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.05295984819531441	0.4052058756351471	0.10623946040868759	0.17518247663974762	True	0.22908286191523075	593	137	0.025083374232053757	0.4052058756351471	0.04890387877821922	0.17518247663974762	False	0.0	0.22908286191523075	True	GSE131907	P1006	TLS	median
DHCR7_NR1H2	other	Signaling by Cholesterol/Desmosterol	DHCR7	NR1H2	DHCR7	NR1H2	other	cellphonedb_v5_interactors	liana_cpdb	593	137	0.14992159605026245	0.17779509723186493	0.2715008556842804	0.11678832024335861	True	0.1638583466410637	593	137	0.15291163325309753	0.17779509723186493	0.1888701468706131	0.11678832024335861	True	0.16535336524248123	-0.0014950186014175415	True	GSE131907	P1006	TLS	median
