cohort	patient	rule	n_mal	n_high	n_low	n_B	n_TLS	n_TNK	mean_CLDN4_high	mean_CLDN4_low	eligible_mal_split	eligible_B	eligible_TLS	eligible_TNK
GSE131907	P1006	median	1186	593	593	111	137	611	2.079414129257202	0.503219723701477	True	True	True	True
GSE131907	P1006	tertile	1186	396	396	111	137	611	2.273198366165161	0.11329225450754166	True	True	True	True
GSE131907	P1010	median	367	184	183	2366	2592	1530	1.9414663314819336	0.6441468000411987	True	True	True	True
GSE131907	P1010	tertile	367	123	123	2366	2592	1530	2.1883492469787598	0.3940993547439575	True	True	True	True
GSE131907	P1011	median	203	102	101	1413	1424	809	2.069228410720825	0.7098372578620911	True	True	True	True
GSE131907	P1011	tertile	203	68	68	1413	1424	809	2.25339674949646	0.3870859742164612	True	True	True	True
GSE131907	P1012	median	257	129	128	176	191	328	1.889131784439087	0.8096493482589722	True	True	True	True
GSE131907	P1012	tertile	257	86	86	176	191	328	2.0471222400665283	0.55904221534729	True	True	True	True
GSE131907	P1013	median	376	376	0	1871	1976	1150	0.0006799165275879204		False	False	False	False
GSE131907	P1013	tertile	376	376	375	1871	1976	1150	0.0006799165275879204	0.0	True	True	True	True
GSE131907	P1015	median	256	256	0	39	63	479	0.8119832873344421		False	False	False	False
GSE131907	P1015	tertile	256	86	135	39	63	479	2.0753204822540283	0.0	True	True	True	True
GSE131907	P1019	median	217	109	108	98	151	1427	2.176805257797241	1.3141510486602783	True	True	True	True
GSE131907	P1019	tertile	217	73	73	98	151	1427	2.2968361377716064	1.099961280822754	True	True	True	True
GSE131907	P1028	median	4640	2320	2320	7	11	232	2.809838056564331	1.683599591255188	True	False	True	True
GSE131907	P1028	tertile	4640	1547	1547	7	11	232	3.0069918632507324	1.4493093490600586	True	False	True	True
GSE131907	P1049	median	114	114	0	189	191	1126	0.7394811511039734		False	False	False	False
GSE131907	P1049	tertile	114	38	58	189	191	1126	1.825230598449707	0.0	True	True	True	True
GSE131907	P1051	median	1285	643	642	99	101	1143	1.7509868144989014	0.6418312788009644	True	True	True	True
GSE131907	P1051	tertile	1285	429	429	99	101	1143	1.9131726026535034	0.39782586693763733	True	True	True	True
GSE131907	P1058	median	460	230	230	162	320	1546	1.547564148902893	0.3486994206905365	True	True	True	True
GSE131907	P1058	tertile	460	154	154	162	320	1546	1.7126225233078003	0.08329033851623535	True	True	True	True
GSE131907	P3002	median	181	91	90	142	149	977	1.5257154703140259	0.11017844080924988	True	True	True	True
GSE131907	P3002	tertile	181	61	75	142	149	977	1.761772871017456	0.0	True	True	True	True
GSE131907	P3003	median	2713	1357	1356	16	24	145	2.5488128662109375	1.4483569860458374	True	True	True	True
GSE131907	P3003	tertile	2713	905	905	16	24	145	2.7074437141418457	1.1762906312942505	True	True	True	True
GSE131907	P3004	median	1229	615	614	4	6	131	1.8443325757980347	0.8644530177116394	True	False	False	True
GSE131907	P3004	tertile	1229	410	410	4	6	131	1.9871084690093994	0.6248416304588318	True	False	False	True
GSE131907	P3006	median	83	42	41	30	108	383	2.11234974861145	0.18673011660575867	True	True	True	True
GSE131907	P3006	tertile	83	28	33	30	108	383	2.3561289310455322	0.0	True	True	True	True
GSE131907	P3007	median	5108	2554	2554	54	59	166	2.3375744819641113	1.1719799041748047	True	True	True	True
