sample	index	neighborhood	n_index	pooled_rho	median_fov_rho	frac_fovs_negative	n_fovs	wilcoxon_p
Lung9_Rep1	RNA-epithelial	RNA-immune 50um	41594	-0.3726	-0.2501	0.95	20	3.81e-06
Lung12	RNA-epithelial	RNA-immune 50um	25504	-0.2582	-0.2038	1.00	28	7.45e-09
Lung13	RNA-epithelial	RNA-immune 50um	26693	-0.1753	-0.1379	1.00	20	1.91e-06
Lung9_Rep1	RNA-epithelial	RNA-immune 25um	41286	-0.3753	-0.2702	1.00	20	1.91e-06
Lung12	RNA-epithelial	RNA-immune 25um	20983	-0.2412	-0.1963	1.00	28	7.45e-09
Lung13	RNA-epithelial	RNA-immune 25um	25906	-0.1831	-0.1657	1.00	20	1.91e-06
Lung9_Rep1	RNA-epithelial	T-like 50um	41594	0.3177	0.2302	0.00	20	1.91e-06
Lung12	RNA-epithelial	T-like 50um	25504	0.2377	0.2023	0.036	28	7.45e-08
Lung13	RNA-epithelial	T-like 50um	26693	0.1152	0.0843	0.05	20	3.81e-06
Lung9_Rep1	PanCK-high CD45-low	CD45-high 50um	27527	-0.1625	-0.1696	0.95	20	3.81e-06
Lung12	PanCK-high CD45-low	CD45-high 50um	18612	-0.0698	-0.1004	1.00	28	7.45e-09
Lung13	PanCK-high CD45-low	CD45-high 50um	21256	-0.0873	-0.0742	0.80	20	1.21e-03
Lung9_Rep1	RNA-epithelial	RNA-immune 50um (TACSTD2)	41594	-0.1293	-0.0970	0.95	20	5.72e-06
Lung12	RNA-epithelial	RNA-immune 50um (TACSTD2)	25504	-0.2502	-0.2219	1.00	28	7.45e-09
Lung13	RNA-epithelial	RNA-immune 50um (TACSTD2)	26693	-0.0394	-0.0391	0.85	20	1.34e-04
