sample,fov,n,gene,neighborhood,spearman_rho,p
Lung9_Rep1,1,2096,CLDN4,rna_immune_50um,-0.42755867949780907,6.511767417800535e-94
Lung9_Rep1,2,2087,CLDN4,rna_immune_50um,-0.4848074684104849,1.780247497493579e-123
Lung9_Rep1,3,1248,CLDN4,rna_immune_50um,0.006478560318768399,0.8191476128043391
Lung9_Rep1,4,1508,CLDN4,rna_immune_50um,-0.33649012041504056,3.069414203736278e-41
Lung9_Rep1,5,2297,CLDN4,rna_immune_50um,-0.06954576342254488,0.0008519325338633723
Lung9_Rep1,6,1771,CLDN4,rna_immune_50um,-0.2406063667404361,9.662763165079826e-25
Lung9_Rep1,7,1877,CLDN4,rna_immune_50um,-0.4552734399697894,1.0818974024342683e-96
Lung9_Rep1,8,1935,CLDN4,rna_immune_50um,-0.38096672042677365,7.165105799563681e-68
Lung9_Rep1,9,2218,CLDN4,rna_immune_50um,-0.15460097318508823,2.461580661153365e-13
Lung9_Rep1,10,1659,CLDN4,rna_immune_50um,-0.2489505051505967,7.436123327447952e-25
Lung9_Rep1,11,1455,CLDN4,rna_immune_50um,-0.40020312920959966,4.4130848025115794e-57
Lung9_Rep1,12,1664,CLDN4,rna_immune_50um,-0.19386001533542277,1.4893690121559332e-15
Lung9_Rep1,13,2186,CLDN4,rna_immune_50um,-0.195113937060857,3.388703548907638e-20
Lung9_Rep1,14,2110,CLDN4,rna_immune_50um,-0.0917048275247651,2.4557014361360424e-05
Lung9_Rep1,15,2332,CLDN4,rna_immune_50um,-0.3311415057646441,8.55702062633974e-61
Lung9_Rep1,16,1830,CLDN4,rna_immune_50um,-0.24399087192734148,3.284552842638104e-26
Lung9_Rep1,17,2578,CLDN4,rna_immune_50um,-0.26113503460793286,1.8622239816842738e-41
Lung9_Rep1,18,2912,CLDN4,rna_immune_50um,-0.23145175032740012,1.027360223607591e-36
Lung9_Rep1,19,2735,CLDN4,rna_immune_50um,-0.4292689607036222,4.7535130731618403e-123
Lung9_Rep1,20,3096,CLDN4,rna_immune_50um,-0.2512906678436247,8.51427784595883e-46
Lung9_Rep1,1,2090,CLDN4,rna_immune_25um,-0.3939340410298468,1.5315249058690132e-78
Lung9_Rep1,2,2082,CLDN4,rna_immune_25um,-0.45079168841166717,9.636350374287177e-105
Lung9_Rep1,3,1241,CLDN4,rna_immune_25um,-0.04041404681712106,0.15478086807763813
Lung9_Rep1,4,1500,CLDN4,rna_immune_25um,-0.3098618026079197,9.666176566147643e-35
Lung9_Rep1,5,2277,CLDN4,rna_immune_25um,-0.05381126265492112,0.010222449368294353
Lung9_Rep1,6,1759,CLDN4,rna_immune_25um,-0.277068128012623,2.2913110502096102e-32
Lung9_Rep1,7,1872,CLDN4,rna_immune_25um,-0.442381321563938,1.529281812304286e-90
Lung9_Rep1,8,1924,CLDN4,rna_immune_25um,-0.3679548198004866,9.477313025299442e-63
Lung9_Rep1,9,2183,CLDN4,rna_immune_25um,-0.16597738566690062,5.967025192782426e-15
Lung9_Rep1,10,1645,CLDN4,rna_immune_25um,-0.2632069967524872,1.8026991723026908e-27
Lung9_Rep1,11,1445,CLDN4,rna_immune_25um,-0.3684103535216706,1.1167556898988809e-47
Lung9_Rep1,12,1650,CLDN4,rna_immune_25um,-0.1610262509027768,4.7382480377552877e-11
Lung9_Rep1,13,2179,CLDN4,rna_immune_25um,-0.1570194011385562,1.691124297882723e-13
Lung9_Rep1,14,2102,CLDN4,rna_immune_25um,-0.10354462030338898,1.962601838876265e-06
Lung9_Rep1,15,2305,CLDN4,rna_immune_25um,-0.321446381234699,1.4782316556168957e-56
Lung9_Rep1,16,1795,CLDN4,rna_immune_25um,-0.22451548093267548,6.049077810396993e-22
Lung9_Rep1,17,2563,CLDN4,rna_immune_25um,-0.2854055115458954,3.0878755071027745e-49
Lung9_Rep1,18,2901,CLDN4,rna_immune_25um,-0.23672797718376087,3.0844921701614613e-38
Lung9_Rep1,19,2712,CLDN4,rna_immune_25um,-0.41730004688809397,9.395154571054613e-115
Lung9_Rep1,20,3061,CLDN4,rna_immune_25um,-0.26325626235523014,1.0679574551367892e-49
Lung9_Rep1,1,2096,CLDN4,t_like_50um,0.3129623202050672,7.460730889348072e-49
Lung9_Rep1,2,2087,CLDN4,t_like_50um,0.4239547292553771,8.125734443458054e-92
Lung9_Rep1,3,1248,CLDN4,t_like_50um,0.054787525836627916,0.0529908778488666
Lung9_Rep1,4,1508,CLDN4,t_like_50um,0.27283467019464297,3.772522180495231e-27
Lung9_Rep1,5,2297,CLDN4,t_like_50um,0.17803730711841076,8.188233480060344e-18
Lung9_Rep1,6,1771,CLDN4,t_like_50um,0.2251844181998975,8.533625058285494e-22
Lung9_Rep1,7,1877,CLDN4,t_like_50um,0.3848228532388894,2.6519424578455733e-67
Lung9_Rep1,8,1935,CLDN4,t_like_50um,0.3970914926134847,4.280475554881587e-74
Lung9_Rep1,9,2218,CLDN4,t_like_50um,0.15503131440904494,2.1103552930903228e-13
Lung9_Rep1,10,1659,CLDN4,t_like_50um,0.23519136578489783,2.7652504672747534e-22
Lung9_Rep1,11,1455,CLDN4,t_like_50um,0.41011771371061595,3.9940680182884046e-60
Lung9_Rep1,12,1664,CLDN4,t_like_50um,0.2633683204734074,8.395627866237443e-28
Lung9_Rep1,13,2186,CLDN4,t_like_50um,0.1427228112665644,2.0350518639185082e-11
Lung9_Rep1,14,2110,CLDN4,t_like_50um,0.14141888261385116,6.799825612466825e-11
Lung9_Rep1,15,2332,CLDN4,t_like_50um,0.3191670679838865,2.2598768433490975e-56
