cohort,n_responder,n_nonresponder,median_responder,median_nonresponder,u,p,rank_biserial_r,error
IMvigor210,68,230,4.729687649172843,4.412362680229404,8555.0,0.23935561909399006,0.09398976982097196,
BACI,16,71,8.11664628795356,7.848647976134727,584.0,0.8651507803410187,0.028169014084507005,
Snyder,7,14,3.68191853530978,4.0503732602085645,45.0,0.7990024079807363,-0.08163265306122447,
