control,score,cohort,n,sd_of_exposure,or_per_sd,ci_low_per_sd,ci_high_per_sd,p,error
positive_control_cd8_teff,cd8_teff_z,IMvigor210,298,0.8942038111402283,1.4550076082420575,1.108611415044438,1.909638590504151,0.006866480043778592,
positive_control_cd8_teff,cd8_teff_z,BACI,87,0.8584137581346681,1.4289655481991625,0.8464110462563897,2.4124715136593338,0.1815748203840325,
positive_control_cd8_teff,cd8_teff_z,Snyder,21,0.6198992625865397,1.3837839605758813,0.5218633242729019,3.669271168298696,0.5138463483933586,
negative_control_housekeeping,housekeeping_z,IMvigor210,298,0.5205488799425053,0.966267509789407,0.7377202869850397,1.2656191200738336,0.8031962247519795,
negative_control_housekeeping,housekeeping_z,BACI,87,0.47745326742861516,0.7029639337753327,0.4005171048473507,1.233800719640249,0.21945291685154533,
negative_control_housekeeping,housekeeping_z,Snyder,21,0.7036803725881821,2.325889360814015,0.5271044483306536,10.263167643302221,0.2650614890220956,
