gene,cohort,n,orr_high_pct,orr_low_pct,or_conditional_mle,ci_low,ci_high,fisher_p,bh_q_value
CLDN1,IMvigor210,298,20.13422818791946,25.503355704697988,0.7371566395210164,0.4107561510567384,1.3139264461887796,0.3339557972812859,0.5247876814420207
CLDN2,IMvigor210,298,19.463087248322147,26.174496644295303,0.6825017146002198,0.3792144489432979,1.2178113019600372,0.21394219114423912,0.47067282051732606
CLDN3,IMvigor210,298,22.14765100671141,23.48993288590604,0.9268380581743949,0.5194517861128736,1.650948158137455,0.8902952357732564,0.9793247593505822
CLDN7,IMvigor210,298,26.845637583892618,18.79194630872483,1.583391244812679,0.8860434184368967,2.859355010878867,0.128547894469802,0.47067282051732606
CLDN18,IMvigor210,298,19.626168224299064,24.607329842931936,0.7488571230664998,0.3969261266327741,1.3783694652429437,0.3884447353914781,0.5341115111632824
TACSTD2,IMvigor210,298,24.161073825503355,21.476510067114095,1.1642267374368185,0.6537284489272285,2.0803700828552643,0.6789919706862789,0.8298790752832298
EPCAM,IMvigor210,298,25.503355704697988,20.13422818791946,1.3565637835803426,0.7610776104710033,2.4345344492770113,0.3339557972812859,0.5247876814420207
CDH1,IMvigor210,298,22.818791946308725,22.818791946308725,1.0,0.5610455833207265,1.7823863688244033,1.0,1.0
OCLN,IMvigor210,298,26.174496644295303,19.463087248322147,1.4651977842806714,0.8211452779183059,2.6370303209346626,0.21394219114423912,0.47067282051732606
TJP1,IMvigor210,298,19.463087248322147,26.174496644295303,0.6825017146002198,0.3792144489432979,1.2178113019600372,0.21394219114423912,0.47067282051732606
CD274,IMvigor210,298,26.174496644295303,19.463087248322147,1.4651977842806714,0.8211452779183059,2.6370303209346626,0.21394219114423912,0.47067282051732606
