control,score,cohort,expectation,n,orr_high_pct,orr_low_pct,or_conditional_mle,ci_low,ci_high,fisher_p
positive_control_cd8_teff,cd8_teff_z,IMvigor210,OR>1 expected (published to track response in IMvigor210),298,27.516778523489933,18.120805369127517,1.7122566038498652,0.9562691745083556,3.104132488342114,0.07226528984346836
positive_control_cd8_teff,cd8_teff_z,BACI,OR>1 expected (published to track response in IMvigor210),87,23.25581395348837,13.636363636363637,1.9048923888667053,0.5561405586223792,7.11073697632775,0.2800247044693123
positive_control_cd8_teff,cd8_teff_z,Snyder,OR>1 expected (published to track response in IMvigor210),21,40.0,27.272727272727273,1.7290841267158046,0.20200067908998479,16.761586645272185,0.6594427244582045
positive_control_cd8_teff,cd8_teff_z,POOLED_random_effects,OR>1 expected (published to track response in IMvigor210),406,,,1.7551859781287125,1.089789710857186,2.826855297979006,0.020688767667602824
negative_control_housekeeping,housekeeping_z,IMvigor210,OR~1 expected (null),298,20.80536912751678,24.83221476510067,0.7958477041620495,0.4445187441179364,1.4176321809765597,0.4902638407581657
negative_control_housekeeping,housekeeping_z,BACI,OR~1 expected (null),87,18.6046511627907,18.181818181818183,1.028238395805821,0.2992672100621944,3.5334527491992467,1.0
negative_control_housekeeping,housekeeping_z,Snyder,OR~1 expected (null),21,40.0,27.272727272727273,1.7290841267158046,0.20200067908998479,16.761586645272185,0.6594427244582045
negative_control_housekeeping,housekeeping_z,POOLED_random_effects,OR~1 expected (null),406,,,0.8796055978291716,0.5501724424351985,1.4062972771006148,0.5920787282217834
