cohort,n_available,n_cldn4_present,n_response_recorded,n_evaluable_analysed,n_responders,n_nonresponders,orr_percent,n_excluded_nonevaluable,expression_scale,pooled_in_meta
IMvigor210,348,348,348,298,68,230,22.82,50,log2(TPM+1),yes (prespecified primary)
BACI,89,89,87,87,16,71,18.39,2,log2(TPM+1),yes (prespecified primary)
Snyder,25,25,25,21,7,14,33.33,4,log2(TPM+0.001),yes (prespecified primary)
UC-GENOME,169,168,106,89,34,55,38.2,79,cBioPortal RNA-seq V2 median z-score,no (post-hoc; not in locked 3-cohort primary)
GSE111636,11,11,11,11,6,5,54.55,0,HTA-2.0 transcript-cluster intensity (TC07000447.hg.1),no (post-hoc; not in locked 3-cohort primary)
IMvigor210_PredictIO,348,348,298,298,68,230,22.82,50,log2(TPM+0.001),no (duplicate of IMvigor210)
