cohort,cutoff_rule,n,high_responder,high_nonresponder,low_responder,low_nonresponder,orr_high_pct,orr_low_pct,or_conditional_mle,ci_low,ci_high,fisher_p,I2_percent
IMvigor210,median,298,39,110,29,120,26.174496644295303,19.463087248322147,1.4651977842806714,0.8211452779183059,2.6370303209346626,0.21394219114423912,
BACI,median,87,8,35,8,36,18.6046511627907,18.181818181818183,1.028238395805821,0.2992672100621944,3.5334527491992467,1.0,
Snyder,median,21,3,7,4,7,30.0,36.36363636363637,0.760342186433903,0.07937440740899991,6.521230423935016,1.0,
POOLED_random_effects,median,406,,,,,,,1.3122085923607376,0.819238518897616,2.1018193726808168,0.25827835488872497,0.0
IMvigor210,tertile_T3_vs_T1,199,27,72,18,82,27.272727272727273,18.0,1.7037346299912437,0.8269033482804398,3.5783771743860844,0.12994062176222368,
BACI,tertile_T3_vs_T1,58,8,21,7,22,27.586206896551722,24.137931034482758,1.1935665464685918,0.3140897866983485,4.634905715119799,1.0,
Snyder,tertile_T3_vs_T1,14,2,5,2,5,28.571428571428573,28.571428571428573,1.0,0.05192620862650508,19.258097720802283,1.0,
POOLED_random_effects,tertile_T3_vs_T1,271,,,,,,,1.5230584844511685,0.8631309339712723,2.6875495429015612,0.1464978121674589,0.0
IMvigor210,quartile_Q4_vs_Q1,150,21,54,16,59,28.0,21.333333333333332,1.4305816221921386,0.6366760171895564,3.264694815875969,0.44895468911899417,
BACI,quartile_Q4_vs_Q1,44,6,16,6,16,27.272727272727273,27.272727272727273,1.0,0.21488023335332956,4.653755184431926,1.0,
Snyder,quartile_Q4_vs_Q1,11,1,4,2,4,20.0,33.333333333333336,0.532088886237956,0.006800566736512268,14.517782998034056,1.0,
POOLED_random_effects,quartile_Q4_vs_Q1,205,,,,,,,1.2497874290044388,0.6628222133523984,2.3565423521300786,0.4907745593446411,0.0
IMvigor210,upper_quartile_vs_rest,298,21,54,47,176,28.0,21.076233183856502,1.4543347409581604,0.7565504086761923,2.7389995955914372,0.26516348415486524,
BACI,upper_quartile_vs_rest,87,6,16,10,55,27.272727272727273,15.384615384615385,2.0434548160614687,0.5261577469336376,7.413804592299722,0.21982802428392387,
Snyder,upper_quartile_vs_rest,21,1,4,6,10,20.0,37.5,0.4328828985156759,0.007268203390322376,5.938239616468059,0.6243550051599587,
POOLED_random_effects,upper_quartile_vs_rest,406,,,,,,,1.4744214719733313,0.8777379455888528,2.4767286044100287,0.14231961611788557,0.0
IMvigor210,split_60_40,298,31,88,37,142,26.050420168067227,20.670391061452513,1.3505748928011734,0.7518890044163972,2.416949191558096,0.324153128210333,
BACI,split_60_40,87,8,27,8,44,22.857142857142858,15.384615384615385,1.6202457402629933,0.4690515624564132,5.614221136276869,0.40880525644281984,
Snyder,split_60_40,21,2,6,5,8,25.0,38.46153846153846,0.5492157505205274,0.03918666553732879,5.0199433481786535,0.6556587547299622,
POOLED_random_effects,split_60_40,406,,,,,,,1.3257524049749467,0.8254022273606094,2.1294096151366086,0.24348225890009523,0.0
