cohort,pool,n,n_responder,n_nonresponder,n_cldn4_high,n_cldn4_low,orr_high_pct,orr_low_pct,OR,CI_low,CI_high,p,p_rounded
IMvigor210,prespecified_primary,298,68,230,149,149,26.17,19.46,1.465,0.821,2.637,0.21394219114423912,0.214
BACI,prespecified_primary,87,16,71,43,44,18.6,18.18,1.028,0.299,3.533,1.0,1
Snyder,prespecified_primary,21,7,14,10,11,30.0,36.36,0.76,0.079,6.521,1.0,1
UC-GENOME,posthoc_open,89,34,55,44,45,34.09,42.22,0.711,0.274,1.819,0.5145666832698986,0.515
GSE111636,posthoc_open,11,6,5,5,6,80.0,33.33,6.439,0.325,490.156,0.24242424242424238,0.242
POOLED_3_prespecified,prespecified_primary,406,91,315,,,,,1.312,0.819,2.102,0.25827835488872497,0.258
POOLED_4_plus_UC-GENOME,posthoc_open,495,125,370,,,,,1.138,0.753,1.72,0.5402634690612118,0.54
