library	gsm	genotype	line_name	in_contrast	Cldn4	Tacstd2	Cldn4_Tacstd2	TJ_TISMO	NHEJ_KEGG	STING_core	IFN_compact	Hallmark_IFN_alpha	Hallmark_IFN_gamma	KEGG_cytosolic_DNA
B6AL10-1-RNA	GSM4073816	KP	B6AL10	yes	3.7431	3.4033	3.5732	4.4138	2.3105	2.9376	2.3681	3.3178	3.0132	2.5264
B6AL10-2-RNA	GSM4073817	KP	B6AL10	yes	4.2479	3.0286	3.6382	4.5452	2.3571	2.9827	2.2381	3.2751	2.9775	2.4683
B6AL10-3-RNA	GSM4073818	KP	B6AL10	yes	1.5261	0.0000	0.7630	2.8546	2.5485	2.3292	1.0916	2.3636	2.2140	2.2344
B6AL10-4-RNA	GSM4073819	KP	B6AL10	yes	3.4033	3.3951	3.3992	4.2745	2.2983	2.9568	2.3677	3.3764	3.0189	2.4885
B6AL10-5-RNA	GSM4073820	KP	B6AL10	yes	3.6064	3.2600	3.4332	4.3113	2.3432	2.9446	2.4190	3.3026	2.9897	2.4652
KL155mix-control-2-RNA	GSM4073821	KL	KL155	yes	7.9645	5.7032	6.8339	7.0692	2.7986	3.5979	0.9402	2.2246	2.0740	2.1791
KL47-1-untreated-1-RNA	GSM4073822	KL	KL47	yes	8.5335	5.1894	6.8615	7.2428	2.6444	3.1211	1.2117	2.5886	2.2396	2.1783
KLC-RNA	GSM4073823	KL	KLC	yes	9.1684	5.7398	7.4541	7.2641	2.6569	2.9974	0.9623	2.2669	2.1805	2.2216
KLD-RNA	GSM4073824	KL	KLD	yes	9.6185	6.5847	8.1016	7.7727	2.5415	3.3970	2.0159	3.0947	2.5472	2.3543
KLE-RNA	GSM4073825	KL	KLE	yes	9.0899	6.0609	7.5754	7.3933	2.7251	3.4144	1.0006	2.2932	2.1743	2.2466
normal-lung-RNA	GSM4073826	normal	normal	no	2.7824	4.7109	3.7467	4.8161	1.8377	2.5865	3.0631	3.8696	3.3005	2.3097
