set_name	dropped_gene	n_genes_kept	delta_full	delta_without_gene	delta_change
NHEJ_KEGG	Dclre1c	12	0.301772	0.295772	-0.006000
NHEJ_KEGG	Fen1	12	0.301772	0.296333	-0.005440
NHEJ_KEGG	Xrcc5	12	0.301772	0.292848	-0.008924
NHEJ_KEGG	Xrcc6	12	0.301772	0.358913	0.057140
NHEJ_KEGG	Xrcc4	12	0.301772	0.311426	0.009654
NHEJ_KEGG	Mre11a	12	0.301772	0.276797	-0.024976
NHEJ_KEGG	Dntt	12	0.301772	0.333607	0.031834
NHEJ_KEGG	Lig4	12	0.301772	0.269127	-0.032646
NHEJ_KEGG	Prkdc	12	0.301772	0.273802	-0.027970
NHEJ_KEGG	Rad50	12	0.301772	0.246832	-0.054941
NHEJ_KEGG	Polm	12	0.301772	0.312304	0.010532
NHEJ_KEGG	Poll	12	0.301772	0.349550	0.047778
NHEJ_KEGG	Nhej1	12	0.301772	0.305732	0.003960
STING_core	Mb21d1	4	0.475351	0.584413	0.109062
STING_core	Tmem173	4	0.475351	0.626041	0.150689
STING_core	Tbk1	4	0.475351	0.462959	-0.012392
STING_core	Ikbke	4	0.475351	0.053400	-0.421951
STING_core	Irf3	4	0.475351	0.649944	0.174592
IFN_compact	Stat1	14	-0.870775	-0.887473	-0.016698
IFN_compact	Stat2	14	-0.870775	-0.867781	0.002994
IFN_compact	Irf1	14	-0.870775	-0.947918	-0.077144
IFN_compact	Irf7	14	-0.870775	-0.787076	0.083699
IFN_compact	Irf9	14	-0.870775	-0.850049	0.020725
IFN_compact	Isg15	14	-0.870775	-0.807308	0.063467
IFN_compact	Ifit1	14	-0.870775	-0.791615	0.079159
IFN_compact	Ifit2	14	-0.870775	-0.823413	0.047362
IFN_compact	Ifit3	14	-0.870775	-0.695904	0.174871
IFN_compact	Mx1	14	-0.870775	-0.951322	-0.080547
IFN_compact	Oasl2	14	-0.870775	-0.842802	0.027973
IFN_compact	Rsad2	14	-0.870775	-0.941290	-0.070515
IFN_compact	Ifih1	14	-0.870775	-0.963520	-0.092746
IFN_compact	Ddx58	14	-0.870775	-0.971177	-0.100402
IFN_compact	Ifnb1	14	-0.870775	-0.932973	-0.062198
Cldn4_Tacstd2	Cldn4	1	4.403927	3.238227	-1.165700
Cldn4_Tacstd2	Tacstd2	1	4.403927	5.569627	1.165700
