set_name	gene	role	source
Cldn4	Cldn4	primary_gene	locked single gene
Tacstd2	Tacstd2	primary_gene	locked single gene
Cldn4_Tacstd2	Cldn4	primary	mean of Cldn4 and Tacstd2
Cldn4_Tacstd2	Tacstd2	primary	mean of Cldn4 and Tacstd2
TJ_TISMO	Cldn3	secondary	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cldn4	secondary	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cldn6	secondary	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cldn7	secondary	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cdh1	secondary	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	F11r	secondary	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Ocln	secondary	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
NHEJ_KEGG	Dclre1c	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Fen1	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Xrcc5	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Xrcc6	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Xrcc4	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Mre11a	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Dntt	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Lig4	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Prkdc	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Rad50	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Polm	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Poll	primary	KEGG 2019 Mouse Non-homologous end-joining
NHEJ_KEGG	Nhej1	primary	KEGG 2019 Mouse Non-homologous end-joining
Rad50	Rad50	primary_gene	strongest single KEGG NHEJ gene
MRN	Mre11a	primary	Mre11a, Rad50, Nbn
MRN	Rad50	primary	Mre11a, Rad50, Nbn
MRN	Nbn	primary	Mre11a, Rad50, Nbn
STING_kinases	Tbk1	primary	Tbk1 and Ikbke
STING_kinases	Ikbke	primary	Tbk1 and Ikbke
STING_core	Mb21d1	secondary	Mb21d1, Tmem173, Tbk1, Ikbke, Irf3
STING_core	Tmem173	secondary	Mb21d1, Tmem173, Tbk1, Ikbke, Irf3
STING_core	Tbk1	secondary	Mb21d1, Tmem173, Tbk1, Ikbke, Irf3
STING_core	Ikbke	secondary	Mb21d1, Tmem173, Tbk1, Ikbke, Irf3
STING_core	Irf3	secondary	Mb21d1, Tmem173, Tbk1, Ikbke, Irf3
IFN_compact	Stat1	primary	mouse epithelial IFN list
IFN_compact	Stat2	primary	mouse epithelial IFN list
IFN_compact	Irf1	primary	mouse epithelial IFN list
IFN_compact	Irf7	primary	mouse epithelial IFN list
IFN_compact	Irf9	primary	mouse epithelial IFN list
IFN_compact	Isg15	primary	mouse epithelial IFN list
IFN_compact	Ifit1	primary	mouse epithelial IFN list
IFN_compact	Ifit2	primary	mouse epithelial IFN list
IFN_compact	Ifit3	primary	mouse epithelial IFN list
IFN_compact	Mx1	primary	mouse epithelial IFN list
IFN_compact	Oasl2	primary	mouse epithelial IFN list
IFN_compact	Rsad2	primary	mouse epithelial IFN list
IFN_compact	Ifih1	primary	mouse epithelial IFN list
IFN_compact	Ddx58	primary	mouse epithelial IFN list
IFN_compact	Ifnb1	primary	mouse epithelial IFN list
Hallmark_IFN_alpha	Mx1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Isg15	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifit3	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifi44	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifi35	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Irf7	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Rsad2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifi44l	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifitm1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifi27	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Irf9	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Eif2ak2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifit2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Cxcl10	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Tap1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Sp110	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ddx60	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ube2l6	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Usp18	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Psmb8	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifih1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Bst2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Lgals3bp	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Adar	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Isg20	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Gbp2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Irf1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Plscr1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Psmb9	secondary	MSigDB Hallmark 2020 interferon alpha response
