set_name	n_kp	n_kl	dropped_libraries	epcam_min_log2	mean_kp	mean_kl	delta	separation	t_welch	p_welch_greater	p_perm_greater	perm_extreme	n_permutations
Cldn4	4	5	B6AL10-3-RNA	4.000000	3.750180	8.874985	5.124805	KL>KP	1.518260e+01	1.364875e-06	7.936508e-03	1	126
Tacstd2	4	5	B6AL10-3-RNA	4.000000	3.271731	5.855613	2.583881	KL>KP	1.051780e+01	5.950887e-05	7.936508e-03	1	126
Cldn4_Tacstd2	4	5	B6AL10-3-RNA	4.000000	3.510956	7.365299	3.854343	KL>KP	1.576962e+01	2.243484e-05	7.936508e-03	1	126
NHEJ_KEGG	4	5	B6AL10-3-RNA	4.000000	2.327303	2.673311	0.346007	KL>KP	7.677033e+00	3.602330e-04	7.936508e-03	1	126
Rad50	4	5	B6AL10-3-RNA	4.000000	2.802849	3.862485	1.059635	KL>KP	1.381616e+01	4.278065e-06	7.936508e-03	1	126
MRN	4	5	B6AL10-3-RNA	4.000000	2.612745	3.381980	0.769234	KL>KP	7.584058e+00	3.314551e-04	7.936508e-03	1	126
STING_kinases	4	5	B6AL10-3-RNA	4.000000	2.727346	4.037211	1.309865	KL>KP	1.816461e+01	3.368116e-07	7.936508e-03	1	126
STING_core	4	5	B6AL10-3-RNA	4.000000	2.955429	3.305543	0.350114	KL>KP	3.218848e+00	1.577792e-02	7.936508e-03	1	126
thesis_joint	4	5	B6AL10-3-RNA	4.000000	-0.799642	0.869953	1.669595	KL>KP	2.284589e+01	4.060582e-07	7.936508e-03	1	126
