set_name	gene	mean_kp	mean_kl	delta_kl_minus_kp	separation	share_of_set_delta	fpkm_all_zero
Cldn4	Cldn4	3.305358	8.874985	5.569627	KL>KP		False
Tacstd2	Tacstd2	2.617385	5.855613	3.238227	KL>KP		False
Cldn4_Tacstd2	Cldn4	3.305358	8.874985	5.569627	KL>KP	0.632348	False
Cldn4_Tacstd2	Tacstd2	2.617385	5.855613	3.238227	KL>KP	0.367652	False
TJ_TISMO	Cldn3	4.225239	8.384444	4.159204	KL>KP	0.181786	False
TJ_TISMO	Cldn4	3.305358	8.874985	5.569627	KL>KP	0.243432	False
TJ_TISMO	Cldn6	0.578405	8.566328	7.987923	KL>KP	0.349128	False
TJ_TISMO	Cldn7	2.757706	7.035020	4.277315	KL>KP	0.186949	False
TJ_TISMO	Cdh1	7.349684	6.866901	-0.482783	overlap	-0.021101	False
TJ_TISMO	F11r	7.077464	6.979809	-0.097655	overlap	-0.004268	False
TJ_TISMO	Ocln	3.265327	4.731320	1.465993	KL>KP	0.064074	False
NHEJ_KEGG	Dclre1c	0.746639	1.120414	0.373775	overlap	0.095277	False
NHEJ_KEGG	Fen1	3.917034	4.284082	0.367047	overlap	0.093562	False
NHEJ_KEGG	Xrcc5	4.484862	4.893725	0.408863	overlap	0.104221	False
NHEJ_KEGG	Xrcc6	3.523120	3.139210	-0.383910	overlap	-0.097860	False
NHEJ_KEGG	Xrcc4	1.804112	1.990039	0.185927	overlap	0.047394	False
NHEJ_KEGG	Mre11a	2.546213	3.147696	0.601483	overlap	0.153321	False
NHEJ_KEGG	Dntt	0.083107	0.002871	-0.080236	KP>KL	-0.020453	False
NHEJ_KEGG	Lig4	1.503929	2.197449	0.693520	overlap	0.176781	False
NHEJ_KEGG	Prkdc	1.297372	1.934790	0.637418	overlap	0.162480	False
NHEJ_KEGG	Rad50	2.901424	3.862485	0.961060	KL>KP	0.244978	False
NHEJ_KEGG	Polm	2.695464	2.870858	0.175394	overlap	0.044709	False
NHEJ_KEGG	Poll	3.376417	3.104860	-0.271558	overlap	-0.069221	False
NHEJ_KEGG	Nhej1	1.950300	2.204558	0.254258	overlap	0.064811	False
STING_core	Mb21d1	0.320907	0.360012	0.039105	overlap	0.016453	False
STING_core	Tmem173	4.027591	3.900184	-0.127407	overlap	-0.053605	False
STING_core	Tbk1	3.192010	3.716931	0.524921	KL>KP	0.220856	False
STING_core	Ikbke	2.194336	4.357492	2.163155	KL>KP	0.910129	False
STING_core	Irf3	4.416113	4.193095	-0.223018	overlap	-0.093833	False
IFN_compact	Stat1	1.537055	0.900055	-0.637000	overlap	0.048769	False
IFN_compact	Stat2	2.342951	1.430266	-0.912684	overlap	0.069875	False
IFN_compact	Irf1	4.376188	4.585423	0.209236	overlap	-0.016019	False
IFN_compact	Irf7	3.006985	0.964426	-2.042560	overlap	0.156379	False
IFN_compact	Irf9	2.740182	1.579253	-1.160929	overlap	0.088881	False
IFN_compact	Isg15	3.487770	1.728463	-1.759307	overlap	0.134693	False
IFN_compact	Ifit1	2.263494	0.284489	-1.979005	overlap	0.151513	False
IFN_compact	Ifit2	1.633653	0.099814	-1.533838	KP>KL	0.117431	False
IFN_compact	Ifit3	3.623017	0.304052	-3.318966	KP>KL	0.254101	False
IFN_compact	Mx1	0.507198	0.764082	0.256883	overlap	-0.019667	False
IFN_compact	Oasl2	1.995282	0.732885	-1.262398	overlap	0.096649	False
IFN_compact	Rsad2	0.410190	0.526623	0.116433	overlap	-0.008914	False
IFN_compact	Ifih1	1.488252	1.915915	0.427663	overlap	-0.032742	False
IFN_compact	Ddx58	2.041461	2.576313	0.534852	overlap	-0.040948	False
IFN_compact	Ifnb1	0.000000	0.000000	0.000000	overlap	-0.000000	True
