set_name	symbol
Hallmark_IFN_alpha	OAS1
Hallmark_IFN_alpha	OASL
Hallmark_IFN_alpha	SAMD9
Hallmark_IFN_alpha	HLA-C
Hallmark_IFN_alpha	WARS1
Hallmark_IFN_alpha	C1S
Hallmark_IFN_alpha	TENT5A
Hallmark_IFN_alpha	IL4R
Hallmark_IFN_gamma	OASL
Hallmark_IFN_gamma	C1S
Hallmark_IFN_gamma	WARS1
Hallmark_IFN_gamma	FCGR1A
Hallmark_IFN_gamma	MARCHF1
Hallmark_IFN_gamma	HLA-DMA
Hallmark_IFN_gamma	HLA-DQA1
Hallmark_IFN_gamma	IL4R
Hallmark_IFN_gamma	SECTM1
Hallmark_IFN_gamma	HLA-DRB1
Hallmark_IFN_gamma	HLA-G
Hallmark_IFN_gamma	MT2A
Hallmark_IFN_gamma	HLA-B
Hallmark_IFN_gamma	HLA-A
Hallmark_IFN_gamma	C1R
KEGG_cytosolic_DNA	CGAS
