term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	contrast	fdr	label
DDR_TXN_CORE	0.6350811152108354	1.1287979084967954	0.15384615384615385	10	0.1881184731	Pmaip1,Cdkn1a,Bbc3	3	naive_KO_vs_WT	0.5272505272505272	DDR transcript core
HALLMARK_P53_PATHWAY	0.24263876811707824	0.7210550802496043	0.5284715284715285	191	0.035678017984293174	Nhlh2,Sfn,Fgf13,Cdkn1a,Tnni1,Polh,Upp1,Gls2,Phlda3,Aen,Foxo3,Steap3,Tcn2,Rhbdf2,Ier5,Zmat3,Bmp2,Nudt15,Rap2b,Mxd4,Def6,Bak1,Abat,Nupr1,Pitpnc1	46	naive_KO_vs_WT	0.5284715284715285	Hallmark p53
GO_P53_MEDIATOR_0030330	-0.28273601038763674	-0.643028467829009	0.4995004995004995	34	-0.012798756617647053	Prap1	1	naive_KO_vs_WT	0.5272505272505272	GO p53 mediator
KEGG_P53_mmu04115	0.5230120933163119	1.3517598881834996	0.022977022977022976	68	0.2031573186323529	Cyct,Ccnb1,Sfn,Cdk1,Rrm2,Pmaip1,Cdkn1a,Ccne1,Bbc3,Chek1,Ccnd1,Rprm,Ccnb2,Gtse1,Steap3,Cdk6,Zmat3	17	naive_KO_vs_WT	0.43656343656343655	KEGG p53
HALLMARK_DNA_REPAIR	0.30071567495450635	0.8592056483620484	0.40559440559440557	145	0.061149800062068944	Pde6g,Rad51,Tyms,Polh,Polr2k,Pde4b,Rfc4,Taf12,Lig1,Polr2f,Brf2,Bcam,Taf13,Itpa,Nme1,Polr2i,Ercc8,Fen1,Polr2g,Polb,Nudt21,Ercc2,Nme3,Stx3,Pnp	63	naive_KO_vs_WT	0.5272505272505272	Hallmark DNA repair
DSB_CHROMATIN_CORE	0.6705994757434702	1.1991568458020052	0.12887112887112886	10	0.2077071004	Brca1,Bard1,H2afx	3	naive_KO_vs_WT	0.5272505272505272	DSB chromatin core
GO_DSB_CHROMATIN_0140861	0.5081316308649043	0.984460684133675	0.25674325674325676	14	0.09211350392857143	Depdc1b,Dtx3l	2	naive_KO_vs_WT	0.5272505272505272	GO DSB chromatin
REACTOME_DSB_SENSING_R-HSA-5693548	0.44565954941985436	0.7286267051806148	0.42157842157842157	6	0.027513032333333316	Kpna2	1	naive_KO_vs_WT	0.5272505272505272	Reactome DSB sensing
HR_CORE	0.5009291105581933	1.0093650471843874	0.23376623376623376	18	0.14711236061111113	Brca1,Rad51,Chek1,Exo1,Rad54l,Rbbp8,Nbn,Chek2	8	naive_KO_vs_WT	0.5272505272505272	HR core
KEGG_HR_mmu03440	0.35852582405923494	0.8252177468677946	0.3966033966033966	38	0.06380776886842106	Brca1,Rad51,Rad54b,Bard1,Gm5136,Rad54l,Brip1,Eme1,Rbbp8,Rad51c,Nbn	11	naive_KO_vs_WT	0.5272505272505272	KEGG HR
