symbol	naive_KO_vs_WT_logFC	naive_KO_vs_WT_logCPM	naive_KO_vs_WT_FDR	VILI_WT_vs_naive_WT_logFC	VILI_WT_vs_naive_WT_logCPM	VILI_WT_vs_naive_WT_FDR	VILI_KOhigh_vs_WT_logFC	VILI_KOhigh_vs_WT_logCPM	VILI_KOhigh_vs_WT_FDR	VILI_KOlow_vs_WT_logFC	VILI_KOlow_vs_WT_logCPM	VILI_KOlow_vs_WT_FDR	interaction_high	interaction_low
Xrcc6	0.311004126	4.050235406	0.689804798	-0.250444365	3.793298125	0.778186356	0.514888826	3.78456314	0.72023544	0.316935106	3.662391716	1.0	0.20388469999999997	0.00593098000000003
Xrcc5	-0.010716447	4.02145903	1.0	0.100811317	4.097182045	1.0	0.142087625	4.093269404	1.0	0.045264734	4.04090334	1.0	0.15280407199999999	0.055981181000000005
Prkdc	0.048992655	4.72798351	1.0	0.281440253	4.872587035	0.551052073	-0.446183102	4.711894072	0.749896614	-0.576285377	4.652741546	0.357401161	-0.495175757	-0.6252780320000001
Dclre1c	-0.355693541	3.597586873	0.755702197	0.081414832	3.825538462	1.0	-0.099345206	3.701207393	1.0	0.117467267	3.786719851	1.0	0.256348335	0.473160808
Lig4	0.266300102	3.752069129	0.815970762	0.045158461	3.678839401	1.0	-1.058641668	3.153306987	0.105680656	-0.245411038	3.427926463	1.0	-1.32494177	-0.51171114
Xrcc4	-0.172875573	3.272997797	1.0	0.12714528	3.454975592	1.0	-0.465010991	3.191987455	0.998931936	0.012252261	3.358385529	1.0	-0.292135418	0.185127834
Nhej1	0.207941265	1.195488429	1.0	-0.175086707	1.158582589	1.0	0.797811149	1.330184749	0.964802279	-0.244418728	0.85983778	1.0	0.5898698840000001	-0.45235999299999996
Poll	-0.092431287	3.384029109	1.0	-0.086641869	3.423724658	1.0	0.174644603	3.316245558	1.0	0.192216661	3.29775917	1.0	0.26707589	0.28464794800000004
Polm	-0.466707226	4.096120035	0.213288054	-0.262748469	4.202209522	0.644353196	-0.115284871	3.896531571	1.0	-0.137298901	3.85983778	1.0	0.35142235499999996	0.32940832499999995
Mb21d1	0.497757629	2.138155254	0.672042639	0.061075577	1.998117917	1.0	-0.179168846	1.799670032	1.0	-0.15935576	1.755501121	1.0	-0.6769264749999999	-0.657113389
Tmem173	0.12918648	4.333843352	1.0	-0.162376908	4.202209522	0.947178354	0.858823937	4.487726026	0.220954487	0.517129574	4.256940266	0.638446692	0.729637457	0.38794309400000004
Tbk1	0.116735721	5.586020338	1.0	0.318869592	5.707235526	0.249423649	-0.175490568	5.725142053	1.0	-0.033052878	5.796612656	1.0	-0.29222628900000003	-0.149788599
Ikbke	-0.27221886	3.755250376	0.894735538	-0.771871209	3.583080418	0.062265535	0.522193453	3.295080948	0.868520996	-0.135484356	2.909306457	1.0	0.794412313	0.136734504
Irf3	0.045368535	5.511784656	1.0	-0.419860817	5.307259857	0.070819806	0.130573512	5.066456573	1.0	0.166824614	5.084624717	1.0	0.085204977	0.12145607900000001
Ddx41	-0.151559119	4.685258211	1.0	-0.033724137	4.760320803	1.0	0.109243847	4.695834221	1.0	-0.00994109	4.633245371	1.0	0.26080296599999997	0.14161802899999998
Rad51	0.814857253	1.601127231	0.406765223	-0.238512087	1.133047497	1.0	-0.189477799	0.877672544	1.0	-0.980371193	0.562856043	1.0	-1.004335052	-1.7952284459999999
Brca1	0.83274024	1.894486173	0.242575141	0.275634443	1.665542578	1.0	-0.156119202	1.607024954	1.0	-0.556393349	1.340463621	1.0	-0.9888594420000001	-1.389133589
Brca2	-0.220032377	2.859439226	1.0	-0.332163317	2.833487215	0.746195766	-0.50416339	2.27360122	1.0	-0.071258683	2.444800281	1.0	-0.284131013	0.148773694
Rad54l	0.417362552	3.052823201	0.58815121	0.551268885	3.171182626	0.255278311	0.087242397	3.316245558	1.0	0.05234842	3.26646304	1.0	-0.330120155	-0.365014132
Xrcc2	-0.188856817	2.817445138	1.0	-0.694234569	2.64762067	0.260655313	-0.069962558	2.121598127	1.0	-0.031535573	2.062929646	1.0	0.11889425900000002	0.15732124400000003
Xrcc3	-0.363681555	3.900245443	0.500136953	0.141019125	4.164896363	1.0	-0.102940178	4.056009785	1.0	0.007186541	4.109530059	1.0	0.260741377	0.370868096
