symbol	logFC	logCPM	FDR	contrast	role
Cldn4	-6.061296179	2.250629984	4.0673e-26	naive_KO_vs_WT	primary
Xrcc6	0.311004126	4.050235406	0.689804798	naive_KO_vs_WT	primary
Xrcc5	-0.010716447	4.02145903	1.0	naive_KO_vs_WT	primary
Prkdc	0.048992655	4.72798351	1.0	naive_KO_vs_WT	primary
Dclre1c	-0.355693541	3.597586873	0.755702197	naive_KO_vs_WT	primary
Lig4	0.266300102	3.752069129	0.815970762	naive_KO_vs_WT	primary
Xrcc4	-0.172875573	3.272997797	1.0	naive_KO_vs_WT	primary
Nhej1	0.207941265	1.195488429	1.0	naive_KO_vs_WT	primary
Poll	-0.092431287	3.384029109	1.0	naive_KO_vs_WT	primary
Polm	-0.466707226	4.096120035	0.213288054	naive_KO_vs_WT	primary
Fen1	0.315187267	3.931516904	0.67130573	naive_KO_vs_WT	primary
Dntt	-0.530514717	-1.370858393	1.0	naive_KO_vs_WT	primary
Mre11a	0.064368819	3.611696472	1.0	naive_KO_vs_WT	primary
Rad50	-0.365031133	5.402407638	0.200223881	naive_KO_vs_WT	primary
Trp53bp1	-0.012359853	6.122227249	1.0	naive_KO_vs_WT	primary
Mb21d1	0.497757629	2.138155254	0.672042639	naive_KO_vs_WT	primary
Tmem173	0.12918648	4.333843352	1.0	naive_KO_vs_WT	primary
Tbk1	0.116735721	5.586020338	1.0	naive_KO_vs_WT	primary
Ikbke	-0.27221886	3.755250376	0.894735538	naive_KO_vs_WT	primary
Irf3	0.045368535	5.511784656	1.0	naive_KO_vs_WT	primary
Ddx41	-0.151559119	4.685258211	1.0	naive_KO_vs_WT	primary
Trex1	0.0	-2.071298111	1.0	naive_KO_vs_WT	primary
Ifnb1	0.0	-2.071298111	1.0	naive_KO_vs_WT	primary
Stat1	0.390851313	6.948292617	0.29079192	naive_KO_vs_WT	primary
Irf7	0.227316665	3.975825801	0.983132036	naive_KO_vs_WT	primary
Isg15	1.075372735	2.786682884	0.003095569	naive_KO_vs_WT	primary
Cxcl10	2.542898441	0.761591903	0.093900892	naive_KO_vs_WT	primary
Cxcl9	2.883303775	1.338092825	0.06232753	naive_KO_vs_WT	primary
Ifng	2.444784843	-0.611866493	0.590157829	naive_KO_vs_WT	primary
Tnf	0.244418728	0.354966643	1.0	naive_KO_vs_WT	primary
Il1b	0.005943139	3.874145725	1.0	naive_KO_vs_WT	primary
Egr1	-2.141375745	7.868281103	3.28028e-05	naive_KO_vs_WT	primary
Cldn4	3.958568579	6.215956852	7.168849999999999e-91	VILI_WT_vs_naive_WT	companion_induction
Xrcc6	-0.250444365	3.793298125	0.778186356	VILI_WT_vs_naive_WT	companion_induction
Xrcc5	0.100811317	4.097182045	1.0	VILI_WT_vs_naive_WT	companion_induction
Prkdc	0.281440253	4.872587035	0.551052073	VILI_WT_vs_naive_WT	companion_induction
Dclre1c	0.081414832	3.825538462	1.0	VILI_WT_vs_naive_WT	companion_induction
Lig4	0.045158461	3.678839401	1.0	VILI_WT_vs_naive_WT	companion_induction
Xrcc4	0.12714528	3.454975592	1.0	VILI_WT_vs_naive_WT	companion_induction
Nhej1	-0.175086707	1.158582589	1.0	VILI_WT_vs_naive_WT	companion_induction
Poll	-0.086641869	3.423724658	1.0	VILI_WT_vs_naive_WT	companion_induction
Polm	-0.262748469	4.202209522	0.644353196	VILI_WT_vs_naive_WT	companion_induction
Fen1	0.556393349	4.100479635	0.087955328	VILI_WT_vs_naive_WT	companion_induction
Dntt	1.473931188	-0.674307425	0.885513399	VILI_WT_vs_naive_WT	companion_induction
Mre11a	-0.302641222	3.480510684	0.712771797	VILI_WT_vs_naive_WT	companion_induction
Rad50	-0.739735443	5.262330514	0.000434079	VILI_WT_vs_naive_WT	companion_induction
Trp53bp1	-0.162299983	6.070526413	0.717031444	VILI_WT_vs_naive_WT	companion_induction
Mb21d1	0.061075577	1.998117917	1.0	VILI_WT_vs_naive_WT	companion_induction
Tmem173	-0.162376908	4.202209522	0.947178354	VILI_WT_vs_naive_WT	companion_induction
Tbk1	0.318869592	5.707235526	0.249423649	VILI_WT_vs_naive_WT	companion_induction
Ikbke	-0.771871209	3.583080418	0.062265535	VILI_WT_vs_naive_WT	companion_induction
Irf3	-0.419860817	5.307259857	0.070819806	VILI_WT_vs_naive_WT	companion_induction
Ddx41	-0.033724137	4.760320803	1.0	VILI_WT_vs_naive_WT	companion_induction
Trex1	0.0	-1.674307425	1.0	VILI_WT_vs_naive_WT	companion_induction
Ifnb1	0.0	-1.674307425	1.0	VILI_WT_vs_naive_WT	companion_induction
Stat1	-0.804298846	6.419770261	6.98816e-07	VILI_WT_vs_naive_WT	companion_induction
Irf7	0.190441181	3.976744266	0.956582471	VILI_WT_vs_naive_WT	companion_induction
Isg15	-0.715749108	1.940402419	0.437759054	VILI_WT_vs_naive_WT	companion_induction
Cxcl10	1.895302621	0.535145941	0.06885942	VILI_WT_vs_naive_WT	companion_induction
Cxcl9	-1.874469118	-0.504382423	0.492103358	VILI_WT_vs_naive_WT	companion_induction
Ifng	-3.169925001	-1.35237933	1.0	VILI_WT_vs_naive_WT	companion_induction
Tnf	3.270986529	2.434217032	3.32989e-10	VILI_WT_vs_naive_WT	companion_induction
Il1b	1.639434192	4.921882331	1.6189e-07	VILI_WT_vs_naive_WT	companion_induction
Egr1	0.731246486	8.99013986	0.035579283	VILI_WT_vs_naive_WT	companion_induction
Cldn4	-10.16213953	6.122599651	2.8879500000000004e-94	VILI_KOhigh_vs_WT	companion_injury
Xrcc6	0.514888826	3.78456314	0.72023544	VILI_KOhigh_vs_WT	companion_injury
Xrcc5	0.142087625	4.093269404	1.0	VILI_KOhigh_vs_WT	companion_injury
Prkdc	-0.446183102	4.711894072	0.749896614	VILI_KOhigh_vs_WT	companion_injury
Dclre1c	-0.099345206	3.701207393	1.0	VILI_KOhigh_vs_WT	companion_injury
Lig4	-1.058641668	3.153306987	0.105680656	VILI_KOhigh_vs_WT	companion_injury
Xrcc4	-0.465010991	3.191987455	0.998931936	VILI_KOhigh_vs_WT	companion_injury
