term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	contrast	role	fdr	label
NHEJ_CORE	-0.28628230488167394	-0.5005802802705414	0.4935064935064935	9	-0.029353991777777762	Xrcc4,Dclre1c,Polm	3	naive_KO_vs_WT	primary	0.4975024975024975	NHEJ core
KEGG_NHEJ_mmu03450	-0.3909007224313055	-0.7535479571129735	0.4095904095904096	13	-0.06001351461538462	Dclre1c,Rad50,Polm,Dntt	4	naive_KO_vs_WT	primary	0.4975024975024975	KEGG NHEJ
GO_NHEJ_0006303	0.19591218422619408	0.4630753211716618	0.4785214785214785	38	0.007185281921052634	Ercc8,Xrcc6,Polb,Lig4,Hmgb2,Pola1,Ercc1,Setmar,Nhej1,Zbtb7a,Polq,Rnf8	12	naive_KO_vs_WT	primary	0.4975024975024975	GO NHEJ
REACTOME_NHEJ_R-HSA-5693571	0.2142192569659112	0.48570031441802414	0.4825174825174825	32	0.010282731000000003	Brca1,Bard1,H2afx,Tdp1,Xrcc6,Lig4	6	naive_KO_vs_WT	primary	0.4975024975024975	Reactome NHEJ
STING_CORE	0.31899881724667734	0.5221563004327558	0.4975024975024975	6	0.06087839766666667	Mb21d1,Tmem173,Tbk1	3	naive_KO_vs_WT	primary	0.4975024975024975	STING core
REACTOME_STING_R-HSA-1834941	0.4483454327865661	0.862003050585771	0.33466533466533466	14	0.08663069471428571	Mb21d1,Xrcc6,Dtx4,Tmem173,Tbk1,Trim21,Mre11a,Prkdc,Irf3	9	naive_KO_vs_WT	primary	0.4975024975024975	Reactome STING
REACTOME_STING_NO_NHEJ	0.4113752550358235	0.7606278060200463	0.3986013986013986	11	0.07850449018181817	Mb21d1,Dtx4,Tmem173,Tbk1,Trim21,Mre11a,Irf3	7	naive_KO_vs_WT	primary	0.4975024975024975	Reactome STING minus DNA-PK
REACTOME_CYTOSOLIC_DNA_R-HSA-3134975	0.4981949330555774	0.9677266753061137	0.27472527472527475	14	0.12927710550000004	Zbp1,Trim32,Dtx4,Trim56,Tmem173,Tbk1,Trim21	7	naive_KO_vs_WT	primary	0.4975024975024975	Reactome cytosolic DNA
KEGG_CYTOSOLIC_DNA_SENSING_mmu04623	0.5244424295909739	1.3490462488958022	0.027972027972027972	60	0.19566395303333334	Ccl5,Cxcl10,Ccl4,Ifna14,Zbp1,Polr3d,Mb21d1,Polr2f,Pycard,Ifi202b,Polr2l,Ripk1,Polr2h,Irf7,Adar,Mavs	16	naive_KO_vs_WT	primary	0.08391608391608392	KEGG cytosolic DNA-sensing
IFN_COMPACT	0.8328362089470468	1.773832205664426	0.000999000999000999	26	1.0237861997692308	Cxcl11,Cxcl9,Ccl5,Cxcl10,Ifng,Oas2,Rsad2,Oasl1,Isg15,Oas1a,Ifi44,Gbp3,Mx1,Gbp2,Ifit1,Stat2,Bst2,Dhx58,Stat1,Irf9,Irf1	21	naive_KO_vs_WT	primary	0.005994005994005994	IFN compact
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5909965654560809	1.601381940629467	0.001998001998001998	89	0.2812065107865169	Cxcl11,Cxcl10,Rsad2,Oasl1,Isg15,Psmb9,Oas1a,Ifi44,Gbp3,Rtp4,B2m,Ly6e,Ube2l6,Ifitm1,Batf2,Ifi44l,Cd74,Ifitm3,Stat2,Bst2,Psmb8,Dhx58,Csf1,Irf9,Il15	47	naive_KO_vs_WT	primary	0.007992007992007992	Hallmark IFN-α
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5059747515109082	1.4876945751347534	0.000999000999000999	181	0.26028842908839783	Cxcl11,Sectm1a,Mettl7b,Cxcl9,Ccl5,Cxcl10,Gzma,Oas3,Oas2,Tnfaip6,Ido1,Rsad2,Oasl1,Isg15,Zbp1,Ccl7,Cdkn1a,Psmb9,Il2rb,Ifi44,Nlrc5,Gbp3,Upp1,Slamf7,Rtp4	66	naive_KO_vs_WT	primary	0.005994005994005994	Hallmark IFN-γ
NHEJ_CORE	0.22178970295198944	0.39555367561101185	0.5104895104895105	9	-0.015439029666666666	Prkdc,Xrcc4,Xrcc5,Dclre1c,Lig4,Poll,Nhej1,Xrcc6,Polm	9	VILI_WT_vs_naive_WT	companion_induction	0.5414585414585414	NHEJ core
KEGG_NHEJ_mmu03450	0.32894089378287794	0.6398642872172429	0.4725274725274725	13	0.06530743115384613	Dntt,Fen1	2	VILI_WT_vs_naive_WT	companion_induction	0.5414585414585414	KEGG NHEJ
