n_listed	n_present	n_low_cpm_dropped	n_used	mean_logfc_deposited	mean_logfc_high_minus_low	median_logfc_high_minus_low	n_up_in_high	n_down_in_high	wilcoxon_stat	wilcoxon_p	mwu_vs_background_p	contrast	role	set	label
1	1	0	1	0.500512179	-0.500512179	-0.500512179	0	1				naive_KO_vs_WT	primary	H2AFX_MRNA	H2afx mRNA
10	10	0	10	0.18811847309999993	-0.18811847309999993	-0.019109661	4	5	18.0	0.65234375	0.7112023021740843	naive_KO_vs_WT	primary	DDR_TXN_CORE	DDR transcript core
191	191	7	184	0.018150662233695655	-0.018150662233695655	-0.0446446815	78	105	7604.0	0.25663082997265796	0.2341351959686957	naive_KO_vs_WT	primary	HALLMARK_P53_PATHWAY	Hallmark p53
34	34	3	31	0.08821829922580646	-0.08821829922580646	-0.051029017	15	16	198.0	0.336907590739429	0.5283262124074519	naive_KO_vs_WT	primary	GO_P53_MEDIATOR_0030330	GO p53 mediator
68	68	2	66	0.17413287230303032	-0.17413287230303032	-0.086869293	25	40	722.0	0.021992637738666266	0.023173176985414313	naive_KO_vs_WT	primary	KEGG_P53_mmu04115	KEGG p53
145	145	1	144	0.05568558404166665	-0.05568558404166665	-0.0524980065	59	84	3690.0	0.003301846690745003	0.031944967878500916	naive_KO_vs_WT	primary	HALLMARK_DNA_REPAIR	Hallmark DNA repair
10	10	0	10	0.2077071004	-0.2077071004	-0.0734503735	5	5	15.0	0.232421875	0.315912825739912	naive_KO_vs_WT	primary	DSB_CHROMATIN_CORE	DSB chromatin core
14	14	0	14	0.09211350392857143	-0.09211350392857143	0.022502317499999997	8	6	52.0	1.0	0.9652396374849392	naive_KO_vs_WT	primary	GO_DSB_CHROMATIN_0140861	GO DSB chromatin
6	6	0	6	0.027513032333333336	-0.027513032333333336	0.08673409600000001	4	2	7.0	0.5625	0.5460133060283532	naive_KO_vs_WT	primary	REACTOME_DSB_SENSING_R-HSA-5693548	Reactome DSB sensing
18	18	0	18	0.1471123606111111	-0.1471123606111111	-0.0585362885	8	10	58.0	0.24620819091796875	0.3918465405971878	naive_KO_vs_WT	primary	HR_CORE	HR core
38	38	1	37	0.05119406756756757	-0.05119406756756757	-0.026201765	17	19	299.0	0.593231153901425	0.7063164103843828	naive_KO_vs_WT	primary	KEGG_HR_mmu03440	KEGG HR
