set	label	n_listed	n_in_rank	n_missing	missing	symbols_used
NHEJ_CORE	NHEJ core	9	9	0		Xrcc6,Xrcc5,Prkdc,Dclre1c,Lig4,Xrcc4,Nhej1,Poll,Polm
KEGG_NHEJ_mmu03450	KEGG NHEJ	13	13	0		Dclre1c,Fen1,Xrcc5,Xrcc6,Xrcc4,Mre11a,Dntt,Lig4,Prkdc,Rad50,Polm,Poll,Nhej1
GO_NHEJ_0006303	GO NHEJ	41	38	3	ATP23,CYREN,PAXX	
REACTOME_NHEJ_R-HSA-5693571	Reactome NHEJ	51	32	19	ABRAXAS1,BABAM2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-4,H4C15,NSD2	
STING_CORE	STING core	6	6	0		Mb21d1,Tmem173,Tbk1,Ikbke,Irf3,Ddx41
REACTOME_STING_R-HSA-1834941	Reactome STING	16	14	2	IFI16,NLRP4	Mb21d1,Ddx41,Dtx4,Irf3,Mre11a,Nlrc3,Prkdc,Stat6,Tmem173,Tbk1,Trex1,Trim21,Xrcc5,Xrcc6
REACTOME_STING_NO_NHEJ	Reactome STING minus DNA-PK	13	11	2	IFI16,NLRP4	Mb21d1,Ddx41,Dtx4,Irf3,Mre11a,Nlrc3,Stat6,Tmem173,Tbk1,Trex1,Trim21
REACTOME_CYTOSOLIC_DNA_R-HSA-3134975	Reactome cytosolic DNA	15	14	1	NLRP4	Ddx41,Dtx4,Irf3,Rps27a,Tmem173,Tbk1,Trex1,Trim21,Trim32,Trim56,Uba52,Ubb,Ubc,Zbp1
KEGG_CYTOSOLIC_DNA_SENSING_mmu04623	KEGG cytosolic DNA-sensing	61	60	1	IFNA15	
IFN_COMPACT	IFN compact	26	26	0		Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Mx1,Oas1a,Oas2,Oasl1,Rsad2,Ifit1,Ifit2,Ifit3,Ifi44,Usp18,Gbp2,Gbp3,Cxcl9,Cxcl10,Cxcl11,Ccl5,Ifng,Eif2ak2,Bst2,Dhx58
HALLMARK_INTERFERON_ALPHA_RESPONSE	Hallmark IFN-α	94	89	5	C1s1,Cmtr1,Ifi27,Tent5a,Wars1	
HALLMARK_INTERFERON_GAMMA_RESPONSE	Hallmark IFN-γ	188	181	7	C1s1,Cmtr1,Ifi27,Marchf1,Rigi,Rnf213,Wars1	
