n_listed	n_present	n_low_cpm_dropped	n_used	mean_logfc_deposited	mean_logfc_high_minus_low	median_logfc_high_minus_low	n_up_in_high	n_down_in_high	wilcoxon_stat	wilcoxon_p	mwu_vs_background_p	contrast	role	set	label
9	9	0	9	-0.02935399177777778	0.02935399177777778	0.010716447	5	4	20.0	0.8203125	0.7592878347819717	naive_KO_vs_WT	primary	NHEJ_CORE	NHEJ core
6	6	0	6	0.06087839766666666	-0.06087839766666666	-0.081052128	2	4	9.0	0.84375	0.5952113240295902	naive_KO_vs_WT	primary	STING_CORE	STING core
26	26	2	24	0.7970525930000001	-0.7970525930000001	-0.579365378	3	21	10.0	5.125999450683594e-06	4.2403980862386916e-08	naive_KO_vs_WT	primary	IFN_COMPACT	IFN compact
9	9	0	9	-0.015439029666666666	-0.015439029666666666	0.045158461	5	4	21.0	0.91015625	0.9241860997201695	VILI_WT_vs_naive_WT	companion_induction	NHEJ_CORE	NHEJ core
6	6	0	6	-0.167981317	-0.167981317	-0.09805052249999999	2	4	6.0	0.4375	0.3815939244523373	VILI_WT_vs_naive_WT	companion_induction	STING_CORE	STING core
26	26	3	23	-0.18078260478260874	-0.18078260478260874	-0.304854582	6	17	70.0	0.03838014602661133	0.007979025431284521	VILI_WT_vs_naive_WT	companion_induction	IFN_COMPACT	IFN compact
9	9	0	9	-0.06167040388888886	0.06167040388888886	0.099345206	5	4	22.0	1.0	0.7288623943690997	VILI_KOhigh_vs_WT	companion_injury	NHEJ_CORE	NHEJ core
6	6	0	6	0.21102922249999997	-0.21102922249999997	-0.1199086795	2	4	7.0	0.5625	0.2963774513426375	VILI_KOhigh_vs_WT	companion_injury	STING_CORE	STING core
26	26	3	23	0.32163329217391307	-0.32163329217391307	-0.168681835	7	16	61.0	0.01787281036376953	0.012669379545155917	VILI_KOhigh_vs_WT	companion_injury	IFN_COMPACT	IFN compact
9	9	0	9	-0.057697557222222216	0.057697557222222216	-0.012252261	4	5	19.0	0.734375	0.9344916864918659	VILI_KOlow_vs_WT	companion_injury	NHEJ_CORE	NHEJ core
6	6	0	6	0.05768668400000001	-0.05768668400000001	0.021496984	4	2	10.0	1.0	0.9644909973497102	VILI_KOlow_vs_WT	companion_injury	STING_CORE	STING core
26	26	3	23	-0.04593792339130435	0.04593792339130435	0.108736911	15	8	111.0	0.4274179935455322	0.2174753537866847	VILI_KOlow_vs_WT	companion_injury	IFN_COMPACT	IFN compact
