gene	c4_logFC	c4_p	c4_fdr	family	n_cohorts_tested	n_cohorts_up	normal_lung_marker	tcga_partial_rho	tcga_partial_p	tcga_n	tcga_fdr
CLDN3	1.884738088981364	0.000113193745103	0.0171269073805215	TJ	3	3	False	0.6002005277717425	6.846164269702793e-49	490	1.8073873672015372e-46
FAXC	1.269751519892408	0.0008882391899582	0.0402745005125033	other	3	3	False	0.4254810328375246	8.645436792422326e-23	490	1.141197656599747e-20
CASD1	1.3213202628262977	0.0004732778485908	0.0316434371733688	other	3	3	False	0.4095314205385519	4.450356004290403e-21	490	3.9163132837755547e-19
RSBN1L	0.6474668940484728	0.0009308250887198	0.0413773518418137	other	3	3	False	0.39311065413692564	2.0751044676205006e-19	490	1.3695689486295304e-17
ARL8A	0.619802338625851	0.0012459897771973	0.047528459859455	other	3	3	False	0.38158545004834243	2.71462304940753e-18	490	1.2092234964081617e-16
DHX40	0.8473378901832115	0.0012089257610851	0.0473654126607189	other	3	3	False	0.38152917966711064	2.7482352191094583e-18	490	1.2092234964081617e-16
PPP1R9A	1.7347331597074684	2.4658162964316483e-05	0.0083267334051692	other	3	3	False	0.37988170232652163	3.9361102001925075e-18	490	1.484475846929746e-16
NUDT16L1	0.7734257728607999	0.0008010615839327	0.0391329744051853	other	3	3	False	0.3787532236269174	5.028308143419424e-18	490	1.65934168732841e-16
DUSP8	1.3957978298437292	0.0003079381626083	0.0258888764327742	other	3	3	False	0.3776563935157816	6.373784245259646e-18	490	1.869643378609496e-16
PAK6	1.3321784102150565	0.0005803590181202	0.0342860338837902	other	3	3	False	0.37466345253137184	1.211739000025818e-17	490	3.198990960068159e-16
RPS6KA3	0.8850697232356202	0.0006743278579346	0.0358340386285873	other	3	2	False	0.3625349423645779	1.5303870570315236e-16	490	3.672928936875656e-15
NUBP2	0.6009845655013785	4.8983325467024345e-05	0.0129148642184936	other	3	3	False	0.355382115278087	6.497303718619236e-16	490	1.429406818096232e-14
FNIP2	1.2240427136118182	0.0004230903797407	0.0306235922106853	other	3	3	False	0.35391225534697784	8.705926047103204e-16	490	1.7679726741809583e-14
GDE1	0.8302894049297378	0.0010196275024366	0.043079903603433	other	3	3	False	0.3477482967388444	2.9212522516764764e-15	490	5.508647103161355e-14
ZMYM3	0.8357590821415941	0.0001750029803019	0.020409412853571	other	3	3	False	0.3457109389238988	4.333284856031674e-15	490	7.626581346615746e-14
SBK1	1.829178834656669	0.0005342641417469	0.0338560397294178	other	3	3	False	0.34121891771703844	1.0232809967626488e-14	490	1.6884136446583705e-13
ZNF672	0.812857577008008	0.0007713827047818	0.0387270429838705	other	3	3	False	0.3395224939921738	1.4104674314373311e-14	490	2.1472743856732256e-13
CACFD1	1.3119608990972178	2.857518642763128e-06	0.0038588232166744	other	3	3	False	0.3393247121956502	1.464050717504472e-14	490	2.1472743856732256e-13
FAM234A	0.5909302977209694	1.9257313288307083e-05	0.00776701730037	other	3	3	False	0.33835328216296057	1.7576094518023748e-14	490	2.4421520803990894e-13
GOLGA7B	2.3015511943306763	1.0281726700767331e-05	0.0060087172448669	other	3	3	False	0.33624839032607534	2.605779254965735e-14	490	3.4396286165547704e-13
CACNB1	1.3476415959378192	0.0010505139105083	0.043968326243795	other	3	3	False	0.3311276212354929	6.707434460811037e-14	490	8.432203322162447e-13
PGAP3	0.6981531936721705	0.0010967119222803	0.0454199932327073	other	3	3	False	0.3306457616587573	7.324898468457354e-14	490	8.782167026076641e-13
ORMDL3	0.9789709388232742	0.0001730874508196	0.0203917316329747	other	3	3	False	0.33040701925551275	7.651130363627377e-14	490	8.782167026076641e-13
MAGI3	0.9999400479742738	0.000514928593048	0.0335206006838375	other	3	3	False	0.32935228350726276	9.271109760871659e-14	490	1.0198220736958825e-12
B3GNT8	1.9141793803497889	0.0004016630911052	0.0298808258457883	other	3	3	False	0.3276192339864924	1.2690486278166252e-13	490	1.3401153509743562e-12
NTHL1	1.4106702613973676	5.4638225520992805e-06	0.0043106828024787	other	3	3	False	0.3259138254810555	1.7250607206687747e-13	490	1.7516001163713713e-12
SFTA3	3.0347174416898866	0.0013458566985955	0.0492779027828382	other	3	3	True	0.3240961545322237	2.3877389323017275e-13	490	2.334678067139467e-12
PRR36	1.623488016382108	0.000428029599213	0.0306994502090107	other	3	3	False	0.32085998929443116	4.2365081174032193e-13	490	3.994421939265893e-12
TSPAN3	1.154034052500066	7.696903776957358e-05	0.0132593971429813	other	3	3	False	0.3205066082285736	4.508372886715126e-13	490	4.1041739382510115e-12
