sample	lineage	n
P1	B	4
P1	Endothelial	124
P1	Epithelial	3347
P1	Fibroblast	612
P1	Mast	46
P1	Myeloid	734
P1	NK	20
P1	Neutrophil	21
P1	Plasma	264
P1	T	127
P1	Unassigned	18
P10	B	1
P10	Endothelial	42
P10	Epithelial	2533
P10	Fibroblast	670
P10	Mast	11
P10	Myeloid	294
P10	NK	17
P10	Neutrophil	1
P10	Plasma	118
P10	T	53
P11	B	14
P11	Endothelial	12
P11	Epithelial	106
P11	Fibroblast	74
P11	Myeloid	232
P11	NK	7
P11	Neutrophil	3
P11	Plasma	25
P11	T	39
P11	Unassigned	62
P12	B	59
P12	Endothelial	30
P12	Epithelial	288
P12	Fibroblast	37
P12	Mast	58
P12	Myeloid	127
P12	NK	17
P12	Neutrophil	54
P12	Plasma	170
P12	T	29
P12	Unassigned	22
P13	B	155
P13	Endothelial	8
P13	Epithelial	165
P13	Fibroblast	35
P13	Mast	16
P13	Myeloid	335
P13	NK	7
P13	Neutrophil	2
P13	Plasma	111
P13	T	83
P13	Unassigned	21
P14	B	5
P14	Endothelial	28
P14	Epithelial	690
P14	Fibroblast	446
P14	Mast	44
P14	Myeloid	169
P14	NK	4
P14	Neutrophil	6
P14	Plasma	383
P14	T	27
P14	Unassigned	6
P15	Endothelial	39
P15	Epithelial	2053
P15	Fibroblast	28
P15	Mast	21
P15	Myeloid	367
P15	NK	2
P15	Neutrophil	131
P15	Plasma	791
P15	T	15
P15	Unassigned	159
P16	Endothelial	8
P16	Epithelial	940
P16	Fibroblast	35
P16	Mast	9
P16	Myeloid	137
P16	Plasma	15
P16	Unassigned	4
P17	Endothelial	24
P17	Epithelial	7322
P17	Fibroblast	122
P17	Mast	18
P17	Myeloid	11
P17	Plasma	780
P17	Unassigned	423
P18	B	1
P18	Endothelial	246
P18	Epithelial	1892
P18	Fibroblast	505
P18	Mast	7
P18	Myeloid	502
P18	NK	17
P18	Neutrophil	7
P18	Plasma	43
P18	T	71
P18	Unassigned	23
P19	B	12
P19	Endothelial	11
P19	Epithelial	173
P19	Fibroblast	1
P19	Mast	11
P19	Myeloid	65
P19	NK	20
P19	Neutrophil	87
P19	Plasma	24
P19	T	28
P19	Unassigned	21
P2	B	3
P2	Endothelial	2
P2	Epithelial	268
P2	Fibroblast	8
P2	Mast	9
P2	Myeloid	8
P2	Plasma	6
P2	T	1
P2	Unassigned	1
P20	B	1
P20	Endothelial	1
P20	Epithelial	398
P20	Fibroblast	2
P20	Myeloid	15
P20	Neutrophil	1
P20	Plasma	9
P20	Unassigned	2
P21	B	4
P21	Endothelial	7
P21	Epithelial	1788
P21	Fibroblast	11
P21	Mast	11
P21	Myeloid	52
