file	sample	n_cells	n_genes_streamed	n_wanted_found
GSM4453576_P1_exp.txt.gz	P1	5317	29527	1011
GSM4453577_P2_exp.txt.gz	P2	306	29527	1011
GSM4453578_P3_exp.txt.gz	P3	7835	29527	1011
GSM4453579_P4_exp.txt.gz	P4	4558	29527	1011
GSM4453580_P5_exp.txt.gz	P5	2454	29527	1011
GSM4453581_P6_exp.txt.gz	P6	3119	29527	1011
GSM4453582_P7_exp.txt.gz	P7	3059	29527	1011
GSM4453583_P8_exp.txt.gz	P8	1342	29527	1011
GSM4453584_P9_exp.txt.gz	P9	3520	29527	1011
GSM4453585_P10_exp.txt.gz	P10	3740	29527	1011
GSM4453586_P11_exp.txt.gz	P11	574	29527	1011
GSM4453587_P12_exp.txt.gz	P12	891	29527	1011
GSM4453588_P13_exp.txt.gz	P13	938	29527	1011
GSM4453589_P14_exp.txt.gz	P14	1808	29527	1011
GSM4453590_P15_exp.txt.gz	P15	3606	29527	1011
GSM4453591_P16_exp.txt.gz	P16	1148	29527	1011
GSM4453592_P17_exp.txt.gz	P17	8700	29527	1011
GSM4453593_P18_exp.txt.gz	P18	3314	29527	1011
GSM4453594_P19_exp.txt.gz	P19	453	29527	1011
GSM4453595_P20_exp.txt.gz	P20	429	29527	1011
GSM4453596_P21_exp.txt.gz	P21	1968	29527	1011
GSM4453597_P22_exp.txt.gz	P22	644	29527	1011
GSM4453598_P23_exp.txt.gz	P23	2387	29527	1011
GSM4453599_P24_exp.txt.gz	P24	386	29527	1011
GSM4453600_P25_exp.txt.gz	P25	4029	29527	1011
GSM4453601_P26_exp.txt.gz	P26	570	29527	1011
GSM4453602_P27_exp.txt.gz	P27	707	29527	1011
GSM4453603_P28_exp.txt.gz	P28	2373	29527	1011
GSM4453604_P29_exp.txt.gz	P29	969	29527	1011
GSM4453605_P30_exp.txt.gz	P30	742	29527	1011
GSM4453606_P31_exp.txt.gz	P31	387	29527	1011
GSM4453607_P32_exp.txt.gz	P32	595	29527	1011
GSM4453608_P33_exp.txt.gz	P33	350	29527	1011
GSM4453609_P34_exp.txt.gz	P34	972	29527	1011
GSM4453610_P35_exp.txt.gz	P35	1079	29527	1011
GSM4453611_P36_exp.txt.gz	P36	500	29527	1011
GSM4453612_P37_exp.txt.gz	P37	2486	29527	1011
GSM4453613_P38_exp.txt.gz	P38	1358	29527	1011
GSM4453614_P39_exp.txt.gz	P39	1896	29527	1011
GSM4453615_P40_exp.txt.gz	P40	1155	29527	1011
GSM4453616_P41_exp.txt.gz	P41	6222	29527	1011
GSM4453617_P42_exp.txt.gz	P42	1001	29527	1011
