item	n
patients_deposited	42
patients_eligible_epi_and_tnk	25
cells_total	89887
cells_epithelial_all	51213
cells_TNK_all	4161
cells_epithelial_eligible	19832
cells_TNK_eligible	4025
lr_pairs_in_matrix	1905
kept_split_sig_diff_pairs	52
