interaction_name	pathway_name	annotation	direction	ligand	receptor	ligand_genes	receptor_genes	ligand_class	prob_high	prob_low	delta_prob	pval_high	pval_low	sig_high	sig_low	contrast	absd
SPP1_CD44	SPP1	Secreted Signaling	outgoing	SPP1	CD44	SPP1	CD44	other	0.2736957421763676	0.4151457958017864	-0.1414500536254188	1.0	0.0099009900990099	False	True	outgoing	0.1414500536254188
SPP1_ITGA4_ITGB1	SPP1	Secreted Signaling	outgoing	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	0.1709294774440409	0.2797232028954459	-0.10879372545140498	1.0	0.0099009900990099	False	True	outgoing	0.10879372545140498
LGALS9_CD45	GALECTIN	Secreted Signaling	outgoing	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	0.0950989355171285	0.0	0.0950989355171285	0.0099009900990099	1.0	True	False	outgoing	0.0950989355171285
CD8A_CEACAM5	CEACAM	Cell-Cell Contact	incoming	CD8A	CEACAM5	CD8A	CEACAM5	other	0.0922679369975124	0.0	0.0922679369975124	0.0099009900990099	1.0	True	False	incoming	0.0922679369975124
LAMB3_CD44	LAMININ	ECM-Receptor	outgoing	LAMB3	CD44	LAMB3	CD44	other	0.2372094411603507	0.3107428655122718	-0.07353342435192112	1.0	0.0099009900990099	False	True	outgoing	0.07353342435192112
MIF_CD74_CD44	MIF	Secreted Signaling	outgoing	MIF	CD74_CD44	MIF	CD44|CD74	other	0.240412717554067	0.3136311624093237	-0.07321844485525669	1.0	0.0099009900990099	False	True	outgoing	0.07321844485525669
FN1_CD44	FN1	ECM-Receptor	outgoing	FN1	CD44	FN1	CD44	other	0.0046395881180683	0.0710789242905047	-0.0664393361724364	1.0	0.0099009900990099	False	True	outgoing	0.0664393361724364
MIF_CD74_CXCR4	MIF	Secreted Signaling	outgoing	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	0.1933607110022923	0.2570995787092615	-0.06373886770696918	1.0	0.0099009900990099	False	True	outgoing	0.06373886770696918
MDK_NCL	MK	Secreted Signaling	outgoing	MDK	NCL	MDK	NCL	other	0.7334560575644592	0.6698899671842016	0.06356609038025762	0.0099009900990099	1.0	True	False	outgoing	0.06356609038025762
MDK_ITGA4_ITGB1	MK	Secreted Signaling	outgoing	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	0.2854935838468997	0.2275998760553603	0.057893707791539406	0.0099009900990099	1.0	True	False	outgoing	0.057893707791539406
GZMA_PARD3	PARs	Secreted Signaling	incoming	GZMA	PARD3	GZMA	PARD3	other	0.2851499613268907	0.2306942847000467	0.054455676626844	0.0099009900990099	1.0	True	False	incoming	0.054455676626844
FN1_ITGA4_ITGB1	FN1	ECM-Receptor	outgoing	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	0.0025437180595392	0.0401815924523457	-0.0376378743928065	1.0	0.0099009900990099	False	True	outgoing	0.0376378743928065
CD96_NECTIN1	CD96	Cell-Cell Contact	incoming	CD96	NECTIN1	CD96	NECTIN1	other	0.098547818290769	0.1360725841319348	-0.03752476584116579	1.0	0.0099009900990099	False	True	incoming	0.03752476584116579
CLEC2B_KLRB1	CLEC	Cell-Cell Contact	outgoing	CLEC2B	KLRB1	CLEC2B	KLRB1	other	0.0700182310461324	0.0338912796369758	0.0361269514091566	0.0099009900990099	1.0	True	False	outgoing	0.0361269514091566
LAMC2_CD44	LAMININ	ECM-Receptor	outgoing	LAMC2	CD44	LAMC2	CD44	other	0.0153632120430758	0.0507278691975933	-0.0353646571545175	1.0	0.0099009900990099	False	True	outgoing	0.0353646571545175
COL1A2_CD44	COLLAGEN	ECM-Receptor	outgoing	COL1A2	CD44	COL1A2	CD44	other	0.0303606112388988	0.0633346435225373	-0.0329740322836385	1.0	0.0099009900990099	False	True	outgoing	0.0329740322836385
HLA-E_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-E	CD8A	HLA-E	CD8A	inhibitory	0.2841340545834986	0.2536114039496474	0.030522650633851234	0.0099009900990099	1.0	True	False	outgoing	0.030522650633851234
HLA-C_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-C	CD8A	HLA-C	CD8A	other	0.3488645041517707	0.3187666077179176	0.030097896433853133	0.0099009900990099	1.0	True	False	outgoing	0.030097896433853133
LAMA3_CD44	LAMININ	ECM-Receptor	outgoing	LAMA3	CD44	LAMA3	CD44	other	0.0	0.0261537900554719	-0.0261537900554719	1.0	0.0099009900990099	False	True	outgoing	0.0261537900554719
LGALS9_CD44	GALECTIN	Secreted Signaling	outgoing	LGALS9	CD44	LGALS9	CD44	inhibitory	0.0222010638383897	0.0	0.0222010638383897	0.0099009900990099	1.0	True	False	outgoing	0.0222010638383897
LAMC1_CD44	LAMININ	ECM-Receptor	outgoing	LAMC1	CD44	LAMC1	CD44	other	0.0001613528617083	0.0221428256941193	-0.021981472832411003	1.0	0.0099009900990099	False	True	outgoing	0.021981472832411003
HLA-B_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-B	CD8A	HLA-B	CD8A	other	0.4306480593027381	0.4091901275739162	0.021457931728821877	0.0099009900990099	1.0	True	False	outgoing	0.021457931728821877
NECTIN2_TIGIT	NECTIN	Cell-Cell Contact	outgoing	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	0.0337343064250932	0.0138406957473072	0.019893610677786	0.0099009900990099	1.0	True	False	outgoing	0.019893610677786
CD55_ADGRE5	ADGRE	Cell-Cell Contact	outgoing	CD55	ADGRE5	CD55	ADGRE5	other	0.0772397597511771	0.0578299149556101	0.019409844795566997	0.0099009900990099	1.0	True	False	outgoing	0.019409844795566997
HLA-F_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-F	CD8A	HLA-F	CD8A	inhibitory	0.0509429430841463	0.0336965732719353	0.017246369812210997	0.0099009900990099	1.0	True	False	outgoing	0.017246369812210997
SPP1_CD44	SPP1	Secreted Signaling	incoming	SPP1	CD44	SPP1	CD44	other	0.0684595645174767	0.0848305712263572	-0.016371006708880503	1.0	0.0099009900990099	False	True	incoming	0.016371006708880503
COL1A1_CD44	COLLAGEN	ECM-Receptor	outgoing	COL1A1	CD44	COL1A1	CD44	other	0.070974328443348	0.057510368918624	0.013463959524723998	0.0099009900990099	1.0	True	False	outgoing	0.013463959524723998
PPIA_BSG	CypA	Secreted Signaling	incoming	PPIA	BSG	PPIA	BSG	other	0.4911393948809363	0.5045585958091164	-0.013419200928180164	0.99009900990099	0.0198019801980198	False	True	incoming	0.013419200928180164
JAM1_ITGAL_ITGB2	JAM	Cell-Cell Contact	outgoing	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	0.0810226081576971	0.0685258716057587	0.012496736551938406	0.0099009900990099	1.0	True	False	outgoing	0.012496736551938406
CD99_CD99	CD99	Cell-Cell Contact	outgoing	CD99	CD99	CD99	CD99	other	0.3082781489652595	0.3188559252228923	-0.010577776257632787	0.99009900990099	0.0198019801980198	False	True	outgoing	0.010577776257632787
CD99_CD99	CD99	Cell-Cell Contact	incoming	CD99	CD99	CD99	CD99	other	0.3082781489652595	0.3188559252228923	-0.010577776257632787	0.99009900990099	0.0198019801980198	False	True	incoming	0.010577776257632787
SPP1_ITGAV_ITGB1	SPP1	Secreted Signaling	incoming	SPP1	ITGAV_ITGB1	SPP1	ITGAV|ITGB1	other	0.0324149670809001	0.042889063608524	-0.010474096527623898	1.0	0.0099009900990099	False	True	incoming	0.010474096527623898
