scope	universe	rank	set	family	size	n_alias	n_genes_ranked	es	nes	p	fdr_rank	fdr_family	n_leading	lead_mean	lead_median	lineage_frac	leading_top	status	nperm
full	zerofill_q4	ols_t	HALLMARK_INTERFERON_ALPHA_RESPONSE	ifn	96	0	21604	-0.684556032830233	-3.45873229805303	4.999750012499375e-05	0.00030998450077496123	0.0004999750012499375	60	-0.9257756173386913	-0.7627653845062818	0.016666666666666666	GBP2,GBP4,TMEM140,TAP1,EPSTI1,SAMD9L,PSME2,PSMB9,IFI35,IFITM1,LAP3,RTP4,STAT2,CASP1,UBE2L6,SELL,IFI44L,B2M,OASL,IRF9	ok	20000
full	zerofill_q4	ols_t	HALLMARK_INTERFERON_GAMMA_RESPONSE	ifn	198	0	21604	-0.6871530531695521	-3.8665081886602217	4.999750012499375e-05	0.00030998450077496123	0.0004999750012499375	130	-0.9186672217032479	-0.8057824851287904	0.1076923076923077	CCL5,GZMA,CSF2RB,GBP4,CD69,TAP1,IL10RA,EPSTI1,IL15RA,SAMHD1,STAT1,FGL2,CD86,LCP2,JAK2,SAMD9L,PSME2,PSMB9,STAT4,PFKP	ok	20000
full	zerofill_q4	ols_t	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	mhc	21	0	21604	-0.7740799632142304	-2.7135817988053637	0.0004997501249375312	0.000534215650795292	0.000624687656171914	17	-0.8900932619782763	-0.73695046657342	0.0	TAP2,TAP1,PSMB9,HLA-E,HLA-B,B2M,HLA-F,HLA-C,ERAP1,PSMB10,PSMB8,IRF1,HLA-A,TAPBPL,TAPBP,NLRC5,ERAP2	ok	2000
full	zerofill_q4	ols_t	HALLMARK_IFN_CORE	ifn	72	0	21604	-0.7041262465965403	-3.416857926571199	0.0004997501249375312	0.000534215650795292	0.000526052763092138	51	-0.8494239394143434	-0.6738763746142578	0.0	GBP4,TAP1,EPSTI1,SAMD9L,PSME2,PSMB9,IFI35,LAP3,RTP4,STAT2,CASP1,UBE2L6,IFI44L,B2M,OASL,IRF9,SP110,BST2,CXCL11,CXCL10	ok	2000
full	zerofill_q4	ols_t	HALLMARK_IFN_ALPHA_NOLINEAGE	ifn	95	0	21604	-0.6817457087078298	-3.4833446260459495	0.0004997501249375312	0.000534215650795292	0.000526052763092138	59	-0.9150364009624041	-0.7583196005861317	0.0	GBP2,GBP4,TMEM140,TAP1,EPSTI1,SAMD9L,PSME2,PSMB9,IFI35,IFITM1,LAP3,RTP4,STAT2,CASP1,UBE2L6,IFI44L,B2M,OASL,IRF9,SP110	ok	2000
full	zerofill_q4	ols_t	HALLMARK_IFN_GAMMA_NOLINEAGE	ifn	184	0	21604	-0.6655435156122051	-3.680575758058922	0.0004997501249375312	0.000534215650795292	0.000526052763092138	116	-0.8842738102281611	-0.764063034963262	0.0	CCL5,GBP4,TAP1,IL10RA,EPSTI1,IL15RA,SAMHD1,STAT1,FGL2,JAK2,SAMD9L,PSME2,PSMB9,STAT4,PFKP,OAS2,IFI35,LAP3,RTP4,TNFAIP3	ok	2000
full	zerofill_q4	ols_t	HALLMARK_IFN_CORE_NOLINEAGE	ifn	72	0	21604	-0.7041262465965403	-3.3414742980899272	0.0004997501249375312	0.000534215650795292	0.000526052763092138	51	-0.8494239394143434	-0.6738763746142578	0.0	GBP4,TAP1,EPSTI1,SAMD9L,PSME2,PSMB9,IFI35,LAP3,RTP4,STAT2,CASP1,UBE2L6,IFI44L,B2M,OASL,IRF9,SP110,BST2,CXCL11,CXCL10	ok	2000
full	zerofill_q4	ols_t	CUSTOM_CORE_ISG	ifn	44	0	21604	-0.8126599215363572	-3.4859029050798003	0.0004997501249375312	0.000534215650795292	0.000526052763092138	36	-1.0852539147919056	-0.9498936460435405	0.0	GBP2,GBP4,GBP1,TAP2,TAP1,STAT1,PSMB9,OAS2,IFI35,STAT2,HLA-E,HLA-B,IFI44L,B2M,OASL,IRF9,HLA-F,BST2,HLA-C,IFIH1	ok	2000
full	zerofill_q4	ols_t	CUSTOM_CORE_ISG_CXCR3	ifn	49	0	21604	-0.8209986252561073	-3.5961457669090913	0.0004997501249375312	0.000534215650795292	0.000526052763092138	41	-1.1329943845678916	-0.9774953115914465	0.0	CCL5,GBP2,GBP4,GBP1,TAP2,TAP1,STAT1,PSMB9,OAS2,IFI35,STAT2,HLA-E,CXCL13,HLA-B,IFI44L,B2M,OASL,IRF9,HLA-F,BST2	ok	2000
full	zerofill_q4	ols_t	CUSTOM_INFLAMMATORY_CHEMOKINES	chemokine	22	0	21604	-0.8175241666066451	-2.903090384216414	0.0004997501249375312	0.000534215650795292	0.0004997501249375312	11	-1.3728761120359878	-1.2970967192045804	0.18181818181818182	CCL5,XCL2,CCL3,CCL4,XCL1,CXCL13,CXCL11,CXCL10,CCL7,CXCL9,CCL8	ok	2000
full	zerofill_q4	ols_t	REACTOME_ANTIGEN_CROSS_PRESENTATION	mhc	102	0	21604	-0.5125373400430767	-2.6061887876749776	0.0004997501249375312	0.000534215650795292	0.000624687656171914	42	-0.7355679443014788	-0.6015696753217955	0.023809523809523808	CYBB,BTK,S100A8,PSME2,PSMB9,CD36,HLA-E,HLA-B,PSMA5,B2M,HLA-F,FCGR1A,PSME1,HLA-C,PSMA2,S100A9,PSMD9,PSMB10,NCF1,MRC1	ok	2000
