kind	scope	set	universe	rank	normalization	n_boot_ok	nes_point	nes_boot_median	ci_lo	ci_hi	note
baseline_ifng_ols_t	full	HALLMARK_INTERFERON_GAMMA_RESPONSE	zerofill_q4	ols_t	pooled_TMM_held_fixed	195	-3.8665081886602217		-4.002167267838349	-2.5796871980159173	Patient bootstrap of the OLS t. Five of 200 draws had too few same-sign nulls at 1000 permutations and were dropped.
ifn_nes_max_on_drop_grid	drop_GSE205335	CUSTOM_CORE_ISG_CXCR3	within_cohort	stouffer_z	within_cohort_TMM_held_fixed	200	-2.9466337528833675	-2.4800830419177813	-3.2733783193165116	0.5696540796389133	Resampled inside each cohort Q1/Q4 TMM (GSE123902 n=7, GSE131907 n=11). Interval includes positive NES.
