set	source
GO_CELLULAR_RESPONSE_TO_CHEMOKINE	GO_Biological_Process_2023 | Cellular Response To Chemokine (GO:1990869)
GO_CELLULAR_RESPONSE_TO_INTERFERON_BETA	GO_Biological_Process_2023 | Cellular Response To Interferon-Beta (GO:0035458)
GO_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	GO_Biological_Process_2023 | Cellular Response To Type II Interferon (GO:0071346)
GO_CELLULAR_RESPONSE_TO_TYPE_I_INTERFERON	GO_Biological_Process_2023 | Cellular Response To Type I Interferon (GO:0071357)
GO_CHEMOKINE_MEDIATED_SIGNALING	GO_Biological_Process_2023 | Chemokine-Mediated Signaling Pathway (GO:0070098)
GO_INTERFERON_MEDIATED_SIGNALING	GO_Biological_Process_2023 | Interferon-Mediated Signaling Pathway (GO:0140888)
GO_MHC_I_PEPTIDE_ANTIGEN_PRESENTATION	GO_Biological_Process_2023 | Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)
GO_RESPONSE_TO_TYPE_II_INTERFERON	GO_Biological_Process_2023 | Response To Type II Interferon (GO:0034341)
GO_TYPE_I_INTERFERON_SIGNALING	GO_Biological_Process_2023 | Type I Interferon-Mediated Signaling Pathway (GO:0060337)
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_2021_Human | Antigen processing and presentation
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_2021_Human | Chemokine signaling pathway
REACTOME_ANTIGEN_CROSS_PRESENTATION	Reactome_2022 | Antigen processing-Cross Presentation R-HSA-1236975
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Reactome_2022 | Chemokine Receptors Bind Chemokines R-HSA-380108
REACTOME_CLASS_I_MHC_ANTIGEN_PROCESSING	Reactome_2022 | Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Reactome_2022 | Interferon Alpha/Beta Signaling R-HSA-909733
REACTOME_INTERFERON_GAMMA_SIGNALING	Reactome_2022 | Interferon Gamma Signaling R-HSA-877300
REACTOME_INTERFERON_SIGNALING	Reactome_2022 | Interferon Signaling R-HSA-913531
WP_CHEMOKINE_SIGNALING	WikiPathway_2021_Human | Chemokine signaling pathway WP3929
WP_INTERFERON_SIGNALING_OVERVIEW	WikiPathway_2021_Human | Overview of interferons-mediated signaling pathway WP4558
WP_INTERFERON_TYPE_III_SIGNALING	WikiPathway_2021_Human | Type III interferon signaling WP2113
WP_INTERFERON_TYPE_II_SIGNALING	WikiPathway_2021_Human | Type II interferon signaling (IFNG) WP619
WP_INTERFERON_TYPE_I_SIGNALING	WikiPathway_2021_Human | Interferon type I signaling pathways WP585
