scope	set	family	size	n_alias	n	n_q1	n_q4	signature_logFC	signature_se	signature_p	df	signature_ci_lo	signature_ci_hi	mean_gene_logFC	median_gene_logFC
full	HALLMARK_INTERFERON_ALPHA_RESPONSE	ifn	96	0	34	18	16	-0.5360639457300387	0.2143775867118756	0.018301660769140977	29	-0.8487090792383253	-0.21210023705599404	-0.5360639457300377	-0.49972329496664475
full	HALLMARK_INTERFERON_GAMMA_RESPONSE	ifn	198	0	34	18	16	-0.5483613390769223	0.1771362166970526	0.004324843689059608	29	-0.7876430371541775	-0.31071039261177874	-0.5483613390769222	-0.5398344974748316
full	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	mhc	21	0	34	18	16	-0.7295081626284655	0.2876718507832989	0.0168618574988332	29	-1.2174315831076874	-0.2946192289318257	-0.7295081626284651	-0.6758018306951526
full	HALLMARK_IFN_CORE	ifn	72	0	34	18	16	-0.5680050760026916	0.2276262126554797	0.01852358995615678	29	-0.8988681300059035	-0.22502372425934783	-0.5680050760026908	-0.5073054152884302
full	HALLMARK_IFN_ALPHA_NOLINEAGE	ifn	95	0	34	18	16	-0.5252920990162521	0.21609625382328487	0.02147950978816252	29	-0.8500222275863458	-0.19992542514505632	-0.5252920990162525	-0.49494021463137494
full	HALLMARK_IFN_GAMMA_NOLINEAGE	ifn	184	0	34	18	16	-0.498503088599322	0.18226615143574143	0.010527743941883317	29	-0.7494422305694776	-0.23827749176583068	-0.4985030885993211	-0.47910111016755497
full	HALLMARK_IFN_CORE_NOLINEAGE	ifn	72	0	34	18	16	-0.5680050760026916	0.2276262126554797	0.01852358995615678	29	-0.9067777347837427	-0.20610279515345353	-0.5680050760026908	-0.5073054152884302
full	CUSTOM_CORE_ISG	ifn	44	0	34	18	16	-0.9137259320375564	0.32073996947826944	0.007989522592322301	29	-1.378274352319691	-0.4106706305850886	-0.9137259320375564	-0.8197142928970303
full	CUSTOM_CORE_ISG_CXCR3	ifn	49	0	34	18	16	-0.9711748947842344	0.31031536663255793	0.003969088268896143	29	-1.4551165382390803	-0.4801998371958837	-0.9711748947842332	-0.9173375124368105
full	CUSTOM_INFLAMMATORY_CHEMOKINES	chemokine	22	0	34	18	16	-0.6591610818762461	0.26319620443346514	0.018137912179579652	29	-1.0415715541916044	-0.253448360352227	-0.6591610818762454	-0.4473207372374291
