gene	matched_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast_id	cell_line	accession
XRCC5	XRCC5	4474.557339922559	-0.21625713831150736	0.12281152704524428	-1.7608863232507264	0.07825764522532079	0.2433217825344945	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
XRCC6	XRCC6	9655.510938642936	-0.6107264208700084	0.13051669011294573	-4.679297493228657	2.8785951483506776e-06	7.546802112796293e-05	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
PRKDC	PRKDC	14584.933573961122	-0.3817444701501042	0.13026130794403554	-2.9306052286386834	0.003383023939913738	0.02523409327123087	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
TP53BP1	TP53BP1	1729.9827793197464	0.05144981813047064	0.1270280534359266	0.4050272104375914	0.6854575097653479	0.8416721681109472	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
MAVS	MAVS	5686.722706169184	0.06343003096910522	0.12867266351502124	0.4929565397680636	0.6220432958925374	0.8021926350056862	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
ISG15	ISG15	1297.6996034647693	3.3509954040787076	0.18619233857765746	17.99749350417589	2.0383747959264734e-72	3.3867597234318353e-69	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
IFIT1	IFIT1	1499.3342430687724	4.218173199921845	0.14777531547993739	28.54450478567594	3.2866721686818816e-179	1.4562148822039857e-175	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
IFI44L	IFI44L	86.30399366136402	5.753621477604389	0.6175470371720425	9.316895930635786	1.197936267275356e-20	2.6103227646924642e-18	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
RSAD2	RSAD2	45.70716294144203	4.780081606784867	0.6982206680449539	6.846090105251809	7.589568591741625e-12	6.81625308928579e-10	HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
CXCL10	CXCL10	2.493993114449143	2.691401647183317	2.0360776737104733	1.321856077464179	0.1862160806949822		HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709
XRCC5	XRCC5	3197.441610707137	-0.4232327809058166	0.07146928764012693	-5.9218832995362	3.182754589336944e-09	3.9948271568938185e-08	HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
XRCC6	XRCC6	9102.213684367278	-0.7119026464395483	0.0555803437732336	-12.808532623405373	1.4688596712428296e-37	2.5741765738530587e-35	HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
PRKDC	PRKDC	11362.392516571936	-0.7580949697416007	0.05328597197082967	-14.226914546226249	6.237363708393989e-46	1.7846497794221168e-43	HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
TP53BP1	TP53BP1	1568.4276232280797	0.1129305911353384	0.0881903951145462	1.280531638265804	0.20035822507525292	0.34487689570964347	HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
MAVS	MAVS	4559.209705314978	0.2951993546644857	0.06501418914019501	4.540537359128251	5.611103485043603e-06	3.9671039263898793e-05	HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
ISG15	ISG15	188.94276789626147	1.1976148315632036	0.21599883076081502	5.54454312250132	2.9472269651250156e-08	3.1566174217763724e-07	HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
IFIT1	IFIT1	71.11402010610196	0.8143482354806449	0.3666799968690066	2.220868993220713	0.026359835898487987	0.06876905457700067	HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
IFI44L								HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
RSAD2	RSAD2	2.4901942605687726	1.1025995751424293	1.876207340366797	0.5876746942727941	0.5567506643179392		HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
CXCL10								HCT116_Ku80AID_IAA_D2	HCT116	GSE294709
XRCC5	XRCC5	5485.3956481575315	-0.1292466016086303	0.08000371059612513	-1.615507588905385	0.10620081824821358	0.31036672241427	HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
XRCC6	XRCC6	15509.18457226336	-0.2533633394439231	0.06639843692277399	-3.8158027686495437	0.0001357408994597177	0.0028175113054858107	HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
PRKDC	PRKDC	15654.926016273275	-0.23353668877243383	0.06510708351399234	-3.5869628336560924	0.0003345519864039041	0.005630078779351834	HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
TP53BP1	TP53BP1	2080.2997383472516	0.13282833947801068	0.09489319921908228	1.3997666910918094	0.16158319538138877	0.3999491456385862	HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
MAVS	MAVS	5201.172037760456	0.18707842836331115	0.0763689759718518	2.4496652728755306	0.014298907118392209	0.08536315152392016	HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
ISG15	ISG15	466.47728275836806	0.07523928893622023	0.16691201288776292	0.45077216213798577	0.652153766811033	0.8439059531388129	HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
IFIT1	IFIT1	39.927141750550334	0.08663446538577306	0.5377783850997931	0.1610969644488346	0.8720170310382975		HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
IFI44L								HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
RSAD2								HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
CXCL10								HCT116_Ku80AID_IAA_24h	HCT116	GSE294709
XRCC5	XRCC5	4775.168095176655	-0.15432802857395234	0.06709888178279998	-2.300008949083747	0.02144771304650323	0.10429198378359099	HCT116_Ku80AID_CDKi_48h	HCT116	GSE294709
XRCC6	XRCC6	11966.119695307278	-0.4342129221530654	0.05486708936363972	-7.913904805032671	2.4943905696854873e-15	4.442831461457554e-13	HCT116_Ku80AID_CDKi_48h	HCT116	GSE294709
PRKDC	PRKDC	13939.79318889252	-0.3660690164931895	0.054568353301204416	-6.70844902488765	1.9670385913040236e-11	1.487808709847283e-09	HCT116_Ku80AID_CDKi_48h	HCT116	GSE294709
TP53BP1	TP53BP1	1887.8549481246282	0.03901800939440563	0.09172164108192991	0.42539589277031126	0.6705480996334959	0.8499612791841936	HCT116_Ku80AID_CDKi_48h	HCT116	GSE294709
MAVS	MAVS	5337.974462471546	0.218297593216624	0.06466541329910307	3.37580140726715	0.0007360102483551796	0.007328909984297788	HCT116_Ku80AID_CDKi_48h	HCT116	GSE294709
