contrast_id	cell_line	accession	perturbation	condition	role	geneset	ES	NES	nom_p	fdr_q	n_in_set	lead_genes
HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709	XRCC5 (Ku80-AID)	IAA+Dox+CDKi vs CDKi, day 4, clones 1/7/9	primary	IFN_ALPHA	0.8936919292605807	3.355992038381401	0.0	0.0	92	SAMD9;OAS1;ISG15;PARP9;BST2;HELZ2;IFITM1;SP110;IFIH1;IRF7;LAMP3;USP18;OASL;IFI44;PARP14;IFIT2;HLA-C;STAT2;PLSCR1;IFIT3;DDX60;PARP12;UBE2L6;LGALS3BP;HERC6;IFI27;TRIM21;IFI35;TAP1;SAMD9L;CMPK2;IFI44L;IFITM3;EIF2AK2;LAP3;IRF9;BATF2;TDRD7;B2M;RSAD2;EPSTI1;TRIM14;PSME2;PSMB9;ADAR;TRIM5;IL4R;TENT5A;ELF1;NMI;OGFR;PSME1;UBA7;ISG20;CMTR1;DHX58;LY6E;RNF31;TRIM25;IL15;PNPT1;MX1;IRF2;CASP8;GBP2;CNP
HCT116_Ku80AID_CDKi_D4	HCT116	GSE294709	XRCC5 (Ku80-AID)	IAA+Dox+CDKi vs CDKi, day 4, clones 1/7/9	primary	IFN_GAMMA	0.809877758111155	3.2591548848012297	0.0	0.0	170	IFIT1;OAS3;ISG15;STAT1;BST2;RIGI;HELZ2;SP110;IFIH1;IRF7;USP18;OASL;HLA-A;IFI44;PARP14;IFIT2;STAT2;PLSCR1;IFIT3;DDX60;XAF1;PARP12;UBE2L6;LGALS3BP;HLA-B;HERC6;IFI27;TRIM21;IFI35;TAP1;SAMD9L;CMPK2;IFI44L;IFITM3;RNF213;EIF2AK2;LAP3;IRF9;ZNFX1;BATF2;TDRD7;OAS2;PML;B2M;RSAD2;EPSTI1;APOL6;SECTM1;TRIM14;MVP;NLRC5;RBCK1;PSME2;MX2;MYD88;SAMHD1;PSMB9;ADAR;IL4R;NMI;TAPBP;STAT3;CFB;OGFR;CASP7;PSME1;TOR1B;ISG20;CMTR1;DHX58;LY6E;BTG1;RNF31;TRIM25;VAMP8;IL15;SLAMF7;CD274;PNPT1;MX1;IRF2;CCL5;CASP8;TNFSF10;SERPING1;VAMP5;IL15RA
HCT116_Ku80AID_IAA_D2	HCT116	GSE294709	XRCC5 (Ku80-AID)	IAA+Dox day 2 vs DMSO, clones 1/7/9	timecourse	IFN_ALPHA	0.6166860925586204	2.2926348974447794	0.0	0.0	86	SAMD9;IFITM3;IL4R;STAT2;HLA-C;B2M;HELZ2;PARP9;OASL;IRF7;IRF9;ISG15;PARP14;TDRD7;ELF1;SP110;TRAFD1;LGALS3BP;PSME2;IFIH1;TRIM21;DDX60;IFIT2;NUB1;IFITM2;ISG20;CASP8;TRIM5;IRF2;IFI35;TAP1;PSME1;PARP12;MX1;EIF2AK2;CD47;ADAR;BATF2;HERC6;GBP2
HCT116_Ku80AID_IAA_D2	HCT116	GSE294709	XRCC5 (Ku80-AID)	IAA+Dox day 2 vs DMSO, clones 1/7/9	timecourse	IFN_GAMMA	0.49906688611932903	2.0193627466558093	0.0	0.0	158	HLA-A;MVP;RNF213;IFITM3;IL4R;STAT2;TAPBP;STAT3;B2M;STAT1;RIGI;ZNFX1;HELZ2;VAMP8;HLA-B;NCOA3;OASL;IRF7;IRF9;ISG15;LATS2;PARP14;TDRD7;SP110;RIPK1;TRAFD1;LGALS3BP;PSME2;PTPN6;ST3GAL5;CDKN1A;IFIH1;TRIM21;PML;JAK2;DDX60;IFIT2;IFITM2;ISG20;METTL7B;CASP8;FAS;TOR1B;IRF2;BPGM;SECTM1;BTG1;IFI35;SLAMF7;TAP1;PSME1;PARP12;GCH1;CASP4;MYD88;CD40;MX1;EIF2AK2;SPPL2A;CFB;ADAR;IFIT1;BATF2;HERC6;SERPING1;ARID5B;IL10RA;STAT4;TRIM26;SOCS1;CASP7;HLA-DMA;PSMB9;RBCK1;BST2;IRF5;IL15
HCT116_Ku80AID_IAA_24h	HCT116	GSE294709	XRCC5 (Ku80-AID)	IAA 24h vs DMSO 24h, clones 1 and 9	timecourse	IFN_ALPHA	0.4865659968053283	1.9026229653424305	0.0	0.0	83	SAMD9;STAT2;IL4R;PARP14;IFITM3;B2M;HELZ2;SP110;IRF7;TRIM21;IRF9;TDRD7;TRIM5;PARP9;TRAFD1;EIF2AK2;IRF1;IFI35;LAMP3;IL15;IFIT3;OASL;TRIM26;HERC6;IFITM2;CD47;HLA-C;CSF1;LY6E;PARP12;TENT5A;GMPR;MOV10;CASP8;IFIT2;PSME2;NCOA7;MX1
HCT116_Ku80AID_IAA_24h	HCT116	GSE294709	XRCC5 (Ku80-AID)	IAA 24h vs DMSO 24h, clones 1 and 9	timecourse	IFN_GAMMA	0.4170906429867152	1.758941409202973	0.0	0.0015723270440251573	158	STAT3;VAMP8;STAT2;IL4R;RNF213;ST3GAL5;MVP;PARP14;IFITM3;NCOA3;B2M;TAPBP;HELZ2;SP110;HLA-A;GCH1;IRF7;TRIM21;IRF9;LATS2;TDRD7;PTGS2;STAT1;PTPN6;RAPGEF6;SPPL2A;CASP7;TRAFD1;IL10RA;EIF2AK2;IRF1;IFI35;IL15;CD40;IFIT3;OASL;C1R;JAK2;RIPK1;TRIM26;TOR1B;ARID5B;HLA-B;HERC6;IFITM2;IRF5
HCT116_Ku80AID_CDKi_48h	HCT116	GSE294709	XRCC5 (Ku80-AID)	CDKi+IAA 48h vs CDKi 48h, clones 1 and 9	timecourse	IFN_ALPHA	0.7356483729233775	2.673217341342292	0.0	0.0	87	ISG15;HELZ2;HLA-C;LGALS3BP;IFITM3;OASL;STAT2;IFI35;IRF9;IL4R;SP110;TAP1;PARP9;TRIM26;LY6E;IFIH1;TRIM21;SAMD9;IRF7;OAS1;PARP12;PARP14;ADAR;ISG20;IFIT2;IFI27;IFITM2;EIF2AK2;IFI44;B2M;TDRD7;IFIT3;DDX60;PSME2;OGFR;TRAFD1;EPSTI1;GBP2;IL15;IFI30;IFITM1;CASP8;BST2;CNP;MX1
HCT116_Ku80AID_CDKi_48h	HCT116	GSE294709	XRCC5 (Ku80-AID)	CDKi+IAA 48h vs CDKi 48h, clones 1 and 9	timecourse	IFN_GAMMA	0.6246684709604469	2.461798934151787	0.0	0.0	160	HLA-A;ISG15;RIGI;MVP;HELZ2;LGALS3BP;IFITM3;RNF213;OASL;STAT2;CDKN1A;STAT3;IFI35;IFIT1;HLA-B;ZNFX1;VAMP8;IRF9;IL4R;SP110;STAT1;TAP1;TRIM26;LY6E;IFIH1;TRIM21;IRF7;SECTM1;PML;RIPK1;PARP12;TAPBP;TOR1B;PARP14;ADAR;ISG20;PFKP;OAS3;IFIT2;IFI27;PTPN6;IFITM2;EIF2AK2;IFI44;FAS;NCOA3;CD40;METTL7B;B2M;ST3GAL5;TDRD7;IFIT3;DDX60;PSME2;MYD88;OGFR;TRAFD1;MT2A;EPSTI1;RBCK1;ICAM1;LATS2;IL15;IFI30;CASP7;CASP8;BST2
HCT116_Ku80AID_MAVSKO	HCT116	GSE294709	XRCC5 (Ku80-AID), MAVS knockout	IAA vs DMSO on MAVS-KO Ku80-AID clones	epistasis	IFN_ALPHA	0.4691205645670062	1.749756351704621	0.003795066413662239	0.0037243947858473	88	IL4R;HLA-C;PARP12;SAMD9;IFITM3;STAT2;IRF7;LGALS3BP;IL15;TRIM26;CASP8;B2M;PSME2;TDRD7;NUB1;ELF1;PARP9;IRF9;HELZ2;PARP14;SP110;RIPK2;TAP1;ISG15
HCT116_Ku80AID_MAVSKO	HCT116	GSE294709	XRCC5 (Ku80-AID), MAVS knockout	IAA vs DMSO on MAVS-KO Ku80-AID clones	epistasis	IFN_GAMMA	0.41072122664446753	1.7250445642774594	0.0	0.00186219739292365	165	HLA-A;IL4R;CDKN1A;MVP;VAMP8;PARP12;RIGI;RIPK1;IFITM3;TOR1B;STAT2;STAT3;ZNFX1;IRF7;HLA-B;IL15RA;RBCK1;LGALS3BP;IL15;TRIM26;CASP8;STAT1;B2M;PSME2;TDRD7;SECTM1;SLAMF7;CASP7;NCOA3;FAS;GCH1;IRF9;HELZ2;PARP14;PTPN6;SP110;RIPK2;TAP1;TAPBP;MYD88;BPGM;ISG15;RNF213;CD40;LATS2;VAMP5;JAK2
