mouse	dataset	gsm	genotype	arm	strain	n_cells	n_epi	n_epi_loose	n_tnk	frac_tnk	frac_epi	frac_sftpc	Cldn4_all_mean	Cldn4_all_pctpos	Cldn4_epi_mean	Cldn4_epi_pctpos	IFN_epi_mean	MHC_epi_mean	TJ_epi_mean
GSE165641_KL1	GSE165641	GSM5047302	KL	KL	C57BL/6	4199	207	455	97	0.0231007382710169	0.049297451774232	0.162181471778995	0.0755630789212998	4.73922362467254	1.08038426404008	64.7342995169082	0.136247740297209	0.376295703990356	0.591084360237027
GSE165641_KL2	GSE165641	GSM5047303	KL	KL	C57BL/6	2494	160	345	253	0.101443464314354	0.0641539695268645	0.544506816359262	0.0414155875450808	3.92943063352045	0.563720113764884	51.25	0.0753755841203874	0.611294311070975	0.773239685350556
GSE180963_K	GSE180963	GSM5481386	K	K	FVB	6696	28	1313	3634	0.542712066905615	0.0041816009557945	0.764635603345281	0.000112720891884305	0.0149342891278375	0.0269563961449039	3.57142857142857	0.114814052431603	0.822412744166676	0.277258117070477
GSE180963_KL	GSE180963	GSM5481387	KL	KL	FVB	7564	174	1120	3818	0.504759386567953	0.0230037017451084	0.777498677948176	0.003144771669931	0.330512956107879	0.0970074558745663	9.77011494252874	0.242014350465257	1.68737730451405	0.623448849310788
