contrast	n_mice	spearman_rho	spearman_p	note
Cldn4 epi mean vs T/NK fraction	4	-1	0	mouse-level Spearman
Cldn4 epi %pos vs T/NK fraction	4	-1	0	mouse-level Spearman
Cldn4 epi mean vs IFN epi	4	0	1	mouse-level Spearman
Cldn4 epi mean vs MHC epi	4	-0.8	0.2	mouse-level Spearman
Cldn4 epi mean vs TJ epi	4	0.4	0.6	mouse-level Spearman
