contrast	n_mice	allowed	note
epithelial IFN Q4 vs Q1	4	FALSE	NO-GO: n_mice<6; Q4 vs Q1 not run
epithelial MHC Q4 vs Q1	4	FALSE	NO-GO: n_mice<6; Q4 vs Q1 not run
epithelial TJ Q4 vs Q1	4	FALSE	NO-GO: n_mice<6; Q4 vs Q1 not run
