cohort	n
lung_models	260
lung_rna_any_model_match	214
lung_rna_complete_panel	214
NSCLC	143
LUAD	80
LUSC	27
SCLC_NET	60
other_lung	11
other_NSCLC	36
lung_CRISPR_complete_panel	123
NSCLC_CRISPR_complete_panel	95
lung_PRKDC_Humagne_screen	5
