cut	target	n_q4	n_q1	cldn4_q4_min	cldn4_q1_max	q4_median	q1_median	cliffs_delta	p	q
lung	sig_NHEJ	54	54	7.931973755368778	3.0762189629676184	-0.21968289869515817	0.08230811123237165	-0.3443072702331962	0.002059978860047227	0.009321220378459864
lung	sig_STING	54	54	7.931973755368778	3.0762189629676184	0.2674392541201271	0.05335983108025868	0.21604938271604937	0.05330618370264496	0.08884363950440827
lung	sig_SENSOR	54	54	7.931973755368778	3.0762189629676184	0.5128461946943594	-0.039822476438721666	0.3340192043895748	0.002796366113537959	0.009321220378459864
lung	PRKDC	54	54	7.931973755368778	3.0762189629676184	6.8640672837264844	7.416612768102448	-0.2551440329218107	0.022450030727179018	0.056125076817947546
lung	XRCC4	54	54	7.931973755368778	3.0762189629676184	3.601586382118718	3.493114440113699	0.03909465020576132	0.7284684466927601	0.8094093852141779
lung	LIG4	54	54	7.931973755368778	3.0762189629676184	2.703642381012157	2.8459694445337105	-0.11934156378600823	0.28639147353280414	0.4091306764754345
lung	TP53BP1	54	54	7.931973755368778	3.0762189629676184	4.57228336665041	4.825405072573914	-0.2215363511659808	0.04752485821844236	0.08884363950440827
lung	STING1	54	54	7.931973755368778	3.0762189629676184	4.421214459717612	1.975154882481795	0.4338134430727023	0.00010301787778101127	0.0010301787778101126
lung	CGAS	54	54	7.931973755368778	3.0762189629676184	3.1544652751787394	3.22369868027737	0.019204389574759947	0.8658159710437416	0.8658159710437416
lung	STAT1	54	54	7.931973755368778	3.0762189629676184	5.71292464548967	5.761521403037741	-0.04938271604938271	0.660422564173825	0.8094093852141779
NSCLC	sig_NHEJ	36	36	8.274004817090551	3.484506153758158	-0.2036300811997218	0.11168228103755679	-0.4058641975308642	0.0031130257080895763	0.015565128540447882
NSCLC	sig_STING	36	36	8.274004817090551	3.484506153758158	0.040262442763164166	0.12332818882934937	0.06944444444444445	0.6162501563903106	0.6162501563903106
NSCLC	sig_SENSOR	36	36	8.274004817090551	3.484506153758158	0.2701900399530675	0.09622540648231481	0.19444444444444445	0.15753304720439532	0.2625550786739922
NSCLC	PRKDC	36	36	8.274004817090551	3.484506153758158	6.836543533160578	7.393298752665357	-0.279320987654321	0.04206835897505947	0.14022786325019823
NSCLC	XRCC4	36	36	8.274004817090551	3.484506153758158	3.58315787832678	3.641395955052747	-0.11342592592592593	0.4109893957779176	0.513736744722397
NSCLC	LIG4	36	36	8.274004817090551	3.484506153758158	2.5496644362203105	2.745501629497796	-0.09567901234567901	0.48853427765467905	0.5428158640607545
NSCLC	TP53BP1	36	36	8.274004817090551	3.484506153758158	4.567720748526609	4.711452871306092	-0.2222222222222222	0.10606435819634066	0.2625550786739922
NSCLC	STING1	36	36	8.274004817090551	3.484506153758158	4.421214459717612	2.759236096399593	0.4537037037037037	0.0009481319069014112	0.009481319069014112
NSCLC	CGAS	36	36	8.274004817090551	3.484506153758158	3.1286524308839745	3.6328075232422288	-0.20601851851851852	0.13415699742897383	0.2625550786739922
NSCLC	STAT1	36	36	8.274004817090551	3.484506153758158	5.654696338687955	5.848520763819598	-0.14814814814814814	0.28212528964953754	0.4030361280707679
