ScreenID	ModelID	CellLineName	OncotreePrimaryDisease	OncotreeSubtype	group	PRKDC_screen
SC-000292.CD02	ACH-000292	NCI-H841	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor	other_lung	-1.1519559770432566
SC-000749.CD01	ACH-000749	DMS 273	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC_NET	-0.2100580112216884
SC-000774.CD01	ACH-000774	RERF-LC-Ad2	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.9244989759545912
SC-000900.CD01	ACH-000900	NCI-H23	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-1.7496209557022762
SC-002490.CD01	ACH-002490	NCI-H1882	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC_NET	-1.112431852751409
