Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,Mouse_treatment,pvalue,label,label2,num,count
SRX3178239,Macrophages_mMCPcounter,5.68144384,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,**,*,NA,672
SRX3178240,CD8 T_mMCPcounter,5.24243925,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178240,Fibroblasts_mMCPcounter,5.231345041,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178240,Macrophages_mMCPcounter,4.849140891,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178240,T_mMCPcounter,4.574530195,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178242,Macrophages_mMCPcounter,4.441273182,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178240,B derived_mMCPcounter,3.282408519,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178241,Macrophages_mMCPcounter,2.921894051,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178242,Vessels_mMCPcounter,2.498043002,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178241,Vessels_mMCPcounter,2.412779358,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178242,Fibroblasts_mMCPcounter,2.399606845,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178242,CD8 T_mMCPcounter,2.377358116,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178239,T_mMCPcounter,2.197787091,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178242,B derived_mMCPcounter,2.140556509,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178240,Vessels_mMCPcounter,2.122118061,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178239,Vessels_mMCPcounter,2.119573312,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178242,T_mMCPcounter,1.953470126,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178240,Memory B_mMCPcounter,1.814426964,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178239,Fibroblasts_mMCPcounter,1.638955176,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178241,Monocytes_mMCPcounter,1.388951608,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Non-responders,0,GSE103725,BRAFi; antiPDL2;,0.539634327817217,NA,NA,NA,672
SRX3178239,Endothelial_mMCPcounter,1.359980808,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
SRX3178240,Endothelial_mMCPcounter,1.312426525,YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=672),Responders,0,GSE103725,BRAFi; antiPDL2;,0.00132399874060834,NA,NA,NA,672
