dataset,gene,present,n_cells,n_expressing,pct_expressing,mean_raw,mean_cp10k
zenodo.10731914 human 8-LUAD scRNA-seq,TACSTD2,True,28457,7649,26.879150999754014,2.3914678286537585,3.4841320230521737
zenodo.10731914 human 8-LUAD scRNA-seq,CLDN4,True,28457,7835,27.53276873879889,1.5230698949291914,2.0604672642890045
zenodo.10731914 human 8-LUAD scRNA-seq,EPCAM,True,28457,6690,23.509154162420494,0.6963137365147415,0.9187456578763794
