contrast,n_a,n_b,median_a,median_b,U,p,method
TACSTD2_cp10k epithelial vs rest,9517,18940,3.9115978877371407,0.0,154541991.0,0.0,scipy.stats.mannwhitneyu two-sided
CLDN4_cp10k epithelial vs rest,9517,18940,4.220596510973551,0.0,161644458.0,0.0,scipy.stats.mannwhitneyu two-sided
