family	malignant_def	malignant_label	immune_def	immune_label	score	score_label	n	n_NMPR	n_MPR	rho	p	highlight_rho_le_neg035	note
vs_immune	hu_markers_mean	Hu markers (mean)	T_NK	T+NK	mean_log1p	mean log1p(CP10k)	9	7	2	-0.4666666666666666	0.2053863511058121	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	CD8_only	CD8 only	mean_log1p	mean log1p(CP10k)	9	7	2	-0.5666666666666667	0.1116329876114912	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	CD8_NK	CD8+NK	mean_log1p	mean log1p(CP10k)	9	7	2	-0.4833333333333333	0.1874698552155421	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	CXCL13_pos	CXCL13+	mean_log1p	mean log1p(CP10k)	9	7	2	-0.5833333333333334	0.0991858164798832	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	cyto_high_T	cyto-high T	mean_log1p	mean log1p(CP10k)	9	7	2	-0.4333333333333333	0.2439524358800517	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	T_NK	T+NK	pct_pos	%pos UMI>0	9	7	2	-0.3933088821151898	0.2949902441700331	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	CD8_only	CD8 only	pct_pos	%pos UMI>0	9	7	2	-0.4435185266405332	0.2317840652993741	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	CD8_NK	CD8+NK	pct_pos	%pos UMI>0	9	7	2	-0.4769916229907621	0.1941791760650665	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	CXCL13_pos	CXCL13+	pct_pos	%pos UMI>0	9	7	2	-0.435150252552976	0.2417571115070843	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	cyto_high_T	cyto-high T	pct_pos	%pos UMI>0	9	7	2	-0.3012578671520602	0.4308231577133151	False	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	T_NK	T+NK	ucell_module	UCell module	9	7	2	-0.2333333333333333	0.5456987782182728	False	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
vs_immune	hu_markers_mean	Hu markers (mean)	CD8_only	CD8 only	ucell_module	UCell module	9	7	2	-0.3999999999999999	0.286105101908313	True	Spearman; unit=post-treatment patient; scipy.stats.spearmanr
