dataset	kept	n_cells_loaded	n_genes_loaded	matrix
GSE154977	TRUE	11017	27999	GSE154977_mmLung10x_cis_dSp_rawCount.h5
GSE180963	TRUE	14260	20304	GSE180963_RAW.tar K/ + KL/ MTX
GSE165641	TRUE	7180	31053	GSM5047302/03 Cell Ranger filtered MTX
