mouse	compartment	Freq
GSE154977_KP_30w_Cis72_m5	epithelial	2057
GSE154977_KP_30w_Cis72_m6	epithelial	995
GSE154977_KP_30w_ND_m3	epithelial	3897
GSE154977_KP_30w_ND_m4	epithelial	3980
GSE165641_KL1	epithelial	207
GSE165641_KL2	epithelial	160
GSE180963_K	epithelial	28
GSE180963_KL	epithelial	174
GSE154977_KP_30w_Cis72_m5	other	7
GSE154977_KP_30w_Cis72_m6	other	4
GSE154977_KP_30w_ND_m3	other	48
GSE154977_KP_30w_ND_m4	other	28
GSE165641_KL1	other	3895
GSE165641_KL2	other	2081
GSE180963_K	other	3034
GSE180963_KL	other	3572
GSE154977_KP_30w_Cis72_m5	T/NK	1
GSE154977_KP_30w_Cis72_m6	T/NK	0
GSE154977_KP_30w_ND_m3	T/NK	0
GSE154977_KP_30w_ND_m4	T/NK	0
GSE165641_KL1	T/NK	97
GSE165641_KL2	T/NK	253
GSE180963_K	T/NK	3634
GSE180963_KL	T/NK	3818
