gene	present
Cldn4	TRUE
Cd3d	TRUE
Cd3e	TRUE
Cd3g	TRUE
Cd2	TRUE
Cd8a	TRUE
Cd8b1	TRUE
Cd4	TRUE
Nkg7	TRUE
Gzma	TRUE
Gzmb	TRUE
Prf1	TRUE
Klrb1c	TRUE
Ncr1	TRUE
Klrd1	TRUE
Klrc1	TRUE
Ifng	TRUE
Stat1	TRUE
Stat2	TRUE
Irf1	TRUE
Irf7	TRUE
Irf9	TRUE
Isg15	TRUE
Ifit1	TRUE
Ifit2	TRUE
Ifit3	TRUE
Mx1	TRUE
Oasl2	TRUE
Rsad2	TRUE
Ifih1	TRUE
Ddx58	TRUE
Ifnb1	FALSE
B2m	TRUE
H2-K1	TRUE
H2-D1	TRUE
H2-Q4	TRUE
H2-Q6	TRUE
H2-Q7	TRUE
H2-Aa	TRUE
H2-Ab1	TRUE
H2-Eb1	TRUE
Tap1	TRUE
Tap2	TRUE
Psmb8	TRUE
Psmb9	TRUE
Nlrc5	TRUE
Ciita	TRUE
Epcam	TRUE
Cdh1	TRUE
Krt8	TRUE
Krt18	TRUE
Krt19	TRUE
Sftpc	TRUE
Scgb1a1	TRUE
Ager	TRUE
Ptprc	TRUE
Stk11	TRUE
Tacstd2	TRUE
Cldn18	TRUE
Nkx2-1	TRUE
