signature,niche,n,mean,median
immune_score,CLDN4-high,859,0.03703376890270515,-0.007671040921897521
immune_score,Immune niche,402,0.7225178830065149,0.726197674969022
immune_score,CLDN4-high & immune,95,0.6636715603283676,0.6415179582164496
immune_score,Other,2460,0.027926164321608705,-0.022622478124536743
Tcell_score,CLDN4-high,859,-0.04902704856177312,-0.1301083215269219
Tcell_score,Immune niche,402,0.21278574843517217,0.17894218724415484
Tcell_score,CLDN4-high & immune,95,0.2522141165453393,0.20961211101118338
Tcell_score,Other,2460,-0.06545949135826869,-0.1557124415674363
Bcell_plasma_score,CLDN4-high,859,-0.058025442366848645,-0.20780482379282245
Bcell_plasma_score,Immune niche,402,1.3638495636705563,1.4698075580430539
Bcell_plasma_score,CLDN4-high & immune,95,1.1956046390615611,1.2378960214616435
Bcell_plasma_score,Other,2460,-0.0719875109525849,-0.23520954552738146
Myeloid_score,CLDN4-high,859,0.045715529055305355,-0.03596349596977233
Myeloid_score,Immune niche,402,0.7823546249265992,0.7608698518276215
Myeloid_score,CLDN4-high & immune,95,0.7028083778563298,0.7475526444911956
Myeloid_score,Other,2460,0.03242108916706004,-0.053400321900844594
NK_score,CLDN4-high,859,-0.00491922361045486,-0.06916369915008544
NK_score,Immune niche,402,0.05877374802729977,0.023194477558136
NK_score,CLDN4-high & immune,95,0.091164261560691,0.04931117892265319
NK_score,Other,2460,-0.005669726273150949,-0.07891451865434647
epithelial_score,CLDN4-high,859,0.5574792892876149,0.5925445427395859
epithelial_score,Immune niche,402,0.05077421190726816,0.03901535941630002
epithelial_score,CLDN4-high & immune,95,0.16122379629811717,0.136757493019104
epithelial_score,Other,2460,0.5177044609513352,0.5376952441067111
CLDN4,CLDN4-high,859,1.3540757894515991,1.2587473392486572
CLDN4,Immune niche,402,0.24776576459407806,0.0
CLDN4,CLDN4-high & immune,95,1.3876286745071411,1.3542814254760742
CLDN4,Other,2460,0.45879462361335754,0.5433375835418701
