Sample	timing	paper_group	lineage	n
BD_immune01	pre	TN	B	37
BD_immune01	pre	TN	NK	423
BD_immune01	pre	TN	T	196
BD_immune01	pre	TN	endothelial	19
BD_immune01	pre	TN	epithelial	645
BD_immune01	pre	TN	fibroblast	23
BD_immune01	pre	TN	mast	42
BD_immune01	pre	TN	myeloid	958
BD_immune01	pre	TN	neutrophil	2038
BD_immune01	pre	TN	other	112
BD_immune01	pre	TN	plasma	248
BD_immune02	post	NMPR	B	1970
BD_immune02	post	NMPR	NK	190
BD_immune02	post	NMPR	T	2390
BD_immune02	post	NMPR	endothelial	33
BD_immune02	post	NMPR	epithelial	99
BD_immune02	post	NMPR	fibroblast	12
BD_immune02	post	NMPR	mast	15
BD_immune02	post	NMPR	myeloid	117
BD_immune02	post	NMPR	neutrophil	245
BD_immune02	post	NMPR	other	227
BD_immune02	post	NMPR	plasma	47
BD_immune03	post	MPR	B	1050
BD_immune03	post	MPR	NK	1275
BD_immune03	post	MPR	T	3630
BD_immune03	post	MPR	endothelial	24
BD_immune03	post	MPR	epithelial	1046
BD_immune03	post	MPR	fibroblast	30
BD_immune03	post	MPR	mast	74
BD_immune03	post	MPR	myeloid	604
BD_immune03	post	MPR	neutrophil	165
BD_immune03	post	MPR	other	477
BD_immune03	post	MPR	plasma	884
BD_immune04	post	NMPR	B	458
BD_immune04	post	NMPR	NK	883
BD_immune04	post	NMPR	T	4462
BD_immune04	post	NMPR	endothelial	34
BD_immune04	post	NMPR	epithelial	129
BD_immune04	post	NMPR	fibroblast	35
BD_immune04	post	NMPR	mast	62
BD_immune04	post	NMPR	myeloid	1323
BD_immune04	post	NMPR	neutrophil	584
BD_immune04	post	NMPR	other	276
BD_immune04	post	NMPR	plasma	152
BD_immune05	pre	TN	B	241
BD_immune05	pre	TN	NK	129
BD_immune05	pre	TN	T	652
BD_immune05	pre	TN	endothelial	8
BD_immune05	pre	TN	epithelial	1474
BD_immune05	pre	TN	fibroblast	20
BD_immune05	pre	TN	mast	12
BD_immune05	pre	TN	myeloid	219
BD_immune05	pre	TN	neutrophil	90
BD_immune05	pre	TN	other	44
BD_immune05	pre	TN	plasma	224
BD_immune06	post	MPR	B	94
BD_immune06	post	MPR	NK	515
BD_immune06	post	MPR	T	2294
BD_immune06	post	MPR	endothelial	45
BD_immune06	post	MPR	epithelial	43
BD_immune06	post	MPR	fibroblast	4
BD_immune06	post	MPR	mast	87
BD_immune06	post	MPR	myeloid	830
BD_immune06	post	MPR	neutrophil	605
BD_immune06	post	MPR	other	116
BD_immune06	post	MPR	plasma	16
BD_immune07	post	NMPR	B	72
BD_immune07	post	NMPR	NK	224
BD_immune07	post	NMPR	T	760
BD_immune07	post	NMPR	endothelial	141
BD_immune07	post	NMPR	epithelial	5295
BD_immune07	post	NMPR	fibroblast	297
BD_immune07	post	NMPR	mast	149
BD_immune07	post	NMPR	myeloid	1751
BD_immune07	post	NMPR	neutrophil	156
BD_immune07	post	NMPR	other	229
BD_immune07	post	NMPR	plasma	57
BD_immune08	pre	TN	B	236
BD_immune08	pre	TN	NK	234
BD_immune08	pre	TN	T	2756
BD_immune08	pre	TN	endothelial	78
BD_immune08	pre	TN	epithelial	182
BD_immune08	pre	TN	fibroblast	497
BD_immune08	pre	TN	mast	186
BD_immune08	pre	TN	myeloid	566
BD_immune08	pre	TN	neutrophil	205
BD_immune08	pre	TN	other	211
BD_immune08	pre	TN	plasma	674
BD_immune09	post	NMPR	B	141
BD_immune09	post	NMPR	NK	989
BD_immune09	post	NMPR	T	2144
BD_immune09	post	NMPR	endothelial	8
BD_immune09	post	NMPR	epithelial	278
BD_immune09	post	NMPR	fibroblast	23
BD_immune09	post	NMPR	mast	12
BD_immune09	post	NMPR	myeloid	881
BD_immune09	post	NMPR	neutrophil	75
BD_immune09	post	NMPR	other	164
BD_immune09	post	NMPR	plasma	134
BD_immune10	post	NMPR	B	90
BD_immune10	post	NMPR	NK	1609
BD_immune10	post	NMPR	T	2267
BD_immune10	post	NMPR	endothelial	21
BD_immune10	post	NMPR	epithelial	243
BD_immune10	post	NMPR	fibroblast	82
BD_immune10	post	NMPR	mast	27
BD_immune10	post	NMPR	myeloid	1267
BD_immune10	post	NMPR	neutrophil	436
BD_immune10	post	NMPR	other	319
BD_immune10	post	NMPR	plasma	282
BD_immune11	post	MPR	B	255
BD_immune11	post	MPR	NK	391
BD_immune11	post	MPR	T	1246
BD_immune11	post	MPR	endothelial	36
BD_immune11	post	MPR	epithelial	425
BD_immune11	post	MPR	fibroblast	5
BD_immune11	post	MPR	mast	32
BD_immune11	post	MPR	myeloid	950
BD_immune11	post	MPR	neutrophil	347
BD_immune11	post	MPR	other	68
BD_immune11	post	MPR	plasma	4
BD_immune12	post	NMPR	B	1233
BD_immune12	post	NMPR	NK	148
BD_immune12	post	NMPR	T	1124
BD_immune12	post	NMPR	endothelial	14
BD_immune12	post	NMPR	epithelial	436
BD_immune12	post	NMPR	fibroblast	4
BD_immune12	post	NMPR	mast	77
BD_immune12	post	NMPR	myeloid	706
BD_immune12	post	NMPR	neutrophil	2143
BD_immune12	post	NMPR	other	129
BD_immune12	post	NMPR	plasma	219
BD_immune13	post	NMPR	B	117
BD_immune13	post	NMPR	NK	127
BD_immune13	post	NMPR	T	1159
BD_immune13	post	NMPR	endothelial	25
BD_immune13	post	NMPR	epithelial	28
BD_immune13	post	NMPR	fibroblast	10
BD_immune13	post	NMPR	mast	13
BD_immune13	post	NMPR	myeloid	3129
BD_immune13	post	NMPR	neutrophil	1894
BD_immune13	post	NMPR	other	205
