Sample	paper_group	timing	splitter	module	n_cells	spearman_raw	spearman_partial_lib
BD_immune01	TN	pre	CLDN4	nhej	568	-0.13726300133394292	-0.20773551671868398
BD_immune01	TN	pre	CLDN4	sting	568	0.06398818976402917	0.01785060786823226
BD_immune01	TN	pre	CLDN4	ifn_effector	568	0.20227798531353658	0.17941884070833883
BD_immune01	TN	pre	TACSTD2	nhej	568	-0.23672228476363705	-0.3022515489698776
BD_immune01	TN	pre	TACSTD2	sting	568	0.0515009347949361	0.022519553427323247
BD_immune01	TN	pre	TACSTD2	ifn_effector	568	0.2581695737428574	0.2532137530574144
BD_immune03	MPR	post	CLDN4	nhej	746	0.20847195179877984	0.05651355037077651
BD_immune03	MPR	post	CLDN4	sting	746	0.22170945559183333	0.10370168329116318
BD_immune03	MPR	post	CLDN4	ifn_effector	746	0.168080623679177	0.039295121970368586
BD_immune03	MPR	post	TACSTD2	nhej	746	0.1566789635665069	-0.07855778508234444
BD_immune03	MPR	post	TACSTD2	sting	746	0.19095720857721188	0.017381723493596225
BD_immune03	MPR	post	TACSTD2	ifn_effector	746	0.21602498602258857	0.04602974827664642
BD_immune04	NMPR	post	CLDN4	nhej	51	0.0993329703106146	-0.0015638294343189854
BD_immune04	NMPR	post	CLDN4	sting	51	0.2988374664610531	0.21269078471539837
BD_immune04	NMPR	post	CLDN4	ifn_effector	51	0.2761766928615483	0.17532058959811475
BD_immune04	NMPR	post	TACSTD2	nhej	51	0.030260290986067747	-0.08017432884206069
BD_immune04	NMPR	post	TACSTD2	sting	51	0.23439801495849624	0.13752197953019502
BD_immune04	NMPR	post	TACSTD2	ifn_effector	51	0.1352449845164541	0.006650017812961405
BD_immune05	TN	pre	CLDN4	nhej	1359	0.134153356798201	-0.03152328928634016
BD_immune05	TN	pre	CLDN4	sting	1359	0.2245858527251516	0.0994186409277718
BD_immune05	TN	pre	CLDN4	ifn_effector	1359	0.3053294956002165	0.2173015330546726
BD_immune05	TN	pre	TACSTD2	nhej	1359	0.03499376187864872	-0.023903140895487552
BD_immune05	TN	pre	TACSTD2	sting	1359	0.04823707190207899	-0.0003972314208612768
BD_immune05	TN	pre	TACSTD2	ifn_effector	1359	0.21083733038798114	0.1854243898345254
BD_immune07	NMPR	post	CLDN4	nhej	3209	-0.2488320603616677	-0.2544677074974346
BD_immune07	NMPR	post	CLDN4	sting	3209	-0.026791599068547615	-0.02615030146702497
BD_immune07	NMPR	post	CLDN4	ifn_effector	3209	-0.015262302936538663	-0.014147205341495342
BD_immune07	NMPR	post	TACSTD2	nhej	3209	-0.23710424342978367	-0.23851050702700172
BD_immune07	NMPR	post	TACSTD2	sting	3209	-0.02887043006636285	-0.026766365505445068
BD_immune07	NMPR	post	TACSTD2	ifn_effector	3209	-0.007410109288724169	-0.0036318289973613256
BD_immune09	NMPR	post	CLDN4	nhej	164	-0.2088923652655358	-0.3128622891197243
BD_immune09	NMPR	post	CLDN4	sting	164	0.036274580767733954	-0.017373247471569455
BD_immune09	NMPR	post	CLDN4	ifn_effector	164	0.03285786622104918	-0.007135905137656475
BD_immune09	NMPR	post	TACSTD2	nhej	164	-0.2270853650194304	-0.34513494693503904
BD_immune09	NMPR	post	TACSTD2	sting	164	0.11026042276918253	0.05486220182764959
BD_immune09	NMPR	post	TACSTD2	ifn_effector	164	0.15743360246455854	0.11817054717109675
BD_immune10	NMPR	post	CLDN4	nhej	189	0.17615274758272936	-0.01774944250180888
BD_immune10	NMPR	post	CLDN4	sting	189	0.2298722984693695	0.09303472549682923
BD_immune10	NMPR	post	CLDN4	ifn_effector	189	0.12569308868412013	-0.02626638052421629
BD_immune10	NMPR	post	TACSTD2	nhej	189	0.1499724224942565	0.033088370551651876
BD_immune10	NMPR	post	TACSTD2	sting	189	0.16737231175901962	0.0792360203706543
BD_immune10	NMPR	post	TACSTD2	ifn_effector	189	0.08957832553317814	-0.006326962951103004
BD_immune12	NMPR	post	CLDN4	nhej	306	0.21678249691276666	-0.06050039757699901
BD_immune12	NMPR	post	CLDN4	sting	306	0.28083421792241975	0.07577906571854175
BD_immune12	NMPR	post	CLDN4	ifn_effector	306	0.30958031070948905	0.09807513087119187
BD_immune12	NMPR	post	TACSTD2	nhej	306	0.23107025459903657	-0.013081048335457514
BD_immune12	NMPR	post	TACSTD2	sting	306	0.2591283525507336	0.06861907501767878
BD_immune12	NMPR	post	TACSTD2	ifn_effector	306	0.28605141723140226	0.08928206219772496
