ModelID,CellLineName,StrippedCellLineName,ModelType,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,PrimaryOrMetastasis,TACSTD2,CLDN4
ACH-000803,COLO 668,COLO668,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.4750848829487828,7.3474884972117955
ACH-000382,COR-L24,CORL24,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.6599245584023783,7.717676423066396
ACH-001046,COR-L26,CORL26,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,0.070389327891398,0.0426443374084937
ACH-000257,COR-L279,CORL279,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.831877241191673,6.856363275069203
ACH-000187,COR-L311,CORL311,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.1634987322828795,6.727239777484807
ACH-000695,COR-L47,CORL47,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.6507645591169022,4.310340120612151
ACH-000508,COR-L88,CORL88,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.922197848396367,7.228818690495881
ACH-000743,COR-L95,CORL95,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,2.983677694698067,8.47585500126892
ACH-000594,DMS 153,DMS153,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.3950627995175775,7.937462100716437
ACH-000749,DMS 273,DMS273,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.5849625007211562,1.4059923596758368
ACH-000844,DMS 454,DMS454,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,2.572889668420581,8.439249118590352
ACH-000698,DMS 53,DMS53,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,6.278356528010724,8.729212856911676
ACH-000703,DMS 79,DMS79,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.070389327891398,7.445345986064033
ACH-000515,HCC-33,HCC33,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.5945485495503542,3.114367024952
ACH-002051,Lu-134-A,LU134A,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,2.0840642647884744,6.302501844112321
ACH-001549,Lu-135,LU135,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.1505596765753814,7.003152448666922
ACH-002075,Lu-138,LU138,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.2265085298086797,5.617944917420585
ACH-002052,Lu-139,LU139,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.0,2.805292455600712
ACH-002074,Lu-143,LU143,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.0,6.180108068712015
ACH-002077,Lu-165,LU165,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.1505596765753814,5.033863451866284
ACH-000866,NCI-H1048,NCIH1048,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.1243281350022017,2.780310099043376
ACH-000514,NCI-H1092,NCIH1092,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3334237337251918,5.560409266362118
ACH-000780,NCI-H1105,NCIH1105,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.2509615735332187,5.450881315273369
ACH-000523,NCI-H1184,NCIH1184,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.2387868595871165,0.8953026213333066
