CCLE_ID,Name,Site_Primary,Histology,TACSTD2_RPKM,CLDN4_RPKM
A549_LUNG,A549,lung,carcinoma,0.111635,1.0287
ABC1_LUNG,ABC-1,lung,carcinoma,107.021,100.539
BEN_LUNG,BEN,lung,carcinoma,0.405936,129.269
CAL12T_LUNG,CAL-12T,lung,carcinoma,392.832,103.524
CALU1_LUNG,Calu-1,lung,carcinoma,41.4229,17.6444
CALU3_LUNG,Calu-3,lung,carcinoma,123.327,58.5525
CALU6_LUNG,Calu-6,lung,carcinoma,0.331856,3.20519
CHAGOK1_LUNG,ChaGo-K-1,lung,carcinoma,99.6714,57.3842
COLO668_LUNG,COLO 668,lung,carcinoma,1.03552,42.9321
CORL105_LUNG,COR-L105,lung,carcinoma,0.491034,7.51262
CORL23_LUNG,COR-L23,lung,carcinoma,132.736,75.1039
CORL24_LUNG,COR-L24,lung,carcinoma,0.436484,48.8133
CORL279_LUNG,COR-L279,lung,carcinoma,1.512,25.8899
CORL311_LUNG,COR-L311,lung,carcinoma,0.08379,27.2341
CORL47_LUNG,COR-L47,lung,carcinoma,0.420892,6.79503
CORL88_LUNG,COR-L88,lung,carcinoma,1.55183,35.6263
CORL95_LUNG,COR-L95,lung,carcinoma,4.23356,85.6703
DMS114_LUNG,DMS 114,lung,carcinoma,0.144719,0.295829
DMS153_LUNG,DMS 153,lung,carcinoma,0.862324,50.6145
DMS273_LUNG,DMS 273,lung,carcinoma,0.348032,0.666724
DMS454_LUNG,DMS 454,lung,carcinoma,3.08661,89.8412
DMS53_LUNG,DMS 53,lung,carcinoma,42.0248,97.5213
DMS79_LUNG,DMS 79,lung,carcinoma,0.56397,34.8831
DV90_LUNG,DV-90,lung,carcinoma,88.8798,180.86
EBC1_LUNG,EBC-1,lung,carcinoma,130.192,82.083
EKVX_LUNG,EKVX,lung,carcinoma,1.36279,0.686786
EPLC272H_LUNG,EPLC-272H,lung,carcinoma,342.734,42.0901
HARA_LUNG,HARA,lung,carcinoma,23.7642,2.36219
HCC1171_LUNG,HCC-1171,lung,carcinoma,297.168,186.373
HCC1195_LUNG,HCC-1195,lung,carcinoma,83.7049,128.201
HCC1359_LUNG,HCC-1359,lung,carcinoma,0.432381,2.26275
HCC1438_LUNG,HCC-1438,lung,carcinoma,61.4561,0.651651
HCC1588_LUNG,HCC-1588,lung,carcinoma,55.6156,313.214
HCC15_LUNG,HCC-15,lung,carcinoma,15.7093,39.4567
HCC1833_LUNG,HCC-1833,lung,carcinoma,0.327521,77.3789
HCC2108_LUNG,HCC-2108,lung,carcinoma,0.37073,7.60034
HCC2279_LUNG,HCC-2279,lung,carcinoma,19.9305,14.8493
HCC2814_LUNG,HCC-2814,lung,carcinoma,44.6379,41.4957
HCC2935_LUNG,HCC2935,lung,carcinoma,233.485,233.809
HCC33_LUNG,HCC-33,lung,carcinoma,0.265432,2.98352
HCC364_LUNG,HCC364,lung,carcinoma,1.3528,43.1053
HCC366_LUNG,HCC-366,lung,carcinoma,14.4237,0.904504
HCC4006_LUNG,HCC4006,lung,carcinoma,152.911,52.596
HCC44_LUNG,HCC-44,lung,carcinoma,17.4871,16.8896
HCC78_LUNG,HCC-78,lung,carcinoma,579.392,129.362
HCC827GR5_LUNG,HCC827 GR5,lung,carcinoma,278.158,132.972
