OncotreeSubtype,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_ci95_low,spearman_ci95_high
Lung Adenocarcinoma,80.0,0.7561387264786419,5.108416933686581e-16,0.7453066521180682,2.216189643340584e-15,,
Small Cell Lung Cancer,59.0,0.34770790846716215,0.006967118748925905,0.3610768469976896,0.004960223270154145,,
Lung Squamous Cell Carcinoma,27.0,0.5317460317460317,0.0043096289274127475,0.4888015194954136,0.009675820606738685,,
Large Cell Lung Carcinoma,14.0,0.48571428571428577,0.07827588645863326,0.4273480216420848,0.1274783063179388,,
Non-Small Cell Lung Cancer,10.0,0.006060606060606061,0.9867429111949892,0.07562553420019415,0.8355120373584698,,
SMARCA4-deficient undifferentiated tumor,5.0,0.15389675281277312,0.8048288166080632,-0.05588347461813702,0.9288840023075673,,
Lung Adenosquamous Carcinoma,5.0,0.8999999999999998,0.03738607346849874,0.6762183182027499,0.210089760422931,,
"Immortalized Epithelial Cells, Lung",4.0,0.7999999999999999,0.2000000000000001,0.9408049803013566,0.05919501969864349,,
Giant Cell Carcinoma of the Lung,3.0,0.5,0.6666666666666666,0.3283263209864365,0.7870308729572714,,
NUT Carcinoma of the Lung,2.0,,,,,,
Immortalized Lung Cells,1.0,,,,,,
Immortalized MPLC Cells,1.0,,,,,,
Lung Carcinoid,1.0,,,,,,
Mucoepidermoid Carcinoma of the Lung,1.0,,,,,,
Poorly Differentiated Non-Small Cell Lung Cancer,1.0,,,,,,
