CCLE_ID,TACSTD2_RPKM,CLDN4_RPKM
22RV1_PROSTATE,6.09940e-01,4.70225e+01
2313287_STOMACH,2.04873e+01,6.30070e+01
253JBV_URINARY_TRACT,3.05293e-01,5.20353e+00
253J_URINARY_TRACT,3.11420e-01,2.77889e+00
42MGBA_CENTRAL_NERVOUS_SYSTEM,3.79059e-01,5.59054e-01
5637_URINARY_TRACT,2.11169e+02,8.39835e+01
59M_OVARY,1.32453e+00,6.64553e-01
639V_URINARY_TRACT,3.13960e+00,2.34154e-01
647V_URINARY_TRACT,4.14633e+02,1.18715e+02
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.12666e-01,1.99701e-01
769P_KIDNEY,2.17284e-01,5.30459e+01
786O_KIDNEY,1.69951e-01,2.84982e+01
8305C_THYROID,2.44116e-01,4.59186e-01
8505C_THYROID,8.00789e+00,1.18896e+00
8MGBA_CENTRAL_NERVOUS_SYSTEM,1.53977e-01,7.69489e+00
A101D_SKIN,3.11490e-01,2.07486e+00
A1207_CENTRAL_NERVOUS_SYSTEM,7.13709e-02,1.37931e+00
A172_CENTRAL_NERVOUS_SYSTEM,1.48571e-01,4.61466e+00
A204_SOFT_TISSUE,7.11965e-01,7.87406e-01
A2058_SKIN,1.06081e-01,7.77137e-01
A253_SALIVARY_GLAND,9.96325e+01,2.02543e+01
A2780_OVARY,1.51300e-01,2.74623e-01
A375_SKIN,1.37521e-01,4.04501e+00
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.27482e-01,6.01825e-01
A427_LUNG,1.25702e-01,3.31193e-01
A498_KIDNEY,2.89106e-01,1.14953e+01
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.10558e-01,3.31592e+01
A549_LUNG,1.11635e-01,1.02870e+00
A673_BONE,1.91276e-01,2.18317e-01
A704_KIDNEY,3.21447e-01,3.51020e+00
ABC1_LUNG,1.07021e+02,1.00539e+02
ACCMESO1_PLEURA,4.95706e-01,4.68335e+00
ACHN_KIDNEY,2.23883e-01,8.75112e-01
AGS_STOMACH,6.17661e+01,4.93733e+01
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.40950e-01,3.09426e-01
AM38_CENTRAL_NERVOUS_SYSTEM,1.33203e-01,1.66168e+00
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,9.39238e-01,5.57148e-01
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.09745e-01,5.75631e-01
AN3CA_ENDOMETRIUM,3.54539e-01,6.99846e-01
ASPC1_PANCREAS,1.60984e-01,2.20356e+02
AU565_BREAST,8.78153e+01,1.77835e+02
BC3C_URINARY_TRACT,3.55049e+01,7.68931e-01
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.12982e-01,2.28693e-01
BCPAP_THYROID,2.63133e+01,1.84624e+01
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.36554e+00,1.72573e+00
BEN_LUNG,4.05936e-01,1.29269e+02
BFTC905_URINARY_TRACT,2.85861e+02,1.60179e+02
BFTC909_KIDNEY,5.20163e+00,4.23849e-01
BHT101_THYROID,2.26382e+01,6.71642e+01
BHY_UPPER_AERODIGESTIVE_TRACT,4.84146e+02,3.10778e+01
BICR16_UPPER_AERODIGESTIVE_TRACT,5.07353e+02,2.86852e+01
BICR18_UPPER_AERODIGESTIVE_TRACT,5.21715e+01,7.70582e+01
BICR22_UPPER_AERODIGESTIVE_TRACT,1.59381e+03,1.19105e+02
BICR31_UPPER_AERODIGESTIVE_TRACT,5.98601e+02,5.98154e+01
BICR56_UPPER_AERODIGESTIVE_TRACT,1.07423e+03,1.57896e+02
BICR6_UPPER_AERODIGESTIVE_TRACT,5.47131e+02,6.66748e+01
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.97857e-01,2.71433e-01
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.68694e-01,3.54272e-01
BT12_SOFT_TISSUE,7.92788e-02,2.76302e-01
BT20_BREAST,8.40427e+01,3.10691e+01
BT474_BREAST,1.33655e+01,6.46045e+01
BT483_BREAST,9.17456e+01,2.53687e+02
BT549_BREAST,3.40569e-01,3.73955e-01
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.68957e-01,3.55972e-01
BXPC3_PANCREAS,5.56362e+02,1.16879e+02
C2BBE1_LARGE_INTESTINE,1.61317e+01,7.28027e+01
C32_SKIN,2.31714e-01,3.40931e-01
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.28176e-02,5.93054e-02
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.72408e-01,4.06276e-01
CACO2_LARGE_INTESTINE,1.65989e+01,9.88924e+01
CADOES1_BONE,4.06175e-01,6.08544e-01
CAKI1_KIDNEY,2.02848e+00,2.59476e+00
CAKI2_KIDNEY,3.47042e-01,4.80762e+01
CAL120_BREAST,1.43249e+02,2.08625e+00
CAL12T_LUNG,3.92832e+02,1.03524e+02
CAL148_BREAST,3.78083e+00,1.80569e+02
CAL27_UPPER_AERODIGESTIVE_TRACT,4.78376e+02,2.13928e+01
CAL29_URINARY_TRACT,5.05362e+02,2.53982e+02
CAL33_UPPER_AERODIGESTIVE_TRACT,6.83380e+02,4.44711e+01
CAL51_BREAST,1.73452e-01,1.13312e+00
CAL54_KIDNEY,1.80302e+01,1.64153e+02
CAL62_THYROID,1.70946e-01,1.27593e+01
CAL78_BONE,1.09765e+00,7.10872e-01
CAL851_BREAST,2.37985e+02,1.03179e+02
CALU1_LUNG,4.14229e+01,1.76444e+01
CALU3_LUNG,1.23327e+02,5.85525e+01
CALU6_LUNG,3.31856e-01,3.20519e+00
CAMA1_BREAST,2.33314e+01,2.13354e+01
CAOV3_OVARY,5.45106e+02,3.75997e+01
CAOV4_OVARY,6.31656e+01,1.00984e+02
CAPAN1_PANCREAS,1.26472e+02,1.99751e+02
CAPAN2_PANCREAS,8.63653e+02,2.61697e+02
CAS1_CENTRAL_NERVOUS_SYSTEM,1.70016e-01,3.27551e-01
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,4.17641e-01,4.41687e-01
CCK81_LARGE_INTESTINE,1.25732e+00,8.26173e+01
CFPAC1_PANCREAS,4.04832e+02,1.59634e+02
CH157MN_CENTRAL_NERVOUS_SYSTEM,7.14206e-02,9.79127e-02
CHAGOK1_LUNG,9.96714e+01,5.73842e+01
CHP126_AUTONOMIC_GANGLIA,5.58145e-01,6.73549e-01
CHP212_AUTONOMIC_GANGLIA,1.89830e-01,4.01828e+00
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.11815e-01,3.40328e-01
CJM_SKIN,1.42380e+02,1.03723e+01
