cohort,n,spearman_rho,spearman_p,spearman_ci95_low,spearman_ci95_high,user_0.69_inside_spearman_ci95,pearson_r,pearson_p,user_claimed_rho,spearman_rounded_2dp,matches_user_0.69_at_2dp,abs_diff_vs_0.69,within_0.05_of_0.69,verdict,note
lung_cell_lines,214,0.6074923026927191,5.636455165585778e-23,0.5133482836771316,0.6871859820977054,False,0.5624370891915033,3.001007452146409e-19,0.69,0.61,False,0.0825076973072808,False,DOES_NOT_MATCH,PRIMARY: OncotreeLineage==Lung and ModelType==Cell Line. This is the pre-specified B2 lung-lines cohort.
lung_all_model_types,214,0.6074923026927191,5.636455165585778e-23,,,,0.5624370891915033,3.001007452146409e-19,0.69,0.61,False,0.0825076973072808,False,DOES_NOT_MATCH,Sensitivity: all Lung-lineage models with RNA (includes organoids / non-cell-line if present).
lung_NSCLC_cell_lines,143,0.667437179146622,8.811122112650595e-20,0.5593342424824413,0.7530464246168322,True,0.6287018480097553,4.206048059022061e-17,0.69,0.67,False,0.022562820853377907,True,NEARBY_NOT_EXACT,Sensitivity: NSCLC primary disease only (excludes SCLC/NET and non-cancerous).
lung_NET_SCLC_cell_lines,60,0.36990607984022494,0.003626401814035375,,,,0.3666016513348643,0.003964337414969543,0.69,0.37,False,0.320093920159775,False,DOES_NOT_MATCH,Sensitivity: Lung Neuroendocrine Tumor (mostly SCLC).
lung_other_cell_lines,11,0.6697056099399616,0.024178155822074807,,,,0.8106356540860812,0.002472604145697889,0.69,0.67,False,0.020294390060038303,True,NEARBY_NOT_EXACT,Sensitivity: Lung lineage cell lines that are neither NSCLC nor NET.
lung_LUAD_cell_lines,80,0.7561387264786419,5.108416933686581e-16,,,,0.7453066521180682,2.216189643340584e-15,0.69,0.76,False,0.06613872647864194,False,DOES_NOT_MATCH,Sensitivity: OncotreeSubtype == Lung Adenocarcinoma.
lung_LUSC_cell_lines,27,0.5317460317460317,0.0043096289274127475,,,,0.4888015194954136,0.009675820606738685,0.69,0.53,False,0.1582539682539682,False,DOES_NOT_MATCH,Sensitivity: OncotreeSubtype == Lung Squamous Cell Carcinoma.
lung_SCLC_subtype_cell_lines,59,0.34770790846716215,0.006967118748925905,,,,0.3610768469976896,0.004960223270154145,0.69,0.35,False,0.3422920915328378,False,DOES_NOT_MATCH,Sensitivity: OncotreeSubtype == Small Cell Lung Cancer.
all_lineages_cell_lines,1673,0.7207441224724889,3.223077433012373e-268,,,,0.7261528255480857,3.523620666370625e-274,0.69,0.72,False,0.03074412247248892,True,NEARBY_NOT_EXACT,"Context only: all lineages, cell lines. Not the B2 request."
all_lineages_all_models,1673,0.7207441224724889,3.223077433012373e-268,,,,0.7261528255480857,3.523620666370625e-274,0.69,0.72,False,0.03074412247248892,True,NEARBY_NOT_EXACT,"Context only: all lineages, all model types with RNA. Not the B2 request."
hist_22q2_lineage_lung,207,0.6636270621306597,1.1977821879501611e-27,0.5763324010079306,0.7373069348339658,True,0.6110638003901369,1.4046964320043372e-22,0.69,0.66,False,0.02637293786934025,True,NEARBY_NOT_EXACT,"Historical: DepMap 22Q2 CCLE_expression.csv, sample_info lineage==lung (this older annotation includes mesothelioma)."
hist_22q2_lineage_lung_no_meso,187,0.6179308544731498,4.467584854295112e-21,,,,0.5758174974652064,6.6198147984173204e-18,0.69,0.62,False,0.07206914552685018,False,DOES_NOT_MATCH,Historical: 22Q2 lineage==lung excluding mesothelioma.
hist_22q2_NSCLC,135,0.6526730775813092,9.745585150066352e-18,,,,0.625491296184925,5.055941146014364e-16,0.69,0.65,False,0.03732692241869073,True,NEARBY_NOT_EXACT,Historical: 22Q2 lineage_subtype==NSCLC.
hist_22q2_all_lines,1406,0.7248552055767284,1.7379540580930203e-229,,,,0.7253509176817287,5.992091631329126e-230,0.69,0.72,False,0.0348552055767285,True,NEARBY_NOT_EXACT,Context only: 22Q2 all lineages. Not the B2 lung-only request.
hist_2018_suffix_LUNG_RPKM,188,0.6415107629125151,3.468160225973317e-23,0.5521467931207226,0.7147439702787335,True,0.535482138550777,2.4225553045519607e-15,0.69,0.64,False,0.04848923708748487,True,NEARBY_NOT_EXACT,"Historical: CCLE RNAseq RPKM 20180929, CCLE_ID suffix == LUNG. Spearman is rank-based so log transform does not change ρ."
hist_2018_SitePrimary_lung_RPKM,181,0.6741667172606398,2.434342955290169e-25,0.5903425948708175,0.7402806233483327,True,0.5455117005641822,2.0084633796516407e-15,0.69,0.67,False,0.015833282739360133,True,NEARBY_NOT_EXACT,"Historical: CCLE 2018 RPKM, annotation Site_Primary==lung."
hist_2018_all_lines_RPKM,1019,0.6793960251511133,6.935902484941722e-139,,,,0.5226837803692772,1.617333285094048e-72,0.69,0.68,False,0.010603974848886644,True,NEARBY_NOT_EXACT,Context only: CCLE 2018 RPKM all tissues. Not the B2 lung-only request.
