ModelID,cell_line_name,CCLE_Name,lineage,lineage_subtype,primary_disease,TACSTD2,CLDN4
ACH-001113,LC-1/sq-SF,LC1SQSF_LUNG,lung,NSCLC,Lung Cancer,3.0669502439246266,6.348905161168407
ACH-000327,NCI-H1395,NCIH1395_LUNG,lung,NSCLC,Lung Cancer,0.3561438102252753,3.0143552929770703
ACH-000705,LC-1F,LC1F_LUNG,lung,NSCLC,Lung Cancer,0.5945485495503542,8.272349849323032
ACH-000528,ABC-1,ABC1_LUNG,lung,NSCLC,Lung Cancer,7.385517320201883,8.60336671069227
ACH-000769,LK-2,LK2_LUNG,lung,NSCLC,Lung Cancer,5.211401637418471,2.541019153133559
ACH-000800,NCI-H446,NCIH446_LUNG,lung,SCLC,Lung Cancer,0.3895668117627256,0.7048719644563528
ACH-000700,,NCIH2882_LUNG,lung,NSCLC,Lung Cancer,0.2016338611696504,3.817623257511431
ACH-001547,LO68,LO68_LUNG,lung,mesothelioma,Lung Cancer,0.01435529297707,0.7907720378619999
ACH-000176,LOU-NH91,LOUNH91_LUNG,lung,NSCLC,Lung Cancer,0.4005379295837288,7.581200581924957
ACH-000587,NCI-H1975,NCIH1975_LUNG,lung,NSCLC,Lung Cancer,5.311430455749743,7.449231200669493
ACH-000785,NCI-H2126,NCIH2126_LUNG,lung,NSCLC,Lung Cancer,8.773699687906285,7.607552249761261
ACH-000585,EPLC-272H,EPLC272H_LUNG,lung,NSCLC,Lung Cancer,8.923862268076029,7.230068484698691
ACH-000627,LCLC-103H,LCLC103H_LUNG,lung,NSCLC,Lung Cancer,4.3045110418099535,7.90743150483471
ACH-000392,Calu-3,CALU3_LUNG,lung,NSCLC,Lung Cancer,7.265474403232111,7.484540972362773
ACH-000729,NCI-H1963,NCIH1963_LUNG,lung,SCLC,Lung Cancer,0.5160151470036647,3.6322682154995127
ACH-000035,NCI-H1650,NCIH1650_LUNG,lung,NSCLC,Lung Cancer,9.811679738673549,7.974242488681094
ACH-000638,NCI-H441,NCIH441_LUNG,lung,NSCLC,Lung Cancer,9.175499651112082,8.106117959071074
ACH-000894,NCI-H1869,NCIH1869_LUNG,lung,NSCLC,Lung Cancer,9.039357765159702,8.397631854106743
ACH-001559,Mero-82,MERO82_PLEURA,lung,mesothelioma,Lung Cancer,0.01435529297707,0.3103401206121505
ACH-000596,LCLC-97TM1,LCLC97TM1_LUNG,lung,NSCLC,Lung Cancer,7.79012038464125,9.300878744867251
ACH-000179,NCI-H1618,NCIH1618_LUNG,lung,SCLC,Lung Cancer,0.3219280948873623,7.898933871780176
