OncotreePrimaryDisease,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_ci95_low,spearman_ci95_high
Lung Neuroendocrine Tumor,60.0,0.36990607984022494,0.003626401814035375,0.3666016513348643,0.003964337414969543,,
Non-Cancerous,6.0,0.8285714285714287,0.04156268221574335,0.9538870761832671,0.0031405753136040087,,
Non-Small Cell Lung Cancer,143.0,0.667437179146622,8.811122112650595e-20,0.6287018480097553,4.206048059022061e-17,,
SMARCA4-deficient undifferentiated tumor,5.0,0.15389675281277312,0.8048288166080632,-0.05588347461813702,0.9288840023075673,,
